,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,147.46,186.07,190.84,193.95,138.31,205.53,138.43,157.26,105.23,112.35,142.28,166.84,88.6,196.03,446.06,89.79,-,75.42,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,31.06,51.23,118,132,-,-,-,-,-
2,Cash & Short-Term Investments,147.46,186.07,190.84,193.95,138.31,205.53,138.43,157.26,105.23,112.35,173.34,218.07,206.6,328.03,446.06,89.79,-,75.42,111.14
3,Cash Growth,6.62%,-9.47%,37.86%,23.33%,31.44%,82.93%,-20.14%,-27.88%,-49.07%,-65.75%,-61.14%,142.87%,-,334.96%,301.37%,-,-,-,-
4,Accounts Receivable,299.91,256.04,234.79,272.42,324.44,245.13,270.17,284.91,328.26,273.17,274.99,297.21,310.35,267.55,246.46,260.53,-,240.61,-
5,Other Receivables,2.25,2.33,2.37,3.12,3.1,3.22,3.04,3.09,17.8,31.06,30.81,32.41,30.82,4.75,4.74,4.75,-,0.12,-
6,Receivables,302.16,258.37,237.16,275.54,327.54,248.35,273.2,288,346.06,304.23,305.81,329.62,341.18,272.3,251.2,265.28,-,240.72,-
7,Inventory,155.61,145.24,149.05,145.49,167.19,157.03,152.7,161.31,179.28,193.2,169.23,171.1,174.39,169.94,161.24,164.18,-,140.14,-
8,Other Current Assets,14.73,9.45,16.78,12.83,14.67,17.35,37.67,30.48,24.97,19.61,26.38,18.82,16.43,12.64,14.19,14.23,-,17.05,-
9,Total Current Assets,619.97,599.13,593.83,627.81,647.72,628.26,602,637.05,655.54,629.39,674.75,737.62,738.59,782.91,872.69,533.48,-,473.33,-
10,"Property, Plant & Equipment",1058,1026,974.82,946.01,925.89,915.82,848.23,797.76,695.35,610.82,520.46,510.97,406.66,374.61,367.35,282.36,-,214.89,-
11,Other Intangible Assets,68.83,69.24,69.36,69.48,69.89,70.31,70.73,71.14,71.56,71.97,72.39,72.8,73.32,37.29,37.42,37.65,-,38.01,-
12,Long-Term Deferred Tax Assets,46.12,41.79,35.66,30.08,33.7,27.42,18.67,13.88,12.69,10.92,6.94,5.51,5.16,3.67,3.17,3.54,-,3.35,-
13,Long-Term Deferred Charges,8.44,10.35,9.6,10.03,9.14,9.9,9.73,9.67,8.29,8.9,8.33,9.13,8.37,9.6,10.57,11.98,-,12.93,-
14,Other Long-Term Assets,8.05,15.79,17.9,9.62,12.77,11.08,17.03,11.76,15.77,10.55,38.04,21.84,90.01,83.65,6.85,4.93,-,8.1,-
15,Total Assets,1810,1762,1701,1693,1699,1663,1566,1541,1459,1343,1321,1358,1322,1292,1298,873.93,-,750.61,-
16,Accounts Payable,199.87,82.76,133.57,104.58,244.17,205.82,158.17,95.33,206.31,177.98,128.04,150.92,169.82,179.73,154.99,182.89,-,123.32,-
17,Accrued Expenses,16.5,27.81,18.13,34.01,17.31,26.24,17.34,37.93,16.29,31.13,16.48,35.72,17.15,24.03,14.02,25.49,-,28.94,-
18,Short-Term Debt,161.17,155.58,145.58,130.57,119.97,120.1,120.11,131.13,128.13,122.03,122.06,122.04,129.05,112.13,112.15,116.17,-,85.12,-
19,Current Portion of Long-Term Debt,37.13,18.3,24.09,18.28,25.77,12.65,-,0.11,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,7.84,-,9.15,-,10.64,19.55,14.79,18.58,16.83,14.81,15.43,18.23,17.16,-,-,-,-,-
21,Current Income Taxes Payable,17.25,2.4,9.97,4.57,21.4,2.18,18.55,12.82,33.36,10.54,25.84,11.01,18.54,3.56,15.65,8.35,-,7.99,-
22,Current Unearned Revenue,7.58,8.53,10.25,6.93,12.79,12.82,13.98,11.48,10.81,9.69,8.7,9.9,3.77,10.34,12.19,9.33,-,7.71,-
23,Other Current Liabilities,1.27,102.67,2.94,118.17,2.19,37.41,1.11,136.05,0.76,3.09,0.89,22.04,0.47,3.59,18.88,0.44,-,20.23,-
24,Total Current Liabilities,440.76,405.89,344.54,426.27,443.61,427.85,348.81,439.64,414.25,371.29,316.83,367.06,357.03,350.54,327.87,342.68,-,273.31,-
25,Long-Term Debt,390.93,377.94,343.34,248.6,241.88,239.03,202.46,90.27,54.85,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,4.5,12.12,14.07,15.9,18.61,14.12,16.33,17.63,21.17,24.2,28.42,31.77,36.33,39.59,43.53,-,-,-,-
27,Long-Term Unearned Revenue,12.3,12.72,7.64,7.84,7.98,8.2,3.94,3.69,1.72,1.72,1.83,1.93,2.03,2.14,2.24,2.45,-,1.95,-
28,Long-Term Deferred Tax Liabilities,0.12,0.17,0.18,0.1,6.69,5.74,0.61,0.63,-,-,0.01,0.03,-,-,-,-,-,-,-
29,Total Liabilities,848.61,808.84,709.76,698.72,718.76,694.95,572.15,551.85,491.99,397.22,347.09,400.8,395.39,392.26,373.64,345.13,-,275.26,-
30,Common Stock,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,75.6,-,75.6,-
31,Additional Paid-In Capital,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,581.01,233.16,-,231.85,-
32,Retained Earnings,279.31,271.65,309.47,312.38,298.41,285.89,312.35,307.49,285.24,263.47,291.98,275.24,244.88,217.61,242.54,219.99,-,167.77,-
33,Comprehensive Income & Other,0.13,0.13,0.13,0.13,0.14,0.14,0.09,0.11,0.15,0.04,0.01,0.02,0.04,0.04,0.05,0.05,-,0.13,-
34,Shareholders' Equity,961.25,953.59,991.4,994.31,980.36,967.84,994.24,989.41,967.2,945.32,973.8,957.07,926.72,899.46,924.4,528.8,-,475.34,435.45
35,Total Liabilities & Equity,1810,1762,1701,1693,1699,1663,1566,1541,1459,1343,1321,1358,1322,1292,1298,873.93,-,750.61,-
36,Total Debt,593.73,571.78,527.08,422.5,406.23,396.54,358.45,253.93,222.74,163.06,165.29,169.24,183.61,168.87,155.67,116.17,-,85.12,100.17
37,Net Cash (Debt),-446.27,-385.71,-336.24,-228.56,-267.92,-191.01,-220.02,-96.66,-117.51,-50.71,8.05,48.83,22.99,159.15,290.39,-26.39,-,-9.7,10.97
38,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-97.23%,-,-,-,2547.46%,-,-,-,-
39,Net Cash Per Share,-3.89,-3.19,-3.46,-2.30,-2.51,-2.21,-2.02,-0.95,-1.20,-0.48,0.08,0.48,0.23,1.55,3.91,-0.36,-,-0.14,0.14
40,Filing Date Shares Outstanding,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,75.6,76.99,75.6,80.17
41,Total Common Shares Outstanding,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,100.8,75.6,76.99,75.6,80.17
42,Working Capital,179.21,193.25,249.28,201.54,204.11,200.41,253.19,197.42,241.29,258.1,357.92,370.56,381.56,432.37,544.81,190.8,-,200.01,-
43,Book Value Per Share,9.54,9.46,9.84,9.86,9.73,9.60,9.86,9.82,9.60,9.38,9.66,9.49,9.19,8.92,9.17,6.99,-,6.29,5.76
44,Tangible Book Value,892.42,884.35,922.04,924.83,910.46,897.53,923.52,918.27,895.64,873.35,901.41,884.27,853.4,862.17,886.99,491.15,-,437.34,396.98
45,Tangible Book Value Per Share,8.85,8.77,9.15,9.17,9.03,8.90,9.16,9.11,8.89,8.66,8.94,8.77,8.47,8.55,8.80,6.50,-,5.78,5.25
46,Buildings,-,394.51,-,354.91,-,354.11,-,276.65,-,180.16,-,76.88,-,76.88,-,76.88,-,76.74,-
47,Machinery,-,499.3,-,492.49,-,474.69,-,436.84,-,343.28,-,313.56,-,295.36,-,284.02,-,258.13,-
48,Construction In Progress,-,350.42,-,287.42,-,250.77,-,229.11,-,213.35,-,225.51,-,83.62,-,51.26,-,6.02,-
