,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,275.48,212.03,203.38,259.51,297.07,216.39,215.06,257.76,314.41,196.11,252.43,305.32,329.91,251.15,250.82,283.69,280.53,255.53,130.75
1,Other Revenue,-6.53,6.53,-,27.72,-13.24,13.24,-,30.85,-11.33,11.33,-,24.08,-12.27,12.27,-,18.11,-5.89,5.89,-
2,Revenue,268.95,218.56,203.38,287.23,283.83,229.63,215.06,288.61,303.08,207.44,252.43,329.4,317.64,263.43,250.82,301.8,274.64,261.42,130.75
3,Revenue Growth (YoY),-5.24%,-4.82%,-5.43%,-0.48%,-6.35%,10.70%,-14.80%,-12.38%,-4.58%,-21.25%,0.64%,9.15%,15.66%,0.77%,91.83%,-,-,-,-
4,Cost of Revenue,205.75,176.86,164.37,217.34,213.25,175.76,165.67,217.01,230.34,160.22,196.07,250.94,238.79,207.67,192.23,233.75,202.64,188.74,103.3
5,Gross Profit,63.2,41.7,39.01,69.89,70.58,53.87,49.39,71.61,72.74,47.22,56.36,78.47,78.84,55.76,58.59,68.05,72,72.68,27.45
6,"Selling, General & Admin",44.01,36.27,35.88,41.54,40.86,36.56,33.98,37.01,39.82,32.12,30.33,29.06,34.69,26.34,27.32,25.22,29.33,20.4,16.87
7,Research & Development,8.84,8.36,8.03,10.27,9.25,8.67,7.26,5.49,6.07,5.05,4.91,5.62,5.75,5.77,4.8,5.85,4.56,4.58,3.53
8,Other Operating Expenses,1.69,1.79,1.5,3.86,2.25,1.2,1.91,5.99,1.39,-0.35,1.18,3.91,1.42,0.82,0.6,2.72,0.92,0.66,0.21
9,Operating Expenses,56.24,46.77,43.38,54.87,55.5,45.48,42.87,48.3,48.61,36.88,35.56,36.64,44.93,33.67,31.84,33.41,35.87,28.25,19.78
10,Operating Income,6.96,-5.07,-4.37,15.02,15.08,8.39,6.51,23.3,24.13,10.34,20.8,41.83,33.91,22.09,26.75,34.64,36.13,44.43,7.66
11,Interest Expense,-3.09,-2.68,-2.62,-2.6,-2.39,-2.34,-2.01,-1.71,-1.71,-1.66,-1.71,-1.61,-1.86,-1.93,-1.9,-1.18,-1.09,-1,-1.25
12,Interest & Investment Income,0.28,0.34,0.31,0.24,0.29,0.33,0.23,0.2,0.19,0.37,0.46,0.73,1.45,0.51,0.06,0.03,0.03,0.04,0.07
13,Currency Exchange Gain (Loss),-0.73,0.73,-,-0.22,-0.33,0.33,-,2.97,-1.49,1.49,-,-1.14,0.66,-0.66,-,-4.61,-0.16,0.16,-
14,Other Non Operating Income (Expenses),0.04,-0.38,0.37,-0.11,0.13,0.91,-1.27,-1.41,3.93,-0.01,-0.23,-0.92,-1,0.13,-0.11,2.44,-2.38,-0.46,0.26
15,EBT Excluding Unusual Items,3.45,-7.05,-6.32,12.33,12.78,7.62,3.47,23.36,25.05,10.53,19.32,38.89,33.16,20.14,24.81,31.33,32.53,43.17,6.76
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,0.04,0.23,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,2.43,0.05,-0.05,0.1,-0.11,0.14,-,-0,-0,-0,0.19,0.01,-0,-0.34,-,0.16,0,-0.01,-
18,Asset Writedown,0.18,-0.18,-,-0.23,0.02,-0.02,-,-0.26,0.04,-0.04,-,-0.3,0.04,-0.04,-,-0.41,0.15,-0.15,-
19,Other Unusual Items,0.17,1.13,-0.02,2.48,-,-,-,2.33,-,-,-,1.95,-,-,-,3.4,-,-,-
20,Pretax Income,6.23,-6.05,-6.39,14.68,12.69,7.73,3.47,25.42,25.1,10.49,19.54,40.77,33.19,19.77,24.81,34.48,32.68,43.02,6.76
21,Income Tax Expense,-1.43,-3.51,-3.48,0.71,0.17,-0.5,-1.97,4.07,3.32,0.64,2.81,8.06,5.93,3.37,4.01,7.78,5.84,8.76,1.14
22,Net Income,7.67,-2.54,-2.91,13.97,12.52,8.23,5.44,21.35,21.78,9.85,16.73,32.71,27.27,16.4,20.8,26.69,26.85,34.26,5.61
23,Net Income to Common,7.67,-2.54,-2.91,13.97,12.52,8.23,5.44,21.35,21.78,9.85,16.73,32.71,27.27,16.4,20.8,26.69,26.85,34.26,5.61
24,Net Income Growth,-38.77%,-,-,-34.57%,-42.53%,-16.41%,-67.48%,-34.72%,-20.11%,-39.93%,-19.54%,22.55%,1.56%,-52.14%,270.56%,-,-,-,-
25,Shares Outstanding (Basic),115,121,97,99,107,87,109,102,98,106,98,101,99,103,74,74,77,70,80
26,Shares Outstanding (Diluted),115,121,97,99,107,87,109,102,98,106,98,101,99,103,74,74,77,70,80
27,Shares Change (YoY),7.21%,39.71%,-10.81%,-2.42%,9.28%,-18.41%,10.56%,0.76%,-1.35%,3.13%,32.52%,36.86%,28.77%,46.31%,-7.36%,-,-,-,-
28,EPS (Basic),0.07,-0.02,-0.03,0.14,0.12,0.10,0.05,0.21,0.22,0.09,0.17,0.32,0.28,0.16,0.28,0.36,0.35,0.49,0.07
29,EPS (Diluted),0.07,-0.02,-0.03,0.14,0.12,0.10,0.05,0.21,0.22,0.09,0.17,0.32,0.28,0.16,0.28,0.36,0.35,0.49,0.07
