,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1642,1472,1277,1582,2229,2336,2147,2504,2445,1950,2472,2662,3313,2984,5092,4103,-,-,-,-
1,Market Cap Growth,-36.99%,-36.99%,-40.52%,-36.84%,-8.86%,19.74%,-13.13%,-5.94%,-26.19%,-34.63%,-51.46%,-35.11%,-,-,-,-,-,-,-,-
2,Enterprise Value,2088,1857,1613,1849,2497,2527,2367,2621,2563,2001,2464,2639,3290,2825,4802,4129,-,-,-,-
3,Last Close Price,16.29,14.60,12.30,15.23,21.46,22.49,20.34,23.71,23.16,18.47,23.41,24.80,30.87,27.80,47.45,37.93,-,-,-,-
4,PE Ratio,108.66,90.91,-,-,55.49,49.12,37.79,42.86,35.08,24.06,28.55,28.59,34.10,32.73,56.13,37.78,-,-,-,-
5,Forward PE,27.15,13.39,11.62,12.16,18.63,19.30,18.52,18.96,20.44,15.50,19.26,23.53,-,-,-,-,-,-,-,-
6,PS Ratio,1.80,1.50,1.29,1.58,2.19,2.30,2.07,2.47,2.33,1.79,2.23,2.29,2.85,2.63,4.67,3.77,-,-,-,-
7,PB Ratio,1.71,1.53,1.34,1.60,2.24,2.38,2.22,2.52,2.47,2.02,2.61,2.73,3.46,3.22,5.66,4.44,-,-,-,-
8,P/TBV Ratio,1.65,1.65,1.44,1.72,2.41,2.57,2.39,2.71,2.66,2.18,2.83,2.95,3.75,3.50,5.91,4.63,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-28.81,-,-16.86,-,-24.35,-,-,-,-17.72,-,-,-,-,-,-,-
10,P/OCF Ratio,15.61,-,14.68,9.31,12.89,-,9.28,16.36,16.36,14.91,32.53,28.71,33.15,-,43.62,42.72,-,-,-,-
11,EV/Sales Ratio,2.14,1.90,1.62,1.84,2.46,2.48,2.28,2.58,2.44,1.83,2.23,2.27,2.83,2.49,4.40,3.79,-,-,-,-
12,EV/EBITDA Ratio,21.07,26.38,21.94,21.38,27.02,26.41,22.98,26.45,22.94,15.57,17.95,17.79,21.48,19.49,32.86,24.68,-,-,-,-
