,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,16047,22466,23195,29468,38221,37200,38367,42305,40117,37200,33990
1,Market Cap Growth,-23.76%,-23.76%,-39.31%,-20.78%,-0.38%,-12.07%,-4.36%,13.73%,18.03%,-,-
2,Last Close Price,1.10,1.48,1.53,1.95,2.45,2.32,2.39,2.64,2.42,2.24,1.98
3,PE Ratio,4.32,6.05,5.95,7.08,8.83,8.43,8.43,9.10,9.20,9.16,8.53
4,PS Ratio,1.88,2.63,2.63,3.35,4.16,4.13,3.99,4.26,4.24,4.29,4.04
5,PB Ratio,0.32,0.42,0.43,0.58,0.77,0.79,0.80,0.94,0.94,0.98,0.90
6,P/FCF Ratio,-,-5.34,-,-,-,-,-2.94,-,-,1763.01,-
7,P/OCF Ratio,-,-5.62,-,-,-,-,-3.09,-,-,58.39,-
8,Debt / Equity Ratio,2.72,2.72,2.95,3.03,3.10,3.42,3.38,2.67,2.72,2.52,2.84
9,Debt / FCF Ratio,-,-34.93,-,-,-,-,-12.38,-,-,4542.54,-
10,Earnings Yield,23.15%,17.07%,17.35%,14.12%,11.33%,11.86%,11.86%,10.99%,10.87%,10.92%,11.73%
11,FCF Yield,-26.23%,-18.73%,-168.93%,-121.56%,-68.50%,-13.17%,-34.04%,-111.91%,-29.98%,0.06%,-71.36%
12,Buyback Yield / Dilution,-,-,-,-,-,-,-,-17.53%,-17.76%,-0.12%,
13,Total Shareholder Return,5.27%,-,-,-,-,-,-,-,-17.53%,-17.76%,-0.12%
