,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2655,2349,2154,3034,2667,3336,2020,1548,1174,1357,709,Upgrade
1,Market Cap Growth,-22.59%,-22.59%,-19.21%,-9.06%,32.00%,115.46%,72.14%,14.11%,65.52%,56.27%,-44.25%,Upgrade
2,Enterprise Value,2593,2339,2128,2766,2296,2864,1780,1267,1017,890,438,Upgrade
3,Last Close Price,2.28,1.95,1.77,2.44,2.09,2.59,1.51,1.11,0.78,0.82,0.39,Upgrade
4,PE Ratio,15.89,13.36,13.42,14.77,10.02,14.53,11.54,14.22,18.84,33.67,6.06,Upgrade
5,Forward PE,-,9.29,9.29,9.29,9.29,9.29,9.29,9.29,9.29,9.29,9.29,Upgrade
6,PS Ratio,1.51,1.33,1.25,1.72,1.52,2.02,1.15,0.92,0.74,0.94,0.48,Upgrade
7,PB Ratio,2.21,1.94,1.92,2.83,2.31,3.00,1.81,1.40,1.08,1.30,0.55,Upgrade
8,P/TBV Ratio,2.02,2.02,2.02,2.98,2.45,3.23,1.91,1.49,1.15,1.31,0.56,Upgrade
9,P/FCF Ratio,21.76,19.25,-13.07,-,-,11.23,7.30,6.10,25.10,-,2.33,Upgrade
10,P/OCF Ratio,17.68,17.68,-16.48,-,25.28,9.63,6.80,5.23,13.31,-,2.26,Upgrade
11,PEG Ratio,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,Upgrade
12,EV/Sales Ratio,1.46,1.32,1.23,1.57,1.31,1.74,1.01,0.75,0.64,0.62,0.30,Upgrade
13,EV/EBITDA Ratio,11.87,10.78,12.80,13.45,8.28,11.67,7.25,7.34,10.55,6.64,2.66,Upgrade
14,EV/EBIT Ratio,13.53,12.17,14.47,14.51,8.75,12.50,7.75,7.96,11.71,7.09,2.83,Upgrade
15,EV/FCF Ratio,21.25,19.17,-12.91,-,-,9.64,6.43,4.99,21.76,-,1.44,Upgrade
16,Debt / Equity Ratio,0.07,0.07,0.09,0.10,0.04,0.07,0.02,0.10,0.02,0.05,0.04,Upgrade
17,Debt / FCF Ratio,0.74,0.74,-0.63,-,-,0.28,0.06,0.42,0.38,-,0.18,Upgrade
18,Return on Capital Employed (ROCE),15.02%,15.02%,12.27%,16.64%,21.13%,19.11%,19.10%,13.93%,7.75%,11.89%,12.03%,Upgrade
19,Earnings Yield,6.63%,7.49%,7.45%,6.77%,9.98%,6.88%,8.67%,7.03%,5.31%,2.97%,16.51%,Upgrade
20,FCF Yield,4.60%,5.19%,-7.65%,-7.04%,0.81%,8.90%,13.70%,16.40%,3.98%,-1.42%,42.88%,Upgrade
21,Dividend Yield,3.16%,3.63%,2.74%,2.92%,3.25%,3.12%,8.04%,11.78%,19.44%,8.57%,-,Upgrade
22,Buyback Yield / Dilution,0.82%,0.82%,0.82%,1.27%,1.24%,0.78%,0.76%,0.51%,0.24%,1.17%,2.30%,Upgrade
23,Total Shareholder Return,3.97%,4.45%,3.56%,4.19%,4.48%,3.89%,8.80%,12.30%,19.68%,9.74%,2.30%,Upgrade
