,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,66.97,79.84,75.52,95.24,74.79,103.02,94.17,121.51,58.9,100.11
1,Revenue Growth (YoY),-11.31%,-16.17%,0.97%,-7.55%,-20.57%,-15.21%,59.88%,21.37%,-24.01%,-
2,Cost of Revenue,24.66,17.48,16.1,19.84,20.99,33.35,17.43,18.47,9.47,13.64
3,Gross Profit,42.32,62.36,59.42,75.4,53.8,69.67,76.73,103.04,49.43,86.47
4,"Selling, General & Admin",40.63,44.37,40.95,58.14,43,45.4,53.83,39.14,29.85,44.25
5,Research & Development,6.04,5.34,5.7,10.74,7.18,8.47,9.3,7.19,3.28,8.26
6,Other Operating Expenses,0,2.23,-,0.56,-,10.04,-10.04,3.71,-7.6,-5.15
7,Operating Expenses,46.68,49.26,44.36,79.1,50.74,64.14,53.09,52.23,21.8,54.05
8,Operating Income,-4.36,13.11,15.07,-3.7,3.07,5.53,23.65,50.81,27.62,32.43
9,Interest Expense,-0.13,-0.12,-0.11,-0.49,-0.46,-0.62,-0.22,-0.27,-0.22,-0.03
10,Interest & Investment Income,-,12.7,-,5.01,-,0.51,0.11,0.11,0.16,0.36
11,Earnings From Equity Investments,-,-,-,-,-,-,-,0.06,-0.06,-
12,Currency Exchange Gain (Loss),1.34,2.91,7.22,17.84,-,-1.33,-1.95,-3.71,0.77,0.69
13,Other Non Operating Income (Expenses),6.86,-9.85,6.08,-10.14,12.18,15.9,-,-,-,-
14,EBT Excluding Unusual Items,3.71,18.75,28.26,8.52,14.79,19.99,21.59,47,28.28,33.45
15,Gain (Loss) on Sale of Investments,-,-4.48,-,-9.16,-,10.38,0.8,3.29,-0.19,-2.66
16,Other Unusual Items,-,-,-,-,-,-,-,0.02,-,0
17,Pretax Income,3.71,14.26,28.26,-0.64,14.79,30.37,22.39,50.31,28.08,30.79
18,Income Tax Expense,-0.62,0.91,0.2,-2.71,1.84,5.65,6.28,10.37,3.38,0.88
19,Earnings From Continuing Operations,4.33,13.35,28.05,2.07,12.96,24.72,16.11,39.93,24.71,29.92
20,Minority Interest in Earnings,0.2,1.61,-0.13,0.26,1.11,0.18,-,-,-,-
21,Net Income,4.53,14.96,27.92,2.33,14.07,24.9,16.11,39.93,24.71,29.92
22,Net Income to Common,4.53,14.96,27.92,2.33,14.07,24.9,16.11,39.93,24.71,29.92
23,Net Income Growth,-83.79%,542.65%,98.49%,-90.65%,-12.70%,-37.65%,-34.78%,33.49%,13.36%,-
24,Shares Outstanding (Basic),1111,1111,1111,1113,1118,1125,1131,850,850,850
25,Shares Outstanding (Diluted),1111,1111,1111,1113,1118,1125,1131,900,900,900
26,Shares Change (YoY),-0.03%,-0.16%,-0.64%,-1.04%,-1.12%,24.97%,25.67%,-0.04%,4.69%,-
27,EPS (Basic),0.00,0.01,0.03,0.00,0.01,0.02,0.01,0.05,0.03,0.04
28,EPS (Diluted),0.00,0.01,0.03,-0.00,0.01,0.02,0.01,0.05,0.02,0.03
29,EPS Growth,-84.09%,-,151.31%,-,-0.01%,-52.88%,-52.06%,74.09%,-18.64%,-
30,Free Cash Flow,10.83,22.51,23.35,26.47,19.83,36.28,8.11,18.82,30.74,25.62
31,Free Cash Flow Per Share,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.03
32,Operating Margin,-6.51%,16.42%,19.95%,-3.88%,4.10%,5.37%,25.11%,41.82%,46.90%,32.39%
33,Profit Margin,6.76%,18.74%,36.98%,2.44%,18.81%,24.17%,17.11%,32.87%,41.95%,29.88%
34,Free Cash Flow Margin,16.17%,28.19%,30.92%,27.79%,26.51%,35.22%,8.61%,15.49%,52.19%,25.59%
35,EBITDA,-2.59,14.45,16.28,-2.72,4.15,6.48,24.64,51.67,28.28,33.01
36,D&A For EBITDA,1.77,1.34,1.22,0.98,1.09,0.95,1,0.86,0.66,0.58
37,EBIT,-4.36,13.11,15.07,-3.7,3.07,5.53,23.65,50.81,27.62,32.43
