,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,242,268,155,196,230,601,1021,919,-,-,-
1,Market Cap Growth,36.78%,36.78%,-32.60%,-67.45%,-77.44%,-34.57%,-,-,-,-,-
2,Enterprise Value,-236,-209,-324,-255,-185,199,606,799,-,-,-
3,Last Close Price,0.21,0.24,0.14,0.17,0.20,0.53,0.90,0.81,-,-,-
4,PE Ratio,14.29,12.79,3.29,5.99,12.43,13.17,20.28,13.63,-,-,-
5,Forward PE,-,7.02,7.02,7.02,7.02,7.02,9.91,-,-,-,-
6,PS Ratio,1.51,1.70,0.91,1.06,1.20,2.89,4.22,3.54,-,-,-
7,PB Ratio,0.41,0.47,0.26,0.35,0.42,1.04,1.73,1.60,-,-,-
8,P/TBV Ratio,0.48,0.48,0.27,0.35,0.42,1.06,1.77,1.64,-,-,-
9,P/FCF Ratio,6.75,7.47,3.07,3.64,4.40,9.15,18.74,28.38,-,-,-
10,P/OCF Ratio,7.13,7.13,2.86,3.28,4.10,8.98,18.17,26.80,-,-,-
11,EV/Sales Ratio,-,-,-,-,-,0.95,2.51,3.08,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,15.95,15.87,8.71,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,19.72,16.93,8.93,-,-,-
14,EV/FCF Ratio,-6.58,-,-,-,-,3.02,11.13,24.69,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.04,0.05,0.02,0.30,0.36,0.38
16,Debt / FCF Ratio,0.15,0.15,0.12,0.08,0.10,0.32,0.50,0.35,1.21,0.98,0.93
17,Return on Capital Employed (ROCE),1.62%,-,5.28%,2.18%,-,1.69%,5.87%,15.46%,38.27%,29.63%,33.38%
18,Earnings Yield,8.66%,7.82%,30.43%,16.70%,8.05%,7.59%,4.93%,7.33%,-,-,-
19,FCF Yield,14.81%,13.38%,32.54%,27.50%,22.72%,10.93%,5.34%,3.52%,-,-,-
20,Buyback Yield / Dilution,0.10%,0.03%,0.16%,0.64%,1.04%,1.12%,-24.97%,-25.67%,0.04%,-4.69%,-
21,Total Shareholder Return,0.10%,0.03%,0.16%,0.64%,1.04%,1.12%,-24.97%,-25.67%,0.04%,-4.69%,-
