,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q3 2018,+6 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+6 Quarters
0,Revenue,445235,352271,375514,471448,323136,420025,535720,435337,488053,488362,437734,410253,569520,566437,489724,462456,485669,355836,471192,412669,Upgrade
1,Revenue Growth (YoY),37.79%,-16.13%,-29.90%,8.30%,-33.79%,-13.99%,22.38%,6.11%,-14.30%,-13.78%,-10.62%,-11.29%,17.26%,59.19%,3.93%,12.06%,10.28%,-34.86%,-13.24%,-16.51%,Upgrade
2,Cost of Revenue,396919,287242,325955,381562,266860,365101,470904,376868,392273,405640,378568,344812,465880,466540,416638,381829,403666,294963,386636,389904,Upgrade
3,Gross Profit,48316,65030,49559,89886,56277,54924,64816,58468,95780,82722,59166,65441,103640,99897,73086,80627,82004,60873,84555,22766,Upgrade
4,"Selling, General & Admin",97951,57165,85473,78747,91509,53700,99556,55947,107094,61605,79024,68960,107044,90148,111583,72109,95670,52791,99701,55276,Upgrade
5,Operating Expenses,97951,57165,85473,78747,91509,53700,99556,55947,107094,61605,79024,68960,107044,90148,111583,72109,95670,52791,99701,55276,Upgrade
6,Operating Income,-49635,7865,-35914,11139,-35232,1224,-34740,2522,-11314,21117,-19858,-3518,-3404,9749,-38497,8519,-13666,8082,-15145,-32510,Upgrade
7,Interest Expense,-1488,-1611,-2100,-2171,-2286,-2589,-410.63,-1662,-1672,-1564,-,-3155,-2983,-2972,-2559,-2779,-3003,-2914,-2916,-3111,Upgrade
8,Interest & Investment Income,29884,37814,55326,40894,37708,39046,32264,37093,59168,30411,34113,34286,35683,37265,72165,54247,51534,55283,49008,46164,Upgrade
