,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q3 2018,+6 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+6 Quarters
0,Cash & Equivalents,169043,122476,177314,177314,403509,139871,175995,144334,333347,-,109883,-,-,-,148786,105363,146004,115604,-,-,Upgrade
1,Short-Term Investments,2110798,2207490,2167353,2167353,2069745,2044513,2025681,2042513,2091596,-,2112350,-,-,-,2328875,2704186,2649111,2452068,-,-,Upgrade
2,Cash & Short-Term Investments,2279841,2329965,2344667,2344667,2473254,2184385,2201676,2186848,2424942,2222234,2222234,-,-,2477661,2477661,2809549,2795115,2567672,-,2827542,Upgrade
3,Cash Growth,-7.82%,6.66%,6.49%,7.22%,1.99%,-1.70%,-0.93%,-,-,-10.31%,-10.31%,-,-,-3.51%,-,-0.64%,-1.15%,15.72%,-,-,Upgrade
4,Accounts Receivable,164408,141833,163166,163166,190698,184049,182043,178046,158490,-,151387,-,-,-,146254,133683,125318,96309,-,-,Upgrade
5,Other Receivables,76770,136771,137750,137750,143620,136487,94591,101496,109848,-,104676,-,-,-,117261,140228,148794,179692,-,-,Upgrade
6,Receivables,241178,278604,300916,300916,334318,320536,276634,279541,268338,-,256063,-,-,-,263515,273911,274113,276001,-,-,Upgrade
7,Inventory,974005,998311,1034566,1034566,1138608,1132627,1211045,1205437,1175284,-,1200530,-,-,-,1019473,925645,998694,889181,-,-,Upgrade
8,Prepaid Expenses,2333,1918,2855,2855,2646,2114,2004,2193,2901,-,2052,-,-,-,1616,2064,1100,2932,-,-,Upgrade
9,Other Current Assets,66603,37208,24555,24555,27439,26931,43980,63529,87263,-,56812,-,-,-,40962,50269,25652,71589,-,-,Upgrade
10,Total Current Assets,3563961,3646005,3707558,3707558,3976265,3666594,3735340,3737547,3958728,-,3737691,-,-,-,3803227,4061439,4094674,3807375,-,-,Upgrade
11,"Property, Plant & Equipment",225195,253109,249798,249798,247619,251373,255452,257868,247237,-,233730,-,-,-,306218,286438,297326,305612,-,-,Upgrade
12,Long-Term Investments,1401280,1321336,1259463,1259463,1194648,1401842,1349205,1301884,1183595,-,1191318,-,-,-,1164116,1308940,1226660,1239756,-,-,Upgrade
13,Other Intangible Assets,22153,22665,22836,22836,23182,23356,23529,23703,23876,-,24327,-,-,-,25126,20368,20549,20729,-,-,Upgrade
14,Long-Term Deferred Tax Assets,11332,10206,11594,11594,10520,9379,4474,9366,9324,-,4686,-,-,-,6250,6520,6652,6613,-,-,Upgrade
15,Other Long-Term Assets,243375,255239,231457,231457,245143,252286,248915,256008,263100,-,253543,-,-,-,198729,203960,209230,212637,-,-,Upgrade
16,Total Assets,5467295,5508560,5482706,5482706,5697377,5604830,5616914,5586375,5685859,-,5445295,-,-,-,5503667,5887665,5855090,5592723,-,-,Upgrade
17,Accounts Payable,70033,83351,106739,106739,114845,102202,124159,147206,127193,-,121408,-,-,-,116699,76569,103605,72052,-,-,Upgrade
18,Accrued Expenses,118019,64044,104892,104892,112781,70624,129783,83342,115211,-,137525,-,-,-,115558,86433,125524,99941,-,-,Upgrade
19,Short-Term Debt,110990,94784,118264,118264,129337,133772,160605,197382,187521,-,181130,-,-,-,194491,175121,206726,148308,-,-,Upgrade
20,Current Portion of Long-Term Debt,1560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Current Income Taxes Payable,-,18612,14032,14032,26464,15018,12282,31484,19199,-,17706,-,-,-,19580,24624,19459,21847,-,-,Upgrade
22,Current Unearned Revenue,12370,9360,9496,9496,10371,11488,8168,7867,9327,-,8643,-,-,-,10008,10599,8376,11223,-,-,Upgrade
23,Other Current Liabilities,81515,98244,73063,73063,377519,73102,79736,70416,313321,-,94657,-,-,-,69922,91195,94645,93572,-,-,Upgrade
24,Total Current Liabilities,394486,368395,426486,426486,771316,406205,514733,537697,771772,-,561069,-,-,-,526258,464539,558335,446943,-,-,Upgrade
25,Long-Term Debt,1411,4516,5008,5008,3499,3239,3629,10344,10959,-,12241,-,-,-,11948,7120,12848,15143,-,-,Upgrade
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,6.39,6.39,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Deferred Tax Liabilities,18321,19298,19292,19292,15715,15451,14687,14533,14893,-,15257,-,-,-,15045,12062,11794,11893,-,-,Upgrade
28,Other Long-Term Liabilities,55910,36109,46266,46266,43653,40863,40969,38534,38111,-,37506,-,-,-,36285,12764,12046,11717,-,-,Upgrade
29,Total Liabilities,470128,428319,497053,497053,834184,465759,574018,601115,835742,-,626073,-,-,-,589536,496487,595024,485697,-,-,Upgrade
30,Common Stock,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,-,3500000,-,-,-,3500000,3500000,3500000,3500000,-,-,Upgrade
31,Retained Earnings,1425362,1508525,1412152,1412152,1267266,1537889,1443680,1373412,1244930,-,1227821,-,-,-,1338182,1815029,1686496,1533781,-,-,Upgrade
32,Comprehensive Income & Other,-944.23,-5607,-2141,-2141,1999,2262,566.17,14884,7863,-,9093,-,-,-,1131,1197,1327,3591,-,-,Upgrade
33,Total Common Equity,4924418,5002918,4910012,4910012,4769265,5040151,4944246,4888296,4752793,4736914,4736914,-,-,4839313,4839313,5316226,5187824,5037372,-,5011647,Upgrade
34,Minority Interest,72750,77323,75642,75642,93929,98920,98651,96964,97325,-,82308,-,-,-,74818,74953,72242,69654,-,-,Upgrade
35,Shareholders' Equity,4997167,5080242,4985653,4985653,4863194,5139071,5042897,4985260,4850118,4819222,4819222,-,-,4914131,4914131,5391179,5260066,5107026,-,5083332,Upgrade
36,Total Liabilities & Equity,5467295,5508560,5482706,5482706,5697377,5604830,5616914,5586375,5685859,-,5445295,-,-,-,5503667,5887665,5855090,5592723,-,-,Upgrade
37,Total Debt,113961,99300,123272,123272,132836,137011,164234,207726,198480,193371,193371,-,-,206439,206439,182241,219575,163452,-,113811,Upgrade
38,Net Cash (Debt),2165880,2230665,2221394,2221394,2340419,2047374,2037442,1979122,2226462,2028863,2028863,-,-,2271222,2271222,2627308,2575540,2404220,-,2713731,Upgrade
39,Net Cash Growth,-7.46%,8.95%,9.03%,12.24%,5.12%,0.91%,0.42%,-,-,-10.67%,-10.67%,-,-,-5.53%,-,-3.18%,-5.09%,15.75%,-,-,Upgrade
40,Net Cash Per Share,-,-,-,-,-,-,5420.50,-,-,-,5015.21,-,-,-,-,-,-,-,-,-,Upgrade
41,Filing Date Shares Outstanding,-,-,-,-,-,-,375.88,-,-,-,404.54,-,-,-,-,-,-,-,-,-,Upgrade
42,Total Common Shares Outstanding,-,-,-,-,-,-,375.88,-,-,-,404.54,-,-,-,-,-,-,-,-,-,Upgrade
43,Working Capital,3169475,3277611,3281072,3281072,3204949,3260389,3220607,3199850,3186956,-,3176622,-,-,-,3276968,3596899,3536339,3360432,-,-,Upgrade
44,Book Value Per Share,-,-,-,-,-,-,13153.90,-,-,11709.32,11709.32,-,-,-,-,-,-,-,-,-,Upgrade
45,Tangible Book Value,4902265,4980253,4887175,4887175,4746083,5016795,4920717,4864593,4728917,4712587,4712587,-,-,4814187,4814187,5295858,5167275,5016643,-,4989989,Upgrade
46,Tangible Book Value Per Share,-,-,-,-,-,-,13091.30,-,-,11649.19,11649.19,-,-,-,-,-,-,-,-,-,Upgrade
47,Buildings,418860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
