,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,221.73,177.8,138.34,111.5,92.14,147.25,132.21,239.34,142.11,182.88,159.32,115.8,83.35,87.36,74.52,76.74,83.24,50.86,76.43,66.65
1,Other Revenue,-,-4.63,4.63,-,29.38,-18.27,18.27,-,16.25,-7.22,7.22,-,8.94,-3.94,3.94,-,5.76,-3.16,3.16,-
2,Revenue,221.73,173.17,142.97,111.5,121.52,128.98,150.48,239.34,158.36,175.66,166.54,115.8,92.28,83.42,78.46,76.74,89,47.7,79.59,66.65
3,Revenue Growth (YoY),82.46%,34.26%,-4.99%,-53.41%,-23.26%,-26.58%,-9.64%,106.70%,71.60%,110.58%,112.25%,50.89%,3.69%,74.88%,-1.42%,15.15%,-,-,-,-
4,Cost of Revenue,226.92,107.47,86.55,75.8,80.32,70.3,86.46,158.26,97.82,104.44,98.11,71.58,69.34,54.53,51.75,53.38,64.45,30.81,51.74,43.35
5,Gross Profit,-5.19,65.7,56.42,35.7,41.2,58.68,64.02,81.08,60.54,71.22,68.43,44.22,22.94,28.89,26.71,23.36,24.55,16.89,27.85,23.29
6,"Selling, General & Admin",-40.9,13.4,15.72,11.78,10.72,11.42,12.28,11.94,12.24,11.43,10.63,7.1,5.68,11.94,4.47,6.48,4.6,8.64,5.18,6.04
7,Research & Development,-25.61,11.27,7.51,6.82,12.73,8.84,9.94,7.1,9.13,7.3,9.13,4.87,9.15,5.34,4.59,3.22,7.2,4.42,5.05,2.71
8,Other Operating Expenses,0.75,-3.43,4.51,-1.82,0.5,-2.8,-5.85,1.07,20.83,-12.35,-2.69,1.9,2.13,0.59,0.52,0.77,-1.73,-10.35,2.2,-
