,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3455,2865,2741,2514,2853,3437,3139,4165,4624,4057,3920,3761,2674,3076,-,-,-,-,-,-,-
1,Market Cap Growth,-16.67%,-16.67%,-12.67%,-39.64%,-38.29%,-15.28%,-19.94%,10.75%,72.94%,31.92%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3095,2504,2415,2165,2493,3009,2560,3573,3990,3260,3181,3094,2063,2706,-,-,-,-,-,-,-
3,Last Close Price,15.38,12.75,12.20,11.19,12.60,15.18,13.86,17.88,19.85,17.42,16.83,16.15,11.48,13.20,-,-,-,-,-,-,-
4,PE Ratio,26.52,22.00,26.71,23.87,24.32,22.38,18.50,21.75,23.75,23.68,26.95,38.41,38.01,58.55,-,-,-,-,-,-,-
5,Forward PE,18.09,11.31,10.80,11.02,12.59,12.59,12.64,17.73,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.32,4.41,4.99,4.98,5.57,5.37,4.63,5.75,6.25,6.58,7.12,8.21,7.23,9.29,-,-,-,-,-,-,-
7,PB Ratio,2.67,2.10,2.00,1.89,2.16,2.64,2.46,3.36,3.72,3.26,3.45,3.49,2.59,3.07,-,-,-,-,-,-,-
8,P/TBV Ratio,2.36,2.36,2.26,2.14,2.45,2.99,2.79,3.83,4.23,3.72,3.58,3.63,2.70,3.21,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-52.54,-,-,-,-,-,-,-,20.65,28.36,32.73,95.12,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,23.63,33.77,31.62,-,33.71,28.72,26.75,17.34,18.04,22.36,22.81,46.97,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.77,3.86,4.40,4.29,4.86,4.70,3.78,4.94,5.39,5.29,5.78,6.75,5.58,8.18,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,16.45,13.23,16.56,15.53,15.89,15.36,13.21,16.47,18.30,17.46,18.31,26.10,24.72,42.01,-,-,-,-,-,-,-
13,EV/EBIT Ratio,20.28,16.41,22.13,20.46,19.95,18.01,15.23,18.63,20.41,19.77,20.85,31.33,31.96,57.62,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-46.29,-,-,-,-,-,-,-,16.76,23.33,25.26,83.67,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.00,0.00,0.02,0.02,0.00,0.01,0.01,0.01,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.09,0.06,0.08,0.21,0.22,0.21,0.00,0.00,0.10,0.24,0.01,0.02,0.04,0.11,-,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-0.31,-,-,-,-,-,-,-,0.02,0.04,0.07,0.17,-,-,-,-,-,-,-
18,Asset Turnover,-,0.45,0.38,0.30,0.34,0.36,-,-,0.46,0.56,0.55,0.41,0.38,0.40,-,-,-,-,-,-,
19,Inventory Turnover,-,-,2.03,1.66,1.51,1.67,1.56,-,-,3.22,3.78,3.55,2.55,2.47,1.99,-,-,-,-,-,-
20,Quick Ratio,-,-,3.72,2.88,3.65,3.94,6.52,3.41,-,3.46,6.49,5.94,5.77,9.12,6.54,6.27,-,6.25,-,6.15,-
21,Current Ratio,-,-,5.48,4.14,5.45,5.76,9.26,4.34,-,4.37,7.53,7.04,6.86,10.87,8.55,8.12,-,8.16,-,8.13,-
22,Return on Equity (ROE),13.39%,10.66%,9.32%,5.37%,7.40%,12.08%,13.65%,17.09%,12.52%,21.29%,16.97%,12.03%,5.10%,5.99%,9.32%,7.08%,-,-,-,-,
