,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,451.55,432.55,446.38,456.42,498.92,647.62,-,728.47,393.38,339.23,169.67,315.52,164.87,168.25,-,147.88,-,49.2,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,407.67,405.41,503.36,300.12,205.24,203.93,-,201.3,-,283.55,-
2,Cash & Short-Term Investments,451.55,451.55,432.55,446.38,456.42,498.92,647.62,728.47,728.47,801.06,744.64,673.02,615.64,370.11,372.18,349.18,349.18,-,332.75,-
3,Cash Growth,-1.07%,-9.49%,-33.21%,-38.72%,-37.35%,-37.72%,-13.03%,8.24%,18.33%,116.44%,100.07%,92.74%,76.31%,-,11.85%,-,-,-,-,-
4,Accounts Receivable,-,38.55,44.33,27.91,26.04,14.84,13.76,-,14.82,20.41,11.18,32.12,17.12,20.63,14.97,-,8.75,-,5.53,-
5,Other Receivables,-,4.89,28.12,6.9,5.62,6.92,12.19,-,7.5,1.3,1.08,1.85,0.96,6.05,3.86,-,1.1,-,1.43,-
6,Receivables,-,43.44,72.45,34.81,31.66,21.75,25.95,-,22.32,21.71,12.26,33.97,18.08,26.68,18.84,-,9.85,-,6.97,-
7,Inventory,-,210.14,213.03,203.43,197.95,187.04,172.78,-,133.44,109.61,111.55,109.51,114.82,109.53,109.38,-,98.95,-,90.32,-
8,Other Current Assets,-,23.92,7.59,33.68,28.23,31.78,10.7,-,63.17,22.91,27.72,24.79,7.12,12.49,5.97,-,10.48,-,19.09,-
9,Total Current Assets,-,729.05,725.61,718.29,714.27,739.48,857.04,-,947.4,955.28,896.17,841.3,755.66,518.81,506.36,-,468.45,-,449.12,-
10,"Property, Plant & Equipment",-,713.78,718.1,658.1,635.04,516.47,491.1,-,425.36,278.61,281.48,283.84,285.45,276.02,279.52,-,281.67,-,275.95,-
11,Goodwill,-,19.33,19.33,19.33,19.33,19.33,19.33,-,19.33,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,60.14,60.77,61.35,61.99,62.26,62.38,-,63.55,42.39,42.64,42.9,43.15,43.39,43.65,-,44.14,-,44.64,-
13,Long-Term Deferred Tax Assets,-,0.52,0.59,1.25,1.24,0.45,0.53,-,0.79,0.66,0.66,0.88,0.88,0.99,0.99,-,1.37,-,1.69,-
14,Long-Term Deferred Charges,-,1.96,1.4,1.54,1.35,0.64,0.7,-,0.19,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,-,3.59,8.69,20.25,19.65,50.36,37.52,-,34.63,9.77,6.28,6.52,8.01,7.99,6.49,-,5.2,-,8.44,-
16,Total Assets,-,1528,1535,1480,1453,1389,1469,-,1491,1287,1227,1175,1093,847.2,837.01,-,800.83,-,779.85,-
17,Accounts Payable,-,53.36,67.46,38.33,45.77,15.78,25.12,-,38.75,27.64,22.57,28.04,22.92,22.64,33.01,-,30.36,-,27.14,-
18,Accrued Expenses,-,27.69,26.37,22.05,14.25,26.05,25.48,-,20.61,23.07,33.2,15.43,16.24,16.14,17.8,-,11.39,-,20.55,-
19,Short-Term Debt,-,16.01,32.91,24.88,23.84,-,-,-,3.01,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,0.46,-,-,19.59,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,-,0.07,0.07,0.07,-,0.07,-,3.76,3.68,5.64,5.61,3.72,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,4.76,1.54,1.22,-,8.02,6.47,-,8.78,21.19,9.54,8.72,0.46,0.92,1.63,-,0.37,-,1.86,-
23,Current Unearned Revenue,-,25.6,43.41,35.24,26.09,24.68,34.52,-,104.99,39.41,50.87,53.94,20.68,12.03,9.09,-,9.31,-,4.08,-
24,Other Current Liabilities,-,5.64,3.52,10.04,13.93,4.85,105.9,-,17.5,11.87,5.53,10.85,5.49,8.97,0.82,-,6.01,-,1.62,-
25,Total Current Liabilities,-,133.07,175.28,131.82,123.95,79.83,197.56,-,216.99,126.87,127.35,122.59,69.51,60.7,62.35,-,57.44,-,55.24,-
26,Long-Term Leases,-,-,-,0,0,0,0,-,0.07,-,-,-,1.85,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,17.56,17.71,17.85,16.43,16.57,16.7,-,16.81,16.94,17.07,17.2,17.33,17.46,17.59,-,17.85,-,18.11,-
28,Long-Term Deferred Tax Liabilities,-,5.3,5.39,5.5,5.59,9.51,9.65,-,9.53,1.95,1.95,1.18,1.18,1.77,1.77,-,1.39,-,1.75,-
29,Other Long-Term Liabilities,-,5.24,5.31,5.21,5.21,5.21,5.47,-,4.3,4.01,3.47,2.44,2.44,3.18,3.18,-,3.18,-,3.24,-
30,Total Liabilities,-,161.17,203.69,160.39,151.18,111.12,229.38,-,247.71,149.77,149.84,143.41,92.31,83.11,84.89,-,79.87,-,78.34,-
31,Common Stock,-,224.67,224.67,224.67,224.67,224.67,224.67,-,224.67,224.67,224.67,224.67,224.67,168.5,168.5,-,168.5,-,168.5,-
32,Additional Paid-In Capital,-,645.94,645.51,645.07,644.64,644.28,643.66,-,642.39,641.75,641.13,640.52,639.9,470.56,469.95,-,468.71,-,467.47,-
33,Retained Earnings,-,421.45,387.06,377.72,360.18,339.06,301.98,-,307.65,270.52,211.59,166.84,136.28,125.03,113.67,-,83.75,-,65.54,-
34,Total Common Equity,1292,1292,1257,1247,1229,1208,1170,1175,1175,1137,1077,1032,1001,764.09,752.12,720.96,720.96,-,701.5,-
35,Minority Interest,-,75.13,73.58,72.25,72.21,69.86,68.94,-,68.84,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1367,1367,1331,1320,1302,1278,1239,1244,1244,1137,1077,1032,1001,764.09,752.12,720.96,720.96,-,701.5,-
37,Total Liabilities & Equity,-,1528,1535,1480,1453,1389,1469,-,1491,1287,1227,1175,1093,847.2,837.01,-,800.83,-,779.85,-
