,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,931976,513359,454559,389111,761372,275832,431275,300484,331046,367832,612362,477591,421211,342237,313577,516299,365915,200126,171735,141047,Upgrade
1,Short-Term Investments,58474,58474,58474,58474,58474,7964,8474,37964,37964,37964,37654,38130,37654,37654,7654,7654,7654,7654,7654,7654,Upgrade
2,Accounts Receivable,531610,566076,588048,595761,529194,542692,494677,569275,544340,555187,655509,636987,465663,437606,473686,428713,468596,430261,454166,420367,Upgrade
3,Other Receivables,11038,14638,9195,12995,6712,11345,54001,15157,13635,30231,9194,22355,9626,16090,11871,17298,33000,22137,15570,14542,Upgrade
4,Inventory,122161,104702,115413,114909,92403,95857,117004,129177,130569,188262,175759,135877,152357,119297,115774,150471,152340,111582,110139,100259,Upgrade
5,Prepaid Expenses,6450,11401,13764,16597,5144,8318,6135,10797,5395,15227,12692,20547,7889,15752,16392,23093,10542,16403,15159,29346,Upgrade
6,Loans Receivable Current,191.68,191.68,100000,50192,-,66466,-,1128,-,68.8,4217,2539,194.09,-,-,-,-,-,-,-,Upgrade
7,Other Current Assets,107402,110397,119205,130994,125189,131127,86107,159068,98105,132246,82670,83000,79840,76375,78702,89584,81197,89761,82853,73840,Upgrade
8,Total Current Assets,1769303,1379239,1458658,1369031,1578488,1139600,1197672,1223050,1161053,1327017,1590057,1417027,1174433,1045011,1017656,1233112,1119243,877925,857275,787056,Upgrade
