,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1574962,1639960,1599961,1624961,1349967,1384967,1199971,1304969,1294969,1289969,1389966,1224970,1309968,1249970,1424966,924978,994976,999976,754982,714983,764982,Upgrade
1,Market Cap Growth,18.41%,18.41%,33.33%,24.52%,4.25%,7.36%,-13.67%,6.53%,-1.15%,3.20%,-2.46%,32.43%,31.66%,25.00%,88.74%,29.37%,30.07%,-29.58%,-51.29%,-57.31%,-56.03%,Upgrade
2,Enterprise Value,1125131,1258037,1475218,1474418,1116737,1309085,1129993,1126250,1210630,1122711,1075598,854865,899081,1058570,1384144,847132,1165146,1193275,905593,822282,829474,Upgrade
3,PE Ratio,15.01,14.14,15.14,16.69,14.90,14.55,14.60,17.35,15.26,-,13.51,12.02,14.75,18.33,16.08,8.90,11.87,21.35,118.36,-108.57,-,Upgrade
4,PS Ratio,0.27,0.25,0.26,0.27,0.24,0.24,0.21,0.22,0.20,0.19,0.21,0.19,0.22,0.22,0.26,0.17,0.20,0.21,0.15,0.13,0.12,Upgrade
5,PB Ratio,2.16,1.62,1.59,1.67,1.40,1.37,1.20,1.34,1.24,1.27,1.36,1.22,1.26,1.24,1.44,0.95,0.99,1.01,0.79,0.74,0.80,Upgrade
6,P/FCF Ratio,5.23,5.45,4.86,4.73,-,5.67,18.98,-,-7.23,-,-,-,3.48,2.06,3.11,3.48,4.69,-11.31,-,-,-,Upgrade
7,P/OCF Ratio,4.95,4.95,4.17,3.91,-,4.26,8.15,-,-15.18,-,-,-,3.10,1.91,2.74,2.78,4.54,-20.10,-,-,-,Upgrade
8,EV/Sales Ratio,0.17,0.20,0.24,0.25,0.20,0.23,0.20,0.19,0.19,0.16,0.16,0.13,0.15,0.19,0.25,0.16,0.24,0.25,0.18,0.15,0.13,Upgrade
9,EV/EBITDA Ratio,5.43,6.07,6.67,7.17,5.64,6.25,5.91,6.04,5.96,5.53,4.92,3.89,4.32,5.53,6.14,3.47,5.16,5.32,4.78,4.57,4.14,Upgrade
10,EV/EBIT Ratio,8.30,9.28,9.80,10.40,8.32,9.16,9.53,10.32,10.00,9.47,7.94,6.29,7.27,10.00,10.11,5.57,8.95,13.63,18.39,24.48,-,Upgrade
11,EV/FCF Ratio,3.74,4.18,4.48,4.29,-,5.36,17.88,-,-6.76,-,-,-,2.39,1.75,3.02,3.19,5.49,-13.50,-,-,-,Upgrade
12,Debt / Equity Ratio,0.53,0.53,0.19,0.40,0.31,0.58,0.21,0.38,0.15,0.28,0.23,0.33,0.14,0.05,0.19,0.29,0.45,0.55,0.42,0.34,0.27,Upgrade
13,Debt / EBITDA Ratio,2.61,3.62,0.72,1.75,1.52,2.87,1.03,1.94,0.66,2.20,1.31,1.31,0.60,0.25,1.01,1.33,2.56,1.65,1.53,2.40,1.54,Upgrade
14,Debt / FCF Ratio,1.80,1.80,0.58,1.13,-,2.40,3.29,-,-0.89,-,-,-,0.39,0.08,0.41,1.05,2.10,-6.15,-,-,-,Upgrade
15,Quick Ratio,0.94,0.92,0.89,0.77,0.77,0.89,0.77,0.84,0.81,0.81,0.77,0.83,0.86,0.80,0.78,0.75,0.78,0.77,0.71,0.73,0.71,Upgrade
16,Current Ratio,1.06,1.06,1.06,1.01,1.00,1.03,1.05,1.02,1.07,1.02,1.03,1.01,1.04,1.00,0.98,0.94,0.99,0.99,0.94,0.96,0.96,Upgrade
17,Asset Turnover,2.57,2.59,2.53,2.25,2.40,2.37,2.21,2.43,2.52,2.32,2.78,2.90,2.46,2.28,2.53,2.26,2.43,2.21,1.97,2.52,Upgrade,
18,Return on Equity (ROE),7.28%,14.33%,13.92%,11.56%,7.61%,11.00%,10.64%,12.81%,3.19%,7.95%,14.32%,13.32%,9.27%,7.80%,9.51%,5.39%,17.53%,14.39%,1.42%,-9.73%,Upgrade,
19,Return on Assets (ROA),1.90%,4.28%,3.80%,3.18%,3.48%,3.71%,3.26%,4.36%,1.09%,2.35%,3.96%,3.91%,2.96%,2.78%,3.26%,2.24%,6.61%,4.89%,1.11%,-2.53%,Upgrade,
20,Return on Capital (ROIC),3.67%,8.47%,7.41%,5.84%,6.25%,6.79%,6.13%,8.35%,2.11%,4.84%,8.54%,8.81%,6.22%,5.23%,5.73%,3.63%,10.19%,7.69%,1.80%,-4.27%,Upgrade,
21,Return on Capital Employed (ROCE),11.56%,11.56%,12.79%,12.32%,11.67%,11.81%,9.80%,9.16%,9.47%,9.49%,10.80%,11.04%,9.73%,8.53%,11.19%,12.66%,10.60%,7.21%,4.21%,2.88%,-,Upgrade
22,Earnings Yield,7.36%,7.07%,7.29%,6.67%,7.53%,7.67%,7.93%,6.76%,7.56%,7.66%,8.19%,9.22%,7.62%,6.34%,6.92%,12.31%,9.43%,5.68%,3.86%,2.26%,4.49%,Upgrade
23,Earnings Yield,7.36%,7.07%,7.29%,6.67%,7.53%,7.67%,7.93%,6.76%,7.56%,7.66%,8.19%,9.22%,7.62%,6.34%,6.92%,12.31%,9.43%,5.68%,3.86%,2.26%,4.49%,Upgrade
24,FCF Yield,19.11%,18.36%,20.58%,21.14%,8.30%,17.62%,5.27%,-13.67%,-13.83%,-20.88%,2.19%,20.71%,28.70%,48.50%,32.12%,28.75%,21.32%,-8.84%,-34.56%,-70.96%,-47.17%,Upgrade
25,Dividend Yield,6.35%,-,-,-,-,7.73%,15.61%,-,-,8.94%,-,-,-,7.32%,-,-,-,6.41%,-,-,-,Upgrade
26,Payout Ratio,86.21%,-,2.26%,294.76%,-,-,368.75%,-,-,-,361.00%,-,146.82%,-,-,213.01%,-,93.95%,-,-,-,Upgrade
27,Buyback Yield / Dilution,-10.50%,-49.52%,0.23%,5.83%,2.92%,12.91%,-3.09%,-11.80%,4.33%,39.11%,11.12%,3.16%,-8.48%,-38.58%,-8.13%,21.39%,-0.82%,3.98%,27.57%,10.91%,38.16%,Upgrade
28,Total Shareholder Return,-4.15%,-49.52%,0.23%,5.83%,2.92%,20.64%,12.51%,-11.80%,4.33%,48.05%,11.12%,3.16%,-8.48%,-31.26%,-8.13%,21.39%,-0.82%,10.39%,27.57%,10.91%,38.16%,Upgrade
