,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5394,4270,4131,5291,-,-,-
1,Enterprise Value,4724,3544,3309,5187,-,-,-
2,Last Close Price,29.08,23.02,22.27,28.21,-,-,-
3,PE Ratio,22.95,20.86,21.13,31.76,-,-,-
4,Forward PE,26.44,20.74,-,-,-,-,-
5,PS Ratio,4.60,4.17,4.26,5.90,-,-,-
6,PB Ratio,3.02,2.39,2.39,3.09,-,-,-
7,P/TBV Ratio,2.49,2.49,2.50,3.23,-,-,-
8,P/FCF Ratio,-,-116.63,-,-,-,-,-
9,P/OCF Ratio,52.52,80.99,125.87,-,-,-,-
10,EV/Sales Ratio,4.60,3.46,3.41,5.78,-,-,-
11,EV/EBITDA Ratio,16.93,12.40,12.59,21.37,-,-,-
12,EV/EBIT Ratio,20.94,14.90,15.39,26.45,-,-,-
13,EV/FCF Ratio,-556.71,-96.78,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.04,-,-,0.19
15,Debt / EBITDA Ratio,0.03,0.03,0.05,0.29,-,-,0.73
16,Debt / FCF Ratio,-,-0.25,-,-,-,-,29.81
17,Asset Turnover,0.55,0.52,-,-,-,-,
18,Inventory Turnover,-,2.56,2.97,-,-,-,-
19,Quick Ratio,3.88,3.88,4.78,4.66,-,-,-
20,Current Ratio,5.37,5.37,6.18,5.77,-,-,-
21,Return on Equity (ROE),13.61%,14.27%,-,-,-,-,
22,Return on Assets (ROA),8.90%,7.22%,-,-,-,-,
23,Return on Capital (ROIC),10.50%,8.50%,-,-,-,-,
24,Return on Capital Employed (ROCE),12.11%,12.76%,11.91%,10.55%,-,-,-
25,Earnings Yield,3.81%,4.79%,4.73%,3.15%,-,-,-
26,FCF Yield,-0.16%,-0.86%,-1.09%,-0.32%,-,-,-
27,Payout Ratio,25.12%,0.05%,82.29%,1.24%,1.66%,8.69%,122.06%
28,Buyback Yield / Dilution,-16.67%,-33.32%,-33.36%,-,-,-,-
29,Total Shareholder Return,-15.77%,-33.32%,-33.36%,-,-,-,-
