,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,286.13,270.83,219.88,246.59,232.07,198.32
1,Revenue Growth (YoY),23.30%,36.56%,-,-,-,-
2,Cost of Revenue,185.35,173.93,137.53,163.76,152.44,134.77
3,Gross Profit,100.79,96.89,82.36,82.83,79.63,63.55
4,"Selling, General & Admin",25.3,20.35,19.02,21.38,16.87,15.08
5,Research & Development,9.96,12.9,11.07,9.34,8.79,8.37
6,Other Operating Expenses,-9.95,1.62,0.58,-0.51,0.96,-0.4
7,Operating Expenses,26.53,36.95,30.42,31.09,28.23,22.58
8,Operating Income,74.25,59.94,51.94,51.74,51.4,40.97
9,Interest Expense,-0.11,-0.5,-0.53,-0.72,-0.91,-1.24
10,Interest & Investment Income,1.69,2.54,1.37,1.54,1.43,0.76
11,Currency Exchange Gain (Loss),-1.29,1.29,-,-4.49,4.49,-
12,Other Non Operating Income (Expenses),-3.05,0.43,-0.66,1.12,1,-1.67
13,EBT Excluding Unusual Items,71.49,63.71,52.12,49.19,57.41,38.82
14,Gain (Loss) on Sale of Investments,1.43,0.65,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,0.19,-,0.14,0,-
16,Asset Writedown,-0.21,-0.03,-0.27,-0.87,0.53,-0.61
17,Legal Settlements,-0.08,0.08,-,-,-,-
18,Other Unusual Items,-5.7,5.7,-,-0.59,0.59,-
19,Pretax Income,66.93,70.29,51.86,47.87,58.53,38.21
20,Income Tax Expense,7.17,9.01,9.17,6.92,7.89,5.93
21,Net Income,59.76,61.28,42.69,40.95,50.63,32.29
22,Net Income to Common,59.76,61.28,42.69,40.95,50.63,32.29
23,Net Income Growth,18.02%,89.80%,-,-,-,-
24,Shares Outstanding (Basic),186,186,139,139,139,139
25,Shares Outstanding (Diluted),186,186,139,139,139,139
26,Shares Change (YoY),33.32%,33.36%,-,-,-,-
27,EPS (Basic),0.32,0.33,0.31,0.29,0.36,0.23
28,EPS (Diluted),0.32,0.33,0.31,0.29,0.36,0.23
29,EPS Growth,-11.47%,42.33%,-,-,-,-
30,Free Cash Flow,14.16,-23.16,-40.11,12.49,5.54,5.08
31,Free Cash Flow Per Share,0.08,-0.12,-0.29,0.09,0.04,0.04
32,Gross Margin,35.22%,35.78%,37.45%,33.59%,34.31%,32.04%
33,Operating Margin,25.95%,22.13%,23.62%,20.98%,22.15%,20.66%
34,Profit Margin,20.88%,22.63%,19.41%,16.61%,21.82%,16.28%
35,Free Cash Flow Margin,4.95%,-8.55%,-18.24%,5.07%,2.39%,2.56%
36,EBITDA,86.41,72.29,64.1,62.86,63.6,52.09
37,EBITDA Margin,30.20%,26.69%,29.15%,25.49%,27.40%,26.26%
38,D&A For EBITDA,12.16,12.34,12.16,11.12,12.2,11.12
39,EBIT,74.25,59.94,51.94,51.74,51.4,40.97
40,EBIT Margin,25.95%,22.13%,23.62%,20.98%,22.15%,20.66%
41,Effective Tax Rate,10.71%,12.82%,17.68%,14.45%,13.49%,15.51%
42,Revenue as Reported,286.13,270.83,219.88,246.59,232.07,198.32
