,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,509.38,336.66,895.08,-,-,-
1,Short-Term Investments,-,61.79,-,-,-,-
2,Trading Asset Securities,170.56,343.7,0.55,-,-,-
3,Cash & Short-Term Investments,679.94,742.15,895.63,-,-,234.24
4,Cash Growth,-,216.83%,-,-,-,-
5,Accounts Receivable,386.85,328.66,310.27,-,-,-
6,Other Receivables,3.01,3.39,3.48,-,-,-
7,Receivables,389.86,332.05,313.75,-,-,-
8,Inventory,322.95,255.71,212.27,-,-,-
9,Prepaid Expenses,-,0.84,-,-,-,-
10,Other Current Assets,86.64,58.29,76.37,-,-,-
11,Total Current Assets,1479,1389,1498,-,-,-
12,"Property, Plant & Equipment",559.36,538.94,521.26,-,-,-
13,Other Intangible Assets,72.91,73.4,71.11,-,-,-
14,Long-Term Deferred Tax Assets,12.49,12.06,13.46,-,-,-
15,Long-Term Deferred Charges,3.26,1.98,2.02,-,-,-
16,Other Long-Term Assets,12.01,14.89,12.64,-,-,-
17,Total Assets,2139,2030,2119,-,-,-
18,Accounts Payable,114.08,94.4,107.7,-,-,-
19,Accrued Expenses,41.68,29.94,37.89,-,-,-
20,Short-Term Debt,-,7.36,0.27,-,-,-
21,Current Portion of Leases,3.84,2.83,2.38,-,-,-
22,Current Income Taxes Payable,17.24,8.75,7.91,-,-,-
23,Current Unearned Revenue,5.8,6.62,8.56,-,-,-
24,Other Current Liabilities,92.99,75.01,94.83,-,-,-
25,Total Current Liabilities,275.63,224.9,259.55,-,-,-
26,Long-Term Debt,0.1,1.1,65,-,-,-
27,Long-Term Leases,5.37,4.12,6.14,-,-,-
28,Long-Term Unearned Revenue,41.91,43.08,40.52,-,-,-
29,Long-Term Deferred Tax Liabilities,30.25,31.48,34.6,-,-,-
30,Other Long-Term Liabilities,-,0.52,1.3,-,-,-
31,Total Liabilities,353.25,305.2,407.11,-,-,-
32,Common Stock,185.5,185.5,185.5,-,-,-
33,Additional Paid-In Capital,848.19,848.17,848,-,-,-
34,Retained Earnings,741.88,682.12,668.93,-,-,-
35,Comprehensive Income & Other,10.61,9.3,8.99,-,-,-
36,Shareholders' Equity,1786,1725,1711,-,-,817.39
37,Total Liabilities & Equity,2139,2030,2119,-,-,-
38,Total Debt,9.31,15.4,73.8,-,-,151.33
39,Net Cash (Debt),670.63,726.75,821.84,-,-,82.91
40,Net Cash Growth,-,776.58%,-,-,-,-
41,Net Cash Per Share,3.62,3.92,5.91,-,-,0.60
42,Filing Date Shares Outstanding,185.5,185.5,185.5,139.11,139.14,139.11
43,Total Common Shares Outstanding,185.5,185.5,185.5,139.11,139.14,139.11
44,Working Capital,1204,1164,1238,-,-,-
45,Book Value Per Share,9.63,9.30,9.23,-,-,5.88
46,Tangible Book Value,1713,1652,1640,-,-,744.35
47,Tangible Book Value Per Share,9.24,8.90,8.84,-,-,5.35
48,Buildings,-,278.05,-,-,-,-
49,Machinery,-,361.47,-,-,-,-
50,Construction In Progress,-,140.51,-,-,-,-
