,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Market Capitalization,744,636,804,852,1020,1188,1248,1824,3312,3588,4092
1,Market Cap Growth,-25.35%,-25.35%,-21.18%,-28.28%,-18.27%,-34.87%,-62.32%,-49.16%,-19.06%,-,-
2,Enterprise Value,2304,2680,2454,3119,2961,3720,3086,3593,4350,3714,5477
3,Last Close Price,0.62,0.53,0.67,0.71,0.85,0.99,1.04,1.45,2.53,2.67,3.00
4,PE Ratio,1.50,1.28,1.86,2.01,2.72,4.01,6.86,10.56,8.97,10.34,14.77
5,Forward PE,-,2.14,2.14,2.14,2.14,3.00,2.21,3.35,7.70,8.59,-
6,PS Ratio,0.53,0.46,0.63,0.73,0.90,1.15,1.12,1.72,3.40,4.16,5.04
7,PB Ratio,0.18,0.15,0.21,0.23,0.29,0.36,0.36,0.56,1.01,1.18,1.43
8,P/TBV Ratio,0.15,0.15,0.21,0.24,0.29,0.36,0.37,0.57,1.02,1.19,1.43
9,P/FCF Ratio,4.39,3.75,-,6.22,-,-10.64,-,-,-,-,-
10,P/OCF Ratio,0.85,0.85,-,1.13,1.77,2.06,2.54,2.14,6.03,189.12,-
11,PEG Ratio,0.15,0.15,0.15,0.15,0.15,0.21,0.37,0.37,0.37,0.37,-
12,EV/Sales Ratio,1.65,1.92,1.92,2.66,2.63,3.60,2.78,3.39,4.46,4.31,6.74
13,EV/EBITDA Ratio,2.74,3.39,3.35,4.53,4.50,6.54,5.07,6.52,7.94,7.53,12.72
14,EV/EBIT Ratio,3.81,4.44,4.36,5.81,5.76,8.51,6.37,7.89,9.50,9.15,16.46
15,EV/FCF Ratio,13.60,15.83,-,22.77,-,-33.32,-,-,-,-,-
16,Debt / Equity Ratio,0.59,0.59,0.64,0.75,0.82,0.87,0.94,0.90,0.75,0.67,0.41
17,Debt / FCF Ratio,14.67,14.67,-,19.82,-,-25.62,-,-,-,-,-
18,Return on Capital Employed (ROCE),9.38%,9.38%,9.29%,8.94%,8.43%,7.25%,7.67%,7.42%,8.18%,8.26%,8.07%
19,Earnings Yield,66.69%,78.01%,53.89%,49.85%,36.83%,24.91%,14.57%,9.47%,11.15%,9.67%,6.77%
20,FCF Yield,22.77%,26.63%,14.20%,16.08%,12.86%,-9.40%,-60.87%,-28.97%,-14.12%,-10.21%,-4.17%
21,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,4.81%,1.90%
22,Buyback Yield / Dilution,-,-,-,-,-,-,0.74%,-13.31%,-34.33%,-17.67%,
23,Total Shareholder Return,-,-,-,-,-,-,0.74%,-13.31%,-29.53%,-15.77%,
