,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,15510112,12909797,14072291,12389734,9580327,9333577,6233113,4983782,3686633,6183392,5341917,8115908,8824524,8189706,5368693,2268342,2149338,1778993,1984010,1214458,1382800,Upgrade
1,Market Cap Growth,107.12%,38.32%,125.77%,148.60%,159.87%,50.95%,16.68%,-38.59%,-58.22%,-24.50%,-0.50%,257.79%,310.57%,360.36%,170.60%,86.78%,55.43%,18.36%,29.92%,-35.03%,-28.53%,Upgrade
2,Last Close Price,50700.00,42200.00,46000.00,40500.00,31624.85,30810.32,20575.63,16152.91,11948.73,20040.99,17558.82,26677.76,29006.01,26920.29,17898.35,7432.88,7042.82,5829.29,6501.06,3823.99,4354.05,Upgrade
3,PE Ratio,27.34,-,-,23.54,21.53,21.12,31.45,37.52,13.82,-,7.64,9.50,11.21,10.88,10.65,5.77,14.28,46.11,162.04,-,-,Upgrade
4,PS Ratio,13.51,-,-,11.53,10.15,9.52,8.78,7.51,4.34,6.24,3.89,5.37,6.38,6.77,6.10,3.26,5.33,6.93,9.11,6.47,3.58,Upgrade
5,PB Ratio,3.77,3.13,3.42,-,2.63,2.59,1.82,1.48,1.10,1.90,1.66,2.59,2.96,2.92,2.09,0.97,0.98,0.85,-,0.60,0.66,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-,-26.68,-,-70.60,96.05,-,6.61,-79.94,-,-,-,-,-,2.30,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-,-29.12,-,-91.64,66.89,-,6.50,-90.13,-,-,-,-,-,2.28,-,Upgrade
8,Debt / Equity Ratio,1.33,1.33,1.33,-,0.86,0.66,0.45,0.43,0.39,0.34,0.33,0.41,0.33,0.40,0.42,0.26,0.27,0.28,-,0.02,0.17,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-,-7.73,-,-12.65,19.15,-,0.73,-10.88,-,-,-,-,-,0.09,-,Upgrade
10,Asset Turnover,-,-,-,0.09,0.19,0.18,0.13,0.15,0.03,0.12,0.17,0.18,0.27,0.28,0.26,0.24,-,-,-,0.06,Upgrade,
11,Quick Ratio,1.57,1.70,1.70,-,1.66,1.64,1.85,2.54,2.62,2.01,1.85,1.61,1.35,1.62,1.53,2.25,2.53,3.81,-,24.42,5.19,Upgrade
12,Current Ratio,1.70,1.70,1.70,-,1.75,1.92,2.16,2.54,2.62,2.01,2.00,1.64,1.43,1.70,1.66,2.33,2.68,3.98,-,24.48,5.63,Upgrade
13,Return on Equity (ROE),-,-,-,4.64%,20.93%,16.50%,9.42%,10.96%,-7.43%,9.42%,27.85%,24.05%,44.07%,37.48%,25.61%,18.74%,-,-,-18.86%,-2.24%,Upgrade,
14,Return on Assets (ROA),-,-,-,2.16%,10.88%,9.64%,5.90%,6.26%,-3.84%,4.29%,9.93%,8.71%,18.66%,18.17%,15.82%,13.15%,-,-,-16.86%,-1.90%,Upgrade,
15,Earnings Yield,3.66%,-,-,4.25%,4.64%,5.29%,4.01%,3.70%,8.63%,6.50%,14.19%,11.25%,9.59%,9.44%,9.76%,18.23%,7.93%,3.25%,1.59%,1.16%,15.50%,Upgrade
16,FCF Yield,-19.11%,-,-,-,-7.85%,-10.91%,-7.45%,-3.75%,-55.39%,-1.42%,1.04%,-1.84%,15.13%,-1.25%,-8.87%,-31.55%,-0.92%,0.24%,3.41%,43.54%,-17.18%,Upgrade
17,Dividend Yield,0.97%,-,-,-,-,-,-,-,2.72%,-,-,-,0.93%,-,-,-,3.49%,-,-,-,5.14%,Upgrade
18,Payout Ratio,18.85%,-,-,-,0.63%,0.01%,69.28%,0.05%,0.10%,-,0.09%,0.10%,0.26%,22.16%,0.10%,0.01%,0.14%,0.06%,49.78%,-,-,Upgrade
19,Buyback Yield / Dilution,-1.84%,-,-,-,0.00%,0.00%,-10.15%,-10.15%,-10.16%,-10.16%,-1.43%,-1.43%,-1.42%,-1.42%,-,0.00%,0.00%,-,-,0.00%,0.00%,Upgrade
20,Total Shareholder Return,-0.87%,-,-,-,0.00%,0.00%,-10.15%,-10.15%,-7.44%,-10.16%,-1.43%,-1.43%,-0.49%,-1.42%,-,0.00%,3.49%,-,-,0.00%,5.14%,Upgrade
