,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,106.84,114.22,108.6,88.12,73.09,103.58,85.91,79.17,70.04,117.17,123.01,103.7,94.98,129.88,96.92,76.86,83.48,87.09,41.78,41.78
1,Other Revenue,-,-8.24,8.24,-,26.74,-14.62,14.62,-,13.74,-5.32,5.32,-,4.43,-1.38,1.38,-,2.28,-0.76,0.38,0.38
2,Revenue,106.84,105.98,116.84,88.12,99.83,88.96,100.53,79.17,83.78,111.85,128.33,103.7,99.41,128.51,98.3,76.86,85.76,86.34,42.16,42.16
3,Revenue Growth (YoY),7.02%,19.13%,16.23%,11.31%,19.15%,-20.47%,-21.67%,-23.66%,-15.72%,-12.96%,30.55%,34.92%,15.92%,48.84%,133.18%,82.32%,-,-,-,-
4,Cost of Revenue,135.37,65.51,79.54,57.27,65.81,49.13,64.13,49.7,53.71,76.14,86.62,66.5,69.77,82.69,56.05,46.4,58.07,57.43,24.75,24.75
5,Gross Profit,-28.54,40.47,37.3,30.85,34.01,39.83,36.4,29.46,30.07,35.71,41.71,37.2,29.63,45.82,42.25,30.46,27.68,28.91,17.41,17.41
6,"Selling, General & Admin",-31.16,10.77,10.85,9.54,7.93,9.08,10.65,9.16,9.62,7.94,7.58,6.14,1.71,12.15,8.46,8.03,7.09,6.71,5.71,5.71
7,Research & Development,-14.31,5.48,4.18,4.64,4.59,5.97,5.39,4.23,5.64,4.67,5.69,5.06,4.94,6.32,5.03,6,4.24,5.37,3.35,3.35
8,Other Operating Expenses,1.83,-3.51,3.75,-2.07,3.91,0.06,0.17,-1.44,7.86,-0.3,-0.74,-4.27,10.32,0.7,-4.84,-2.6,7.5,-1.62,-2.29,-2.29
9,Operating Expenses,-44.51,12.78,19.37,12.36,16.26,15.06,17.1,11.58,21.51,13.64,11.42,6.98,15.24,21.21,7.4,11.93,19.92,12.1,5.98,5.98
10,Operating Income,15.98,27.69,17.93,18.49,17.75,24.77,19.3,17.89,8.56,22.07,30.3,30.22,14.4,24.61,34.85,18.53,7.76,16.81,11.43,11.43
11,Interest Expense,-2.06,-,-,-0.38,-,-0.59,-,-0.65,-0.4,-,-0.42,-,-,-0.45,-0.35,-0.3,-,-0.32,-0.01,-0.01
12,Interest & Investment Income,-,0.49,1.15,0.8,1.39,1.15,2.36,1.31,1.57,1.54,1.92,1,1.39,0.45,0.12,0.08,0.21,0.15,0.19,0.19
13,Currency Exchange Gain (Loss),-,-0.95,0.95,-,1.46,-1.36,1.36,-,3.39,-2.23,2.23,-,-1.06,0.28,-0.28,-,-0.85,-0.09,0.04,0.04
14,Other Non Operating Income (Expenses),-2.34,0.64,-0.16,0.52,-1.47,1.33,0.48,-0.45,-3.76,3.6,0.25,-0.35,1.31,-1.16,-0.15,-0.05,0.41,-0.25,-0.23,-0.23
15,EBT Excluding Unusual Items,11.58,27.86,19.86,19.43,19.12,25.29,23.5,18.1,9.35,24.98,34.28,30.87,16.04,23.73,34.2,18.26,7.53,16.3,11.42,11.42
16,Impairment of Goodwill,-,-,-,-,-0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.08,0.33,-0.3,0.04,0,0.02,0.11,0.37,0.03,0.48,-0.61,0.76,0.65,0.03,-0.85,0.88,-,0,0.01,0.01
18,Gain (Loss) on Sale of Assets,0.39,-0.04,-0.34,-0.02,-0.14,-0.02,0.03,0.18,-0.3,1.12,-0.38,-,-0.53,-,-,-,-0.2,-,-,-
19,Asset Writedown,2.99,-2.99,-,-,1.16,-1.16,-,-,0.58,-0.58,-,-,0.11,0.61,-0.72,-,0.04,0.14,-0.09,-0.09
20,Other Unusual Items,0.11,-3.06,3.07,-0.11,4.61,-0.03,0.03,-,7.73,-,-,-,12.21,-0.04,0.04,-,13.18,-0.01,0.01,0.01
21,Pretax Income,14.99,22.1,22.3,19.34,24,24.1,23.67,18.65,17.43,25.97,33.31,31.63,28.56,24.26,32.74,19.14,20.55,16.43,11.34,11.34
22,Income Tax Expense,1.53,2.68,2.34,2.85,3.61,3.38,2.41,2.24,-2.21,3.03,4.29,3.88,4.75,2.4,3.89,1.65,2.5,1.71,1.39,1.39
23,Earnings From Continuing Operations,13.46,19.42,19.96,16.5,20.39,20.72,21.26,16.4,19.63,22.94,29.02,27.75,23.81,21.86,28.84,17.49,18.06,14.72,9.95,9.95
24,Minority Interest in Earnings,-0.45,0.22,-0.05,0.29,0.41,0.44,0.28,-0.02,-0.04,0.2,0.06,-0.77,-0.81,-0.71,-0.81,-0.99,-0.43,-0.48,0.03,0.03
25,Net Income,13,19.63,19.91,16.78,20.8,21.16,21.54,16.39,19.59,23.14,29.08,26.99,23,21.14,28.03,16.5,17.63,14.24,9.98,9.98
26,Net Income to Common,13,19.63,19.91,16.78,20.8,21.16,21.54,16.39,19.59,23.14,29.08,26.99,23,21.14,28.03,16.5,17.63,14.24,9.98,9.98
27,Net Income Growth,-37.49%,-7.20%,-7.57%,2.42%,6.18%,-8.56%,-25.95%,-39.28%,-14.83%,9.43%,3.73%,63.51%,30.48%,48.49%,180.89%,65.37%,-,-,-,-
28,Shares Outstanding (Basic),119,123,119,117,121,117,124,121,119,120,120,118,113,106,89,89,87,91,90,90
29,Shares Outstanding (Diluted),119,123,119,117,121,117,124,121,119,120,120,118,113,106,89,89,87,91,90,90
30,Shares Change (YoY),-2.32%,4.91%,-3.75%,-2.74%,1.82%,-2.31%,3.40%,2.29%,5.61%,12.80%,34.22%,32.83%,29.33%,17.14%,-0.97%,-1.42%,-,-,-,-
31,EPS (Basic),0.11,0.16,0.17,0.14,0.17,0.18,0.17,0.14,0.16,0.19,0.24,0.23,0.20,0.20,0.31,0.19,0.20,0.16,0.11,0.11
32,EPS (Diluted),0.11,0.16,0.17,0.14,0.17,0.18,0.17,0.14,0.16,0.19,0.24,0.23,0.20,0.20,0.31,0.19,0.20,0.16,0.11,0.11
33,EPS Growth,-36.01%,-11.55%,-3.97%,5.31%,4.28%,-6.40%,-28.38%,-40.64%,-19.35%,-2.98%,-22.71%,23.10%,0.89%,26.77%,183.66%,67.75%,-,-,-,-
34,Free Cash Flow,-,-10.34,4.34,-19.23,-16.12,-3.05,-14.84,-44.86,6.5,-30.22,69.1,7.59,17.52,-4.26,10.61,16.66,-8.38,-46.5,-1.02,-1.02
35,Free Cash Flow Per Share,-,-0.08,0.04,-0.16,-0.13,-0.03,-0.12,-0.37,0.05,-0.25,0.58,0.06,0.16,-0.04,0.12,0.19,-0.10,-0.51,-0.01,-0.01
36,Dividend Per Share,-,-,-,-,0.429,-,-,-,0.429,-,-,-,0.429,-,-,-,-,-,-,-
37,Gross Margin,-26.71%,38.19%,31.92%,35.01%,34.07%,44.78%,36.21%,37.22%,35.89%,31.93%,32.50%,35.87%,29.81%,35.66%,42.98%,39.63%,32.28%,33.48%,41.30%,41.30%
38,Operating Margin,14.95%,26.12%,15.35%,20.98%,17.78%,27.85%,19.20%,22.59%,10.21%,19.73%,23.61%,29.14%,14.48%,19.15%,35.45%,24.11%,9.05%,19.47%,27.10%,27.10%
39,Profit Margin,12.17%,18.53%,17.04%,19.05%,20.84%,23.78%,21.42%,20.70%,23.38%,20.69%,22.66%,26.02%,23.14%,16.45%,28.52%,21.47%,20.56%,16.49%,23.67%,23.67%
40,Free Cash Flow Margin,-,-9.76%,3.72%,-21.82%,-16.15%,-3.43%,-14.76%,-56.66%,7.75%,-27.02%,53.85%,7.32%,17.63%,-3.31%,10.80%,21.68%,-9.77%,-53.86%,-2.41%,-2.41%
41,EBITDA,20.85,32.56,26.52,23.36,22.62,28.47,23.41,21.59,12.26,26.09,33.99,34.23,18.41,27.29,38.78,21.21,10.44,19.56,14.18,14.18
