,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3106,2951,2907,3510,3265,3804,3638,3964,4017,3543,3675,3896,3158,4837,3891,-,-,-,-,-,-
1,Market Cap Growth,-22.41%,-22.41%,-20.08%,-11.45%,-18.72%,7.36%,-1.01%,1.73%,27.19%,-26.74%,-5.56%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3075,2920,2865,3412,3104,3643,3423,3741,3747,3279,3389,3639,2919,4598,3874,-,-,-,-,-,-
3,Last Close Price,25.92,24.63,24.26,29.29,26.79,31.21,29.87,32.14,32.57,28.73,29.80,31.59,25.24,38.66,31.10,-,-,-,-,-,-
4,PE Ratio,44.69,42.58,37.70,44.63,40.67,47.62,46.24,49.15,45.54,35.86,35.95,38.88,31.84,54.54,46.70,-,-,-,-,-,-
5,Forward PE,21.51,21.99,21.71,27.92,21.79,27.77,24.09,28.29,30.53,24.94,26.23,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.42,7.06,7.08,8.91,8.65,10.32,10.32,10.56,9.96,8.29,8.29,8.47,7.35,12.00,9.99,-,-,-,-,-,-
7,PB Ratio,4.39,4.13,4.06,5.05,4.49,5.36,5.33,5.99,5.85,5.30,5.71,6.28,4.91,7.87,6.58,-,-,-,-,-,-
8,P/TBV Ratio,4.51,4.51,4.44,5.53,4.91,5.64,5.60,6.31,6.16,5.59,6.03,6.75,5.27,8.47,7.09,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-103.07,-,-,-,-,-,66.89,-,43.31,100.33,119.30,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,41.48,47.72,48.35,70.65,46.17,77.38,-,21.07,23.52,22.95,34.43,51.37,66.66,-,-,-,-,-,-
11,EV/Sales Ratio,7.36,6.99,6.97,8.67,8.22,9.89,9.71,9.97,9.29,7.67,7.64,7.91,6.79,11.41,9.95,-,-,-,-,-,-
12,EV/EBITDA Ratio,30.88,28.27,27.27,33.79,31.72,37.91,39.93,44.89,39.89,30.77,30.06,31.94,24.59,43.50,39.64,-,-,-,-,-,-
13,EV/EBIT Ratio,38.40,36.47,35.00,43.23,38.65,45.70,48.53,55.16,47.54,35.98,34.94,36.56,28.05,49.77,45.18,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-100.20,-,-,-,-,-,61.90,-,40.45,92.75,113.42,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.08,0.09,0.10,0.10,0.14,0.08,0.08,0.09,0.08,0.10,0.09,0.08,0.08,0.08,0.06,0.06,-,0.09,0.09
16,Debt / EBITDA Ratio,0.59,0.70,0.45,0.58,0.80,0.80,0.82,0.56,0.66,1.13,0.52,0.45,0.43,0.63,0.41,0.19,0.24,0.43,-,0.42,0.42
17,Debt / FCF Ratio,-,-,-,-1.85,-,-,-,-,-,1.08,-,0.68,1.86,1.18,-,-1.07,-0.51,-,-,-,-
18,Asset Turnover,-,0.48,0.53,0.40,0.45,0.40,0.46,0.37,0.38,0.52,0.63,0.54,0.54,0.89,-,-,-,-,0.50,-,
19,Inventory Turnover,-,-,2.25,2.78,2.11,2.52,1.93,2.60,2.10,2.43,3.51,4.22,3.49,4.15,6.03,-,-,-,-,2.92,-
20,Quick Ratio,-,-,2.09,2.07,3.45,2.99,3.81,2.58,4.03,3.09,3.16,3.16,5.80,5.93,6.94,4.30,-,3.15,-,3.10,3.10
21,Current Ratio,-,-,3.21,3.06,4.92,4.04,4.95,3.28,5.15,3.74,3.77,3.73,6.74,6.93,7.88,5.86,-,4.31,-,3.84,3.84
22,Return on Equity (ROE),7.52%,11.01%,11.23%,9.19%,11.71%,12.33%,12.61%,9.68%,11.97%,14.51%,18.38%,17.66%,15.79%,18.45%,34.62%,22.52%,-,-,14.19%,-,
23,Return on Assets (ROA),-,7.87%,5.11%,5.25%,5.03%,7.01%,5.57%,5.16%,2.45%,6.47%,9.24%,9.76%,4.91%,10.66%,-,-,-,-,8.39%,-,
24,Return on Capital (ROIC),5.16%,9.03%,5.75%,5.83%,5.69%,8.31%,6.62%,6.09%,3.00%,7.99%,10.95%,11.08%,5.54%,12.04%,24.33%,14.01%,-,-,9.38%,-,
25,Return on Capital Employed (ROCE),-,-,10.56%,10.59%,10.05%,10.32%,8.94%,9.32%,10.46%,12.41%,13.71%,14.57%,14.64%,13.73%,13.26%,19.64%,-,13.89%,-,7.84%,3.92%
26,Earnings Yield,2.23%,2.35%,2.65%,2.24%,2.46%,2.10%,2.16%,2.03%,2.20%,2.79%,2.78%,2.57%,3.14%,1.83%,2.14%,-,-,-,-,-,-
27,FCF Yield,-,-1.42%,-0.97%,-1.63%,-2.07%,-1.55%,-2.10%,0.01%,1.49%,1.74%,2.31%,1.00%,0.84%,0.38%,-,-,-,-,-,-,
28,Dividend Yield,1.62%,-,-,-,-,1.37%,-,-,-,1.49%,-,-,-,1.11%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,2.43%,260.39%,2.26%,1.88%,246.37%,2.48%,3.99%,11.01%,2.71%,165.33%,2.30%,-,1.88%,1.23%,1.72%,0.60%,-,1.62%,1.62%
30,Buyback Yield / Dilution,0.60%,2.32%,-4.91%,3.75%,2.74%,-1.82%,2.31%,-3.40%,-2.29%,-5.61%,-12.80%,-34.22%,-32.83%,-29.33%,-17.14%,0.97%,1.42%,-,-,-,-
31,Total Shareholder Return,2.22%,2.32%,-4.91%,3.75%,2.74%,-0.45%,2.31%,-3.40%,-2.29%,-4.11%,-12.80%,-34.22%,-32.83%,-28.22%,-17.14%,0.97%,1.42%,-,-,-,-
