,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,69.37,113.45,163.7,185.81,247.29,230,178.88,336.21,123,225.13,226.8,221.04,286.65,42.88,-,19.02,-,47.6,47.6
1,Trading Asset Securities,-,28.04,-,16.75,3.21,15.22,46.96,110.55,0.03,205.06,131.53,98.48,90.68,4.03,10.16,-,-,-,10.01,10.01
2,Cash & Short-Term Investments,97.41,97.41,113.45,180.45,189.02,262.51,276.96,289.42,336.23,328.06,356.66,325.27,311.72,290.68,53.04,19.02,19.02,-,57.61,57.61
3,Cash Growth,-48.46%,-62.89%,-59.04%,-37.65%,-43.78%,-19.98%,-22.35%,-11.02%,7.86%,12.86%,572.40%,1610.35%,1539.10%,-,-7.93%,-66.99%,-,-,-,-
4,Accounts Receivable,-,142.19,132.29,113.32,112.33,113.19,110.01,106,116.44,155.44,144.74,169.02,160.51,166.74,139.51,-,136.72,-,93.76,93.76
5,Other Receivables,-,2,8.85,2.09,7.69,2.9,6.2,2.22,5.45,9.48,1.26,0.63,0.72,0.33,0.35,-,2.77,-,0.22,0.22
6,Receivables,-,144.19,141.15,115.42,120.02,116.09,116.22,108.22,121.89,164.92,146,169.65,161.23,167.08,139.86,-,139.49,-,93.97,93.97
7,Inventory,-,116.48,116.66,112.11,104.86,103.98,99.33,97.89,91.61,85.46,87.87,76.14,76.5,58.08,51.68,-,49.53,-,33.94,33.94
8,Other Current Assets,-,13.18,4.64,13.39,4.23,8.66,7.13,12.17,4.63,9.76,2.97,4.13,2.9,4.16,17.86,-,9.01,-,2.59,2.59
9,Total Current Assets,-,371.26,375.9,421.36,418.13,491.25,499.64,507.7,554.36,588.2,593.5,575.2,552.35,519.99,262.44,-,217.05,-,188.11,188.11
10,"Property, Plant & Equipment",-,418.87,403.62,379.44,376.29,356.39,341.29,307.52,288.28,219.33,177.96,154.81,146.07,142.86,138.9,-,133.42,-,110.37,110.37
11,Long-Term Investments,-,17.42,16.89,17.26,16.81,6.28,6.34,4.67,2,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,-,0.98,0.98,0.98,0.98,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,-,1.87,-,1.87,1.87
13,Other Intangible Assets,-,52.41,52.18,52.21,26.24,22.49,22.71,22.94,23.92,24.14,32.56,32.82,33.1,33.67,33.34,-,33.65,-,34.18,34.18
14,Long-Term Deferred Tax Assets,-,2.78,3.14,2.52,2.96,2.65,2.98,2.63,2.6,2.54,2.34,2.33,2.36,2.39,1.98,-,2.16,-,1.67,1.67
15,Long-Term Deferred Charges,-,0.06,0.06,0.07,0.08,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,0.12,0.15,-,0.09,-,0.18,0.18
16,Other Long-Term Assets,-,26.62,15.73,10.83,34.13,7.24,4.56,4.39,9.68,27.49,33.91,29.22,16.56,11.9,2.95,-,3.53,-,4.12,4.12
17,Total Assets,-,890.39,868.5,884.67,875.61,888.18,879.42,851.77,882.76,863.63,842.22,796.33,752.42,712.8,441.63,-,391.77,-,340.51,340.51
18,Accounts Payable,-,40.69,18.47,21.57,18.42,55.35,33.07,42.86,57.98,63.02,51.29,30.01,24.75,26.73,9.45,-,4.46,-,4.23,4.23
19,Accrued Expenses,-,8.1,15.17,5.58,14.73,8.23,12.61,5.53,18.85,9.92,20.08,5.95,15.25,9.72,13.88,-,11.04,-,6.92,6.92
20,Short-Term Debt,-,-,-,0.81,0.81,-,-,4,4,1.62,8.59,-,-,-,-,-,-,-,24,24
21,Current Portion of Long-Term Debt,-,11.14,25.33,14.52,23.33,0.51,0.3,0.7,0.8,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,-,0.16,-,0.15,-,0.23,-,0.22,-,0.27,0.32,0.4,0.35,0.41,-,-,-,-,-
23,Current Income Taxes Payable,-,5.91,2.72,5.65,4.22,4.65,2.58,3.06,2.11,15.88,9.26,14.16,8.91,2.23,1.77,-,1.95,-,0.47,0.47
24,Current Unearned Revenue,-,2.17,1.52,2.8,1.43,1.02,0.37,1.06,0.77,0.38,2.39,0.9,1.72,1.38,0.4,-,0.43,-,0.23,0.23
25,Other Current Liabilities,-,47.6,59.58,34.8,40.3,29.58,102.95,41.34,63.33,65.28,67.16,33.97,28.67,25.58,18.91,-,32.45,-,13.07,13.07
26,Total Current Liabilities,-,115.61,122.94,85.73,103.39,99.34,152.11,98.55,148.06,156.1,159.03,85.29,79.7,65.99,44.82,-,50.33,-,48.92,48.92
27,Long-Term Debt,-,46.87,37.04,59.06,49.05,92.51,52.06,52.07,52.07,52.87,52.37,58.08,47.07,44.09,29.04,-,20.03,-,-,-
28,Long-Term Leases,-,0.33,0.37,0.4,0.09,0.11,0.16,0.07,0.11,0.19,0.22,0.28,0.33,0.1,0.15,-,-,-,-,-
29,Long-Term Unearned Revenue,-,6.82,7,7.18,7.36,7.54,7.71,7.89,8.07,8.25,7.42,7.58,7.73,7.89,8.7,-,7.6,-,7.92,7.92
30,Long-Term Deferred Tax Liabilities,-,5.33,5.6,5.72,5.91,5.99,6.1,6.21,6.26,2.25,2.36,2.47,2.86,2.96,2.97,-,3.18,-,3.18,3.18
31,Other Long-Term Liabilities,-,-,-,-,0.04,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
