,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4912,4899,3902,4772,5804,5719,5761,5098,4717,5136,5516,7123,7634,6717,7731,-,-,-,-,-
1,Market Cap Growth,-14.34%,-14.34%,-32.28%,-6.38%,23.03%,11.36%,4.44%,-28.43%,-38.21%,-23.54%,-28.65%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4676,4723,3627,4483,5514,5477,5481,4829,4449,4715,5104,6416,6928,5978,7065,-,-,-,-,-
3,Last Close Price,11.62,11.54,9.19,11.04,13.42,13.22,13.32,11.65,10.78,11.73,12.60,16.15,17.31,15.23,17.53,-,-,-,-,-
4,PE Ratio,33.19,32.62,26.42,32.59,41.25,41.93,49.95,48.01,55.16,53.65,55.44,90.18,65.89,47.37,43.73,-,-,-,-,-
5,PS Ratio,2.25,2.21,1.77,2.22,2.84,3.01,3.19,2.97,2.67,2.95,3.20,4.19,4.67,4.14,4.78,-,-,-,-,-
6,PB Ratio,2.95,2.85,2.34,2.83,3.55,3.51,3.63,3.18,3.01,3.29,3.58,4.61,5.00,4.48,5.25,-,-,-,-,-
7,P/TBV Ratio,3.30,3.30,2.72,3.25,4.08,3.98,4.16,3.64,3.45,3.78,4.15,5.35,5.81,4.80,5.63,-,-,-,-,-
8,P/FCF Ratio,43.03,42.92,54.98,-,42.35,34.29,54.93,71.24,-165.55,-,-114.34,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,19.39,19.39,17.39,16.58,19.68,18.23,16.85,16.52,18.13,22.58,35.35,120.21,60.86,37.86,-,-,-,-,-,-
10,EV/Sales Ratio,2.11,2.13,1.64,2.08,2.70,2.88,3.04,2.81,2.52,2.71,2.96,3.78,4.23,3.68,4.37,-,-,-,-,-
11,EV/EBITDA Ratio,17.25,18.30,15.22,19.61,24.73,29.16,32.34,39.49,-,39.17,44.08,47.43,41.31,27.53,25.91,-,-,-,-,-
12,EV/EBIT Ratio,24.72,24.97,21.52,27.32,34.95,44.95,53.38,88.90,-,92.89,101.21,86.35,-,36.30,32.02,-,-,-,-,-
13,EV/FCF Ratio,40.96,41.37,51.11,-,40.24,32.84,52.26,67.48,-156.12,-,-105.81,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.27,0.27,0.39,0.35,0.19,0.26,0.29,0.29,0.35,0.48,0.50,0.41,0.32,0.32,0.22,0.14,0.12,-,0.09,0.07
15,Debt / EBITDA Ratio,1.69,1.22,1.91,2.34,1.66,1.42,1.46,2.03,8.88,3.36,5.70,4.10,19.86,2.34,1.74,0.68,0.73,-,0.38,0.48
16,Debt / FCF Ratio,4.01,4.01,9.17,-,2.22,2.51,4.45,6.46,-19.13,-,-15.90,-,-,-,-,0.69,0.63,-,1.27,3.43
17,Asset Turnover,0.76,0.73,0.71,0.87,0.80,0.75,0.61,0.65,0.62,0.58,0.67,0.70,0.79,0.78,0.86,-,-,-,-,
18,Inventory Turnover,6.97,7.09,6.91,5.98,7.08,6.24,6.19,5.08,5.82,5.13,5.00,4.78,5.29,5.94,5.63,5.53,-,-,-,-
19,Quick Ratio,1.60,1.60,1.43,1.41,1.43,1.48,1.52,1.51,1.39,1.35,1.51,1.52,1.55,2.38,2.59,2.89,2.72,-,3.21,-
20,Current Ratio,1.85,1.85,1.67,1.65,1.74,1.78,1.81,1.80,1.64,1.58,1.74,1.79,1.86,2.71,3.02,3.38,3.16,-,3.73,-
21,Return on Equity (ROE),11.59%,12.58%,10.72%,3.57%,10.46%,11.47%,8.23%,1.81%,5.07%,9.94%,3.48%,5.54%,6.93%,5.27%,15.38%,-,-,18.50%,-,
22,Return on Assets (ROA),6.65%,4.65%,4.03%,0.82%,5.23%,4.90%,3.78%,-2.39%,3.29%,0.27%,1.94%,-1.14%,4.32%,3.42%,7.95%,-,-,-,-,
23,Return on Capital (ROIC),8.63%,6.09%,5.54%,1.14%,6.95%,6.24%,4.82%,-3.04%,4.10%,0.34%,2.52%,-1.41%,4.97%,4.01%,9.52%,-,-,11.78%,-,
24,Return on Capital Employed (ROCE),9.93%,9.93%,9.08%,8.78%,8.65%,6.59%,5.76%,3.14%,-,2.98%,3.00%,4.51%,-,10.28%,14.26%,17.63%,16.61%,-,7.07%,-
