,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,182.15,185.37,165.76,167.33,152.41,162.66,133.03
1,Revenue Growth (YoY),9.88%,10.79%,8.76%,2.87%,14.56%,-,-
2,Cost of Revenue,124.43,122.53,109.79,107.99,95.41,100.67,83.92
3,Gross Profit,57.71,62.84,55.97,59.34,57,61.99,49.12
4,"Selling, General & Admin",37.35,16.59,32.96,20.18,27.4,17.9,18.85
5,Operating Expenses,41.22,18.16,35.23,20.48,29.76,16.38,21.44
6,Operating Income,16.5,44.69,20.74,38.87,27.24,45.61,27.67
7,Interest & Investment Income,-,0.06,-,0.07,0.08,0.11,0.18
8,Other Non Operating Income (Expenses),2.58,3.14,0.69,0.81,1.2,-14.89,-2.17
9,Pretax Income,19.08,47.89,21.43,39.75,28.51,30.83,25.68
10,Income Tax Expense,4.82,13.88,6.01,9.62,7.71,8.06,6.66
11,Earnings From Continuing Operations,14.26,34.01,15.41,30.13,20.81,22.77,19.02
12,Minority Interest in Earnings,0.09,-0.05,-0.03,-0.11,-0.01,-0.41,-2.39
13,Net Income,14.35,33.96,15.39,30.01,20.8,22.36,16.63
14,Net Income to Common,14.35,33.96,15.39,30.01,20.8,22.36,16.63
15,Net Income Growth,-6.71%,13.15%,-26.04%,34.22%,25.10%,-,-
16,Shares Outstanding (Basic),517,366,517,243,517,-,-
17,Shares Outstanding (Diluted),517,366,517,243,517,-,-
18,Shares Change (YoY),-,50.87%,-,-,-,-,-
19,EPS (Basic),0.03,0.09,0.03,0.12,0.04,-,-
20,EPS (Diluted),0.03,0.09,0.03,0.12,0.04,-,-
21,EPS Growth,-6.72%,-25.00%,-26.04%,-,-,-,-
22,Free Cash Flow,-29.08,3.71,-3.12,7.68,-11.56,35.86,-10.49
23,Free Cash Flow Per Share,-0.06,0.01,-0.01,0.03,-0.02,-,-
24,Operating Margin,9.06%,24.11%,12.51%,23.23%,17.87%,28.04%,20.80%
25,Profit Margin,7.88%,18.32%,9.28%,17.94%,13.65%,13.75%,12.50%
26,Free Cash Flow Margin,-15.97%,2.00%,-1.88%,4.59%,-7.59%,22.05%,-7.89%
27,EBITDA,16.97,45.18,21.22,39.32,27.75,45.85,28.17
28,D&A For EBITDA,0.48,0.49,0.49,0.45,0.51,0.24,0.5
29,EBIT,16.5,44.69,20.74,38.87,27.24,45.61,27.67
