,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,336,564,424,-,-,-,-,-
1,Enterprise Value,179,360,381,-,-,-,-,-
2,Last Close Price,0.65,1.07,0.80,-,-,-,-,-
3,PE Ratio,5.53,10.86,7.80,-,-,-,-,-
4,PS Ratio,0.73,1.43,1.10,-,-,-,-,-
5,PB Ratio,1.14,1.90,1.40,-,-,-,-,-
6,P/TBV Ratio,1.91,1.91,1.41,-,-,-,-,-
7,P/FCF Ratio,-,-,652.75,-,-,-,-,-
8,P/OCF Ratio,-,-,291.32,-,-,-,-,-
9,EV/Sales Ratio,0.45,0.91,0.99,-,-,-,-,-
10,EV/EBITDA Ratio,2.68,5.40,5.21,-,-,-,-,-
11,EV/EBIT Ratio,2.72,5.48,5.29,-,-,-,-,-
12,EV/FCF Ratio,-6.56,-,586.57,-,-,-,-,-
13,Return on Capital Employed (ROCE),22.14%,22.14%,23.81%,54.84%,70.88%,115.38%,173.12%,-
14,Earnings Yield,15.44%,9.20%,12.81%,-,-,-,-,-
15,FCF Yield,-8.11%,-4.83%,0.15%,-,-,-,-,-
16,Buyback Yield / Dilution,-16.24%,-,-50.87%,-,-,-,-,-
17,Total Shareholder Return,-12.10%,-,-50.87%,-,-,-,-,-
