,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,148.22,177.31,41.61,44.72,37.04,50.23,-
1,Short-Term Investments,-,9.33,-,8.71,7.79,7.35,-
2,Cash & Short-Term Investments,148.22,186.64,41.61,53.43,44.83,57.58,-
3,Cash Growth,256.25%,249.30%,-7.19%,-7.20%,-,-,-
4,Accounts Receivable,199.49,171.09,113.17,99.57,91.1,60.51,-
5,Other Receivables,-,-,-,-,-,0.24,-
6,Receivables,199.49,171.09,113.17,99.57,91.1,60.75,-
7,Inventory,0.22,0.22,0.06,0.07,0.07,0.08,-
8,Prepaid Expenses,-,2.4,-,2.44,-,2.73,-
9,Other Current Assets,58.38,42.03,49.5,35.62,23.83,12.9,-
10,Total Current Assets,406.31,402.38,204.33,191.12,159.83,134.04,-
11,"Property, Plant & Equipment",4.45,4.4,4.32,4.61,4.78,4.97,-
12,Other Intangible Assets,0.09,0.11,0.05,0.07,0.08,0.1,-
13,Long-Term Deferred Tax Assets,4.16,3.2,2.8,2.24,2.16,1.57,-
14,Total Assets,415,410.09,211.5,198.03,166.85,140.67,-
15,Accounts Payable,3.49,1.87,0.92,1.6,0.7,0.76,-
16,Accrued Expenses,-,12.73,-,11.1,9.13,13.22,-
17,Current Income Taxes Payable,22.36,31.6,18.55,20.54,11.28,12.31,-
18,Current Unearned Revenue,53.83,51.75,44.29,40.12,52.46,45.44,-
19,Other Current Liabilities,57.34,36.11,39.06,31.41,30.13,26.61,-
20,Total Current Liabilities,138.64,135.33,102.82,104.77,103.71,98.34,-
21,Total Liabilities,138.64,135.33,102.82,104.77,103.71,98.34,-
22,Common Stock,4.73,4.73,-,-,-,-,-
23,Additional Paid-In Capital,-,65.51,-,-,-,-,-
24,Retained Earnings,204.37,202.67,168.71,153.32,123.31,102.5,-
25,Comprehensive Income & Other,65.51,-,-61.82,-61.82,-61.82,-61.82,-
26,Total Common Equity,274.61,272.91,106.88,91.5,61.48,40.68,-
27,Minority Interest,1.75,1.85,1.8,1.77,1.66,1.65,-
28,Shareholders' Equity,276.36,274.76,108.68,93.27,63.14,42.33,-
29,Total Liabilities & Equity,415,410.09,211.5,198.03,166.85,140.67,-
30,Net Cash (Debt),148.22,186.64,41.61,53.43,44.83,57.58,-
31,Net Cash Growth,256.25%,249.30%,-7.19%,-7.20%,-,-,-
32,Net Cash Per Share,0.29,0.51,0.08,0.22,0.09,-,-
33,Filing Date Shares Outstanding,517.41,517.41,517.41,380,380,380,-
34,Total Common Shares Outstanding,517.41,517.41,517.41,380,380,380,-
35,Working Capital,267.67,267.05,101.51,86.35,56.12,35.7,-
36,Book Value Per Share,0.53,0.53,0.21,0.24,0.16,0.11,-
37,Tangible Book Value,274.52,272.8,106.83,91.43,61.4,40.58,-
38,Tangible Book Value Per Share,0.53,0.53,0.21,0.24,0.16,0.11,-
39,Machinery,-,10.35,-,9.61,9.34,9.03,-
