,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,581309,164499,120312,134226,569239,148860,132361,164495,589850,154354,102364,105180,83782,118800,101515,407015,233324,115953,147253,199797,Upgrade
1,Revenue Growth (YoY),2.12%,10.51%,-9.10%,-18.40%,-3.49%,-3.56%,29.30%,56.39%,604.03%,29.93%,0.84%,-74.16%,-64.09%,2.46%,-31.06%,103.71%,-60.22%,-48.30%,-25.77%,-29.84%,Upgrade
2,Cost of Revenue,235048,107351,89541,96171,238606,98976,94625,109968,236967,103087,85782,183442,58333,85626,83620,221152,113139,80999,109662,129759,Upgrade
3,Gross Profit,346261,57148,30772,38055,330633,49883,37736,54527,352883,51267,16583,-78262,25449,33173,17896,185863,120185,34954,37591,70038,Upgrade
4,"Selling, General & Admin",218024,54344,45711,69078,157140,48105,45349,67648,181540,52130,52986,293059,-22668,47078,49539,108975,75583,27468,186240,62579,Upgrade
5,Operating Expenses,218024,54344,45711,69078,157140,48105,45349,67648,181540,52130,52986,293059,-22668,47078,49539,108975,75583,27468,186240,62579,Upgrade
6,Operating Income,128237,2804,-14939,-31024,173492,1778,-7613,-13121,171343,-863.39,-36403,-371321,48117,-13905,-31644,76887,44602,7486,-148649,7460,Upgrade
7,Interest Expense,-26749,-26506,-26544,-25622,-4340,-3899,-4870,-3836,-3658,-4222,-2814,-3520,-3492,-4384,-2311,-256637,-3743,-248483,-21272,-7891,Upgrade
8,Interest & Investment Income,5784,5657,6014,-,5088,8808,9902,527.57,4298,192.58,9613,22205,309.99,5349,1830,-,1374,-,261108,2167,Upgrade
9,Earnings From Equity Investments,8699,5156,9642,7761,5677,3427,3167,2567,3351,2378,1390,1428,494.29,727.27,7004,105.72,872.68,2459,1277,-101.77,Upgrade
10,Currency Exchange Gain (Loss),1.79,86.01,17.28,76.44,-,0.77,-,-79.63,-,-,-,-217.02,194.78,38.77,-60,-39.35,383.13,6254,-6345,-1008,Upgrade
11,Other Non Operating Income (Expenses),72818,-2937,-2953,-8608,-3612,-3187,-3738,5191,-3434,-4420,-14391,-47909,-18921,59185,-3428,-790.96,-3658,-3403,-2261,2311,Upgrade
