,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2305,1865,1663,2390,2270,2230,2109,1969,1718,1720,2208,2574,2968,2362,-,-,-,-,-,-
1,Market Cap Growth,-16.34%,-16.34%,-21.17%,21.38%,32.08%,29.61%,-4.48%,-23.50%,-42.11%,-27.15%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2220,1767,1523,2154,2033,2056,1866,1675,1424,1346,1737,2340,2734,1810,-,-,-,-,-,-
3,Last Close Price,27.20,22.01,19.75,28.40,26.97,26.49,25.06,23.18,20.23,20.25,25.76,30.03,34.63,27.55,-,-,-,-,-,-
4,PE Ratio,98.66,80.79,-2513.64,163.04,-,-,41.26,38.79,31.61,26.44,34.80,41.10,49.21,35.02,-,-,-,-,-,-
5,PS Ratio,3.43,2.82,2.74,3.93,3.96,4.04,3.87,3.83,3.43,3.36,4.17,4.48,5.01,4.07,-,-,-,-,-,-
6,PB Ratio,2.18,1.76,1.64,2.38,2.26,-,2.31,2.17,1.91,1.93,2.52,2.95,3.45,2.79,-,-,-,-,-,-
7,P/TBV Ratio,1.88,1.88,1.75,2.51,2.39,-,2.37,2.23,1.96,1.98,2.59,3.04,3.55,2.87,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,695.43,-,-,-,-,-,-,-
9,P/OCF Ratio,36.02,36.02,-,-,-,-,-,-,-,49.95,-,-,49.14,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.35,2.67,2.51,3.54,3.55,3.72,3.43,3.26,2.85,2.63,3.28,4.07,4.62,3.12,-,-,-,-,-,-
11,EV/EBITDA Ratio,28.94,40.34,59.82,52.92,-,37.38,36.14,31.71,-,26.87,29.48,36.08,-,18.63,-,-,-,-,-,-
12,EV/EBIT Ratio,66.93,96.36,550.40,196.04,-,66.65,64.92,51.85,-,43.21,43.42,50.05,-,22.60,-,-,-,-,-,-
13,EV/FCF Ratio,-16.13,-,-,-,-,-,-,-,-,-,-,-,640.63,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.31,0.31,0.37,0.30,0.28,-,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.04,0.04,-,0.05,0.05
15,Debt / EBITDA Ratio,4.31,2.18,3.31,3.96,-,-,0.04,0.04,-,0.11,0.03,0.07,-,0.08,0.04,0.18,0.21,-,0.19,0.19
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,0.27,-,0.09,0.49,1.11,-,-,-
17,Asset Turnover,0.41,0.35,-,0.33,-,0.48,0.30,0.41,0.43,0.44,0.28,0.46,0.49,-,-,-,-,0.61,-,
18,Inventory Turnover,-,1.13,1.07,-,1.18,-,1.25,0.83,1.24,1.28,1.27,0.87,1.86,1.58,-,-,-,-,1.13,-
19,Quick Ratio,1.38,1.38,1.37,1.47,1.57,-,1.05,1.07,1.27,1.41,1.59,1.76,1.83,1.17,1.81,-,0.64,-,0.61,0.61
20,Current Ratio,2.38,2.38,2.30,2.44,2.53,-,1.95,1.99,2.25,2.40,2.51,2.63,2.56,2.71,2.56,-,1.44,-,1.40,1.40
21,Return on Equity (ROE),8.95%,2.89%,-,-3.03%,-,9.93%,3.92%,0.87%,8.00%,10.19%,5.75%,5.93%,7.65%,14.55%,11.66%,-,-,19.33%,-,
22,Return on Assets (ROA),3.86%,1.14%,-,-4.20%,-,2.97%,1.58%,-1.72%,2.38%,3.99%,2.71%,-3.04%,4.18%,-,-,-,-,6.58%,-,
23,Return on Capital (ROIC),5.37%,1.61%,-,-6.77%,-,4.62%,2.38%,-2.49%,3.43%,5.82%,4.02%,-4.51%,6.23%,11.32%,11.97%,-,-,13.37%,-,
24,Return on Capital Employed (ROCE),2.40%,1.33%,0.21%,0.82%,-,-,3.06%,3.46%,-,3.40%,4.48%,5.25%,-,9.23%,9.99%,-,20.52%,-,10.69%,5.35%
25,Earnings Yield,1.00%,1.24%,-0.04%,0.61%,1.03%,1.47%,2.42%,2.58%,3.16%,3.78%,2.87%,2.43%,2.03%,2.86%,-,-,-,-,-,-
26,FCF Yield,-5.97%,-7.38%,-10.33%,-7.97%,-8.97%,-7.29%,-8.20%,-9.18%,-11.69%,-9.02%,-5.92%,-2.18%,0.14%,0.24%,-,-,-,-,-,-
27,Dividend Yield,0.90%,-,-,-,0.96%,-,-,-,1.14%,-,-,-,0.67%,-,-,-,-,-,-,-
28,Payout Ratio,107.72%,3.34%,327.39%,83.89%,-,-,84.97%,0.25%,1.85%,0.28%,86.52%,0.62%,0.71%,0.65%,0.64%,2.14%,1.14%,1.29%,3.11%,3.11%
29,Buyback Yield / Dilution,-0.66%,-1.92%,-1.55%,1.23%,0.01%,0.04%,0.06%,-0.07%,-0.01%,-0.04%,-33.30%,-33.32%,-33.39%,-33.25%,-0.04%,0.01%,-,-,-,-
30,Total Shareholder Return,0.23%,-1.92%,-1.55%,1.23%,0.97%,0.04%,0.06%,-0.07%,1.13%,-0.04%,-33.30%,-33.32%,-32.72%,-33.25%,-0.04%,0.01%,-,-,-,-
