,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,201.94,166.83,140.22,150,146.34,168.44,104.24,128.17,139.91,136.72,90.18,142.5,154.49,184.55,107.49,131.78,121.19,100.43,100.43
1,Other Revenue,-1.99,1.99,-,3.41,-1.49,1.49,-,5.34,-2.93,2.93,-,3.29,-1.03,1.03,-,1.69,-0.34,0.17,0.17
2,Revenue,199.95,168.83,140.22,153.41,144.85,169.94,104.24,133.51,136.98,139.65,90.18,145.8,153.46,185.59,107.49,133.47,120.86,100.6,100.6
3,Revenue Growth (YoY),38.04%,-0.65%,34.51%,14.91%,5.75%,21.68%,15.60%,-8.43%,-10.74%,-24.75%,-16.11%,9.24%,26.97%,84.48%,6.85%,-,-,-,-
4,Cost of Revenue,153.39,139.16,108.19,134.74,104.9,127.26,80.71,110.41,108.98,103.65,64.89,132.81,115.58,146.1,78.09,97.3,80.73,71.42,71.42
5,Gross Profit,46.56,29.67,32.02,18.67,39.95,42.68,23.54,23.1,28,36,25.29,12.99,37.88,39.49,29.4,36.17,40.13,29.18,29.18
6,"Selling, General & Admin",14.24,13.41,11.76,15.73,11.05,11.71,10.65,11.48,10.44,8.31,7.59,11.27,11.32,9.16,7.47,9.08,8.46,6.4,6.4
7,Research & Development,7.69,7.07,6.46,7.25,5.85,5.7,5.76,5.17,5.55,4.98,4.89,5.67,5.22,4.4,5.06,3.82,4.73,3.93,3.93
8,Other Operating Expenses,1.13,0.74,1.7,1.39,1.07,-0.04,-0.28,0.52,0.77,-2.14,-1.06,8.75,-1.59,-2.79,-0.2,7.75,-1.95,-0.81,-0.81
9,Operating Expenses,16.68,20.99,21.16,49.76,25.63,25.78,14.9,32.1,15.79,15.54,11.32,28.48,16.8,12.28,11.97,21.8,14.06,11.72,11.72
10,Operating Income,29.88,8.68,10.87,-31.1,14.32,16.9,8.64,-9,12.21,20.46,13.98,-15.5,21.07,27.21,17.43,14.37,26.08,17.46,17.46
11,Interest Expense,-8.57,-8.06,-7.43,-16.39,-8.15,-0.43,-0.13,-0.19,-0.16,-0.1,-0.16,-0.11,-0.49,-0.47,-0.81,-0.77,-1.13,-0.28,-0.28
12,Interest & Investment Income,3.07,2.76,2.59,3.71,0.98,0.87,1.06,1.38,3.07,1.18,5.18,4.79,1.05,0.33,0.02,0.1,0.07,0.1,0.1
13,Currency Exchange Gain (Loss),5.89,-5.89,-,8.61,-9.2,9.2,-,9.38,-0.34,0.34,-,-14.77,6.75,-6.75,-,-0.58,-1.15,0.57,0.57
14,Other Non Operating Income (Expenses),3.05,4.84,-5.18,21.2,1.37,0.07,-0.38,-2.32,2.09,2.03,-2.07,11.48,-11.74,4.79,-4.81,0.41,-0.61,-0.23,-0.23
15,EBT Excluding Unusual Items,33.32,2.32,0.85,-13.97,-0.69,26.61,9.19,-0.74,16.87,23.91,16.92,-14.1,16.64,25.1,11.84,13.53,23.26,17.63,17.63
16,Gain (Loss) on Sale of Investments,-0.2,-0.14,-0.01,-0.35,0.92,-0.16,-0.22,-0.47,-1.24,-0.3,-1.34,3.24,0.55,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.02,0.04,-,0.11,-,-,-,-0.02,0.26,0.09,-,1.05,0.38,-,0.26,0.01,-,-,-
18,Asset Writedown,-7.7,3.13,-3.13,0.58,-0.58,-0.43,0.43,0.58,-0.58,1.84,-1.84,2.03,-2.03,0.5,-0.5,2.24,-2.24,-,-
19,Other Unusual Items,0.22,1.64,0.41,2.3,0.41,-0.41,-,0.77,3.53,0.23,-,20.02,-0.29,0.29,-,7.39,0.19,-0.09,-0.09
20,Pretax Income,25.61,7,-1.88,-11.32,0.05,25.62,9.39,0.11,18.83,25.76,13.74,12.23,15.26,25.89,11.6,23.16,21.21,17.53,17.53
21,Income Tax Expense,2.42,-0.29,-2.12,-3.69,0.61,3.01,0.52,-1.84,1.14,3.5,1.28,-0.43,-0.8,4.43,1.45,3.39,2.61,2.53,2.53
22,Earnings From Continuing Operations,23.19,7.29,0.24,-7.63,-0.56,22.61,8.86,1.95,17.69,22.27,12.46,12.66,16.06,21.46,10.15,19.77,18.6,15,15
23,Minority Interest in Earnings,-,-,-,-,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0
24,Net Income,23.19,7.29,0.24,-7.63,-0.56,22.61,8.86,1.95,17.69,22.26,12.46,12.66,16.06,21.46,10.15,19.77,18.6,15,15
25,Net Income to Common,23.19,7.29,0.24,-7.63,-0.56,22.61,8.86,1.95,17.69,22.26,12.46,12.66,16.06,21.46,10.15,19.77,18.6,15,15
26,Net Income Growth,-,-67.77%,-97.31%,-,-,1.54%,-28.86%,-84.60%,10.18%,3.76%,22.75%,-35.97%,-13.68%,43.05%,-32.32%,-,-,-,-
27,Shares Outstanding (Basic),84,84,82,83,83,83,83,83,83,83,83,83,83,62,62,62,62,62,62
28,Shares Outstanding (Diluted),85,84,82,83,83,83,83,83,83,83,83,83,83,62,62,62,62,62,62
29,Shares Change (YoY),1.92%,1.55%,-1.23%,-0.01%,-0.04%,-0.06%,0.07%,0.01%,0.04%,33.30%,33.32%,33.39%,33.25%,0.04%,-0.01%,-,-,-,-
30,EPS (Basic),0.27,0.09,0.00,-0.09,-0.01,0.27,0.11,0.02,0.21,0.27,0.15,0.15,0.19,0.34,0.16,0.32,0.30,0.24,0.24
31,EPS (Diluted),0.27,0.09,0.00,-0.09,-0.01,0.27,0.11,0.02,0.21,0.27,0.15,0.15,0.19,0.34,0.16,0.32,0.30,0.24,0.24
32,EPS Growth,-,-68.27%,-97.28%,-,-,1.61%,-28.91%,-84.60%,10.14%,-22.16%,-7.93%,-52.00%,-35.22%,42.99%,-32.32%,-,-,-,-
33,Free Cash Flow,-18.96,-27.73,-19.15,-71.82,-53.09,-46.49,-32.19,-30.71,-63.56,-54.26,-52.36,14.94,-39.03,20.28,8.08,16.38,17.66,-9.97,-9.97
34,Free Cash Flow Per Share,-0.22,-0.33,-0.23,-0.86,-0.64,-0.56,-0.39,-0.37,-0.76,-0.65,-0.63,0.18,-0.47,0.32,0.13,0.26,0.28,-0.16,-0.16
35,Dividend Per Share,-,-,-,0.260,-,-,-,0.231,-,-,-,0.231,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,12.65%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,23.29%,17.57%,22.84%,12.17%,27.58%,25.11%,22.58%,17.30%,20.44%,25.78%,28.05%,8.91%,24.68%,21.28%,27.35%,27.10%,33.21%,29.00%,29.00%
38,Operating Margin,14.95%,5.14%,7.75%,-20.27%,9.88%,9.94%,8.29%,-6.74%,8.91%,14.65%,15.50%,-10.63%,13.73%,14.66%,16.22%,10.76%,21.58%,17.36%,17.36%
39,Profit Margin,11.60%,4.32%,0.17%,-4.97%,-0.39%,13.30%,8.50%,1.46%,12.92%,15.94%,13.82%,8.68%,10.46%,11.56%,9.44%,14.81%,15.39%,14.91%,14.91%
40,Free Cash Flow Margin,-9.48%,-16.42%,-13.66%,-46.82%,-36.65%,-27.35%,-30.88%,-23.00%,-46.40%,-38.86%,-58.06%,10.25%,-25.44%,10.93%,7.52%,12.27%,14.61%,-9.91%,-9.91%
41,EBITDA,38.02,9.74,19,-22.96,19.67,24.99,14,-3.65,16.3,26.18,18.56,-10.92,25.12,32.11,21.48,18.41,29.98,21.36,21.36
42,EBITDA Margin,19.01%,5.77%,13.55%,-14.97%,13.58%,14.71%,13.43%,-2.73%,11.90%,18.74%,20.58%,-7.49%,16.37%,17.30%,19.98%,13.80%,24.81%,21.24%,21.24%
43,D&A For EBITDA,8.13,1.06,8.13,8.13,5.36,8.09,5.36,5.36,4.09,5.71,4.58,4.58,4.05,4.91,4.05,4.05,3.91,3.91,3.91
