,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,160.04,199.37,129.03,111.03,-,144.9,138.68,155.76,300.49,300.47,267.98,323.45,240.96,557.6,-,77.77,-,35.25,35.25
1,Trading Asset Securities,256.26,278.76,311.78,331.33,-,32.54,106.7,122.43,0.9,77.14,207.45,218.79,0.55,-,-,-,-,-,-
2,Cash & Short-Term Investments,416.3,478.13,440.81,442.36,-,177.45,245.38,278.19,301.39,377.62,475.43,542.24,241.51,557.6,77.77,77.77,-,35.25,35.25
3,Cash Growth,-,169.45%,79.64%,59.02%,-,-53.01%,-48.39%,-48.70%,24.79%,-32.28%,511.32%,597.22%,-,1481.72%,120.61%,-,-,-,-
4,Accounts Receivable,348.4,327.84,349.58,356.22,-,338.73,254.81,229.92,219.24,236.18,211.36,215.76,206.5,197.32,-,163.66,-,167.92,167.92
5,Other Receivables,5.03,5.61,4.89,1.96,-,1.64,4.91,4.35,3.63,2.28,3.7,3.54,1.57,1.27,-,2.9,-,1.09,1.09
6,Receivables,353.43,333.45,354.47,358.18,-,340.37,259.72,234.27,222.87,238.46,215.06,219.3,208.07,198.59,-,166.56,-,169.01,169.01
7,Inventory,549.56,534.51,508.73,458.18,-,408.62,404.39,369.57,344.92,333.71,316.68,280.44,291.01,293.84,-,294.01,-,252.42,252.42
8,Prepaid Expenses,-,-,-,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,14.44,17.7,20.17,30.99,-,37.54,33.25,29.87,24.14,23.08,25.32,24.85,303.13,17.9,-,13.43,-,15.69,15.69
10,Total Current Assets,1334,1364,1324,1290,-,963.98,942.74,911.9,893.32,972.86,1032,1067,1044,1068,-,551.77,-,472.37,472.37
11,"Property, Plant & Equipment",480.91,430.34,393.66,392.66,-,393.37,309.44,247.19,220.78,195.41,186.23,175.53,158.5,159.65,-,160.94,-,159.26,159.26
12,Long-Term Investments,21.02,21.02,-,21.02,-,21.02,-,21.02,-,21.02,1.02,-,-,-,-,-,-,-,-
13,Other Intangible Assets,65.42,62.54,52.31,54.94,-,23.23,23.28,23.65,24.26,24.24,24.89,24.67,24.84,23,-,24.08,-,23.78,23.78
14,Long-Term Deferred Tax Assets,19.2,22.29,21.39,20.57,-,14.34,12.6,12.92,9.49,9.68,8.93,8.69,6.85,6.65,-,6.17,-,4.37,4.37
15,Long-Term Deferred Charges,0.25,1,0.95,0.6,-,0.13,0.14,0.09,0.21,0.4,0.72,1.05,3.17,2.41,-,4.01,-,3.22,3.22
16,Other Long-Term Assets,19.63,26.79,91.37,70.8,-,18.2,118.39,113.65,138.87,57.84,29.33,19.46,14.89,9.52,-,2.61,-,0.72,0.72
17,Total Assets,1940,1928,1884,1850,-,1434,1407,1330,1287,1281,1284,1296,1252,1269,-,749.58,-,663.72,663.72
18,Accounts Payable,194.56,199.29,208.4,214.19,-,259.37,257.36,222.19,180.18,190.27,185.62,232.1,213.27,221.76,-,192.43,-,119.23,119.23
19,Accrued Expenses,24.18,23.47,16.49,28.21,-,21.76,15.65,24.05,16.69,21.32,14.38,25.13,15.4,18.92,-,20.93,-,20.19,20.19
20,Short-Term Debt,48.03,103.07,15,-,-,-,-,-,-,-,-,-,-,-,-,7.32,-,16.01,16.01
21,Current Portion of Long-Term Debt,3.46,0.03,-,1.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,3.81,-,3.96,-,1.82,-,1.81,4.06,3.62,4.05,1.15,4.95,1.69,-,3.33,-,-,-
23,Current Income Taxes Payable,5.52,4.17,8.68,6.71,-,5.16,5.61,4.09,4.95,5.78,5.11,2.89,4.73,6,-,3.83,-,2.54,2.54
24,Current Unearned Revenue,274,247.79,273.47,246.34,-,190.55,178.38,144.21,159.16,161.23,178.36,145.4,139.78,161.96,-,147.13,-,168.6,168.6
25,Other Current Liabilities,9.93,10.71,20.8,9.52,-,16.37,16.52,8.41,6.48,5.64,4.77,9.27,6.63,6.87,-,7.39,-,10.59,10.59
26,Total Current Liabilities,559.69,592.33,542.84,509.95,-,495.03,473.52,404.76,371.51,387.87,392.29,415.95,384.75,417.19,-,382.36,-,337.17,337.17
27,Long-Term Debt,279.28,272.24,284.5,277.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,0.39,1.12,1.88,-,2.04,2.44,2.85,3.17,-,0.83,-,2.68,3.93,-,5,-,-,-
29,Long-Term Unearned Revenue,4.66,4.97,4.19,4.46,-,4.93,5.3,5.58,5.37,5.63,5.89,6.16,6.4,6.13,-,3.45,-,3.8,3.8
30,Long-Term Deferred Tax Liabilities,24.89,27.08,30.5,32.65,-,2.2,2.35,2.57,0.14,0.32,0.37,0.6,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,13.19,16.18,15.65,17.49,-,17.57,14.78,15.59,13.61,11.77,11.36,12.86,11.44,10.23,-,10.42,-,12.4,12.4
32,Total Liabilities,881.7,913.19,878.79,844.25,-,521.76,498.39,431.35,393.79,405.6,410.75,435.57,405.27,437.48,-,401.23,-,353.37,353.37
33,Common Stock,84.75,84.19,83.21,83.2,-,83.2,64,64,64,64,64,64,64,64,-,48,-,48,48
34,Additional Paid-In Capital,585.11,574.22,544.85,541.6,-,536.4,555.99,555.99,555.99,555.99,555.99,555.99,555.99,555.99,-,119.11,-,119.11,119.11
35,Retained Earnings,286.81,263.61,277.96,277.72,-,285.91,282.5,273.63,271.68,253.99,250.93,238.47,225.51,209.45,-,177.84,-,139.47,139.47
36,Comprehensive Income & Other,101.79,92.56,99.05,103.58,-,6.98,5.72,5.44,1.47,1.86,1.93,2.2,1.21,2.25,-,3.39,-,3.77,3.77
37,Total Common Equity,1058,1015,1005,1006,-,912.49,908.21,899.07,893.14,875.84,872.85,860.65,846.7,831.68,348.35,348.35,-,310.35,310.35
38,Minority Interest,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,0,-,0,0
39,Shareholders' Equity,1058,1015,1005,1006,-,912.49,908.21,899.07,893.14,875.84,872.85,860.65,846.7,831.68,348.35,348.35,-,310.35,310.35
40,Total Liabilities & Equity,1940,1928,1884,1850,-,1434,1407,1330,1287,1281,1284,1296,1252,1269,-,749.58,-,663.72,663.72
41,Total Debt,330.77,379.54,300.61,284.68,-,3.86,2.44,4.66,7.22,3.62,4.89,1.15,7.63,5.62,15.65,15.65,-,16.01,16.01
42,Net Cash (Debt),85.53,98.59,140.2,157.68,-,173.59,242.95,273.53,294.16,373.99,470.54,541.09,233.88,551.98,62.12,62.12,-,19.24,19.24
43,Net Cash Growth,-,-43.20%,-42.29%,-42.35%,-,-53.59%,-48.37%,-49.45%,25.78%,-32.24%,657.47%,771.04%,-,2768.82%,222.86%,-,-,-,-
44,Net Cash Per Share,1.01,1.17,1.71,1.89,-,2.09,2.92,3.29,3.54,4.49,5.66,6.50,2.81,8.84,1.00,1.00,-,0.31,0.31
45,Filing Date Shares Outstanding,84.75,84.19,83.21,83.2,83.18,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,62.39,62.4,62.42,62.4,62.4
46,Total Common Shares Outstanding,84.75,84.19,83.21,83.2,83.18,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,62.39,62.4,62.42,62.4,62.4
47,Working Capital,774.04,771.46,781.34,779.82,-,468.95,469.23,507.14,521.8,584.99,640.19,650.89,658.97,650.73,-,169.4,-,135.2,135.2
48,Book Value Per Share,12.49,12.05,12.08,12.09,-,10.97,10.92,10.81,10.73,10.53,10.49,10.34,10.18,10.00,5.58,5.58,-,4.97,4.97
49,Tangible Book Value,993.03,952.04,952.76,951.16,-,889.26,884.93,875.41,868.88,851.6,847.95,835.99,821.86,808.68,324.26,324.26,-,286.57,286.57
50,Tangible Book Value Per Share,11.72,11.31,11.45,11.43,-,10.69,10.64,10.52,10.44,10.24,10.19,10.05,9.88,9.72,5.20,5.20,-,4.59,4.59
51,Buildings,-,180.91,-,180.36,-,171.57,-,65.27,-,65.27,-,65.27,-,65.13,-,64.49,-,64.01,64.01
52,Machinery,-,370.53,-,317.4,-,312.53,-,191.44,-,175.22,-,166.35,-,159.89,-,157.09,-,148.76,148.76
53,Construction In Progress,-,4.08,-,-,-,-,-,66.45,-,28.7,-,9.56,-,-,-,-,-,-,-
