,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,2662,2541,2465,3464,3938,-,2931,1747,-,1187,-,483.63
1,Short-Term Investments,-,202.94,-,400.61,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1088,1050,1175,200.03,38.32,-,938.32,37.89,-,-,-,-
3,Cash & Short-Term Investments,3750,3794,3640,4065,3976,-,3869,1785,-,1187,737.83,483.63
4,Cash Growth,-5.69%,-,-5.93%,127.75%,-,-,424.43%,269.05%,-,-,-,-
5,Accounts Receivable,354.39,380.08,375.87,320.12,372.77,-,427.47,418.48,-,511.03,-,275.77
6,Other Receivables,4.46,12.06,4.51,8.26,6.49,-,24.92,7.73,-,25.42,-,18.59
7,Receivables,358.84,392.13,380.38,328.38,379.26,-,452.38,426.21,-,536.46,-,294.35
8,Inventory,145.79,157.36,165.61,167.63,146.32,-,178.66,229.23,-,312.85,-,155.38
9,Other Current Assets,221.27,10.54,420.68,4.84,20.16,-,27.05,11.9,-,10.32,-,8
10,Total Current Assets,4476,4355,4606,4566,4522,-,4527,2452,-,2047,-,941.37
11,"Property, Plant & Equipment",600.34,585.83,552.9,515.6,474.41,-,412.09,414.12,-,371.77,-,206.6
12,Other Intangible Assets,65.16,65.6,66.04,66.33,65.45,-,66.19,66.56,-,67.3,-,34.24
13,Long-Term Deferred Tax Assets,-,-,-,-,8.97,-,8.6,8.6,-,14.78,-,5.79
14,Other Long-Term Assets,16.42,18.44,23.26,14.87,4.36,-,1.03,6.74,-,2.26,-,7.18
15,Total Assets,5158,5024,5249,5163,5075,-,5015,2948,-,2503,-,1195
16,Accounts Payable,141.02,134.21,145.75,111.78,128.21,-,188.78,167.71,-,217.32,-,195.26
17,Accrued Expenses,122.28,127.33,97.71,169.42,142.75,-,104.48,203.95,-,126.88,-,19.77
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,59.05,-,-
19,Current Income Taxes Payable,23.16,14.62,22.4,20.73,47.29,-,48.61,52.56,-,75.9,-,5.83
20,Current Unearned Revenue,13.01,8.72,10.93,14.75,28.92,-,16.63,58.05,-,21.37,-,16.92
21,Other Current Liabilities,2.74,27.66,2.42,27.52,2.22,-,0.62,25.22,-,32.94,-,163.22
22,Total Current Liabilities,302.2,312.54,279.21,344.22,349.39,-,359.11,507.49,-,533.47,-,401
23,Long-Term Unearned Revenue,36.53,37.65,39.72,39.88,41,-,37.85,38.76,-,40.68,-,17.67
24,Long-Term Deferred Tax Liabilities,8.23,8.23,4.63,4.63,18.8,-,15.38,15.38,-,4.73,-,4.04
25,Total Liabilities,346.97,358.42,323.55,388.73,409.19,-,412.34,561.63,-,578.87,-,422.71
26,Common Stock,373.33,373.33,373.33,373.33,373.33,-,266.67,200,-,200,-,200
27,Additional Paid-In Capital,2268,2268,2268,2268,2268,-,2375,382.45,-,382.45,-,382.45
28,Retained Earnings,2195,2050,2265,2111,1991,-,1931,1776,-,1319,-,167.44
29,Treasury Stock,-50.03,-50.03,-4.96,-,-,-,-,-,-,-,-,-
30,Comprehensive Income & Other,24.29,24.55,23.16,21.33,33.52,-,30.7,27.87,-,22.37,-,22.58
31,Shareholders' Equity,4811,4666,4925,4774,4666,-,4603,2387,-,1924,1339,772.48
32,Total Liabilities & Equity,5158,5024,5249,5163,5075,-,5015,2948,-,2503,-,1195
33,Total Debt,-,-,-,-,-,-,-,-,-,59.05,58.05,-
34,Net Cash (Debt),3750,3794,3640,4065,3976,-,3869,1785,-,1128,679.78,483.63
35,Net Cash Growth,-5.69%,-,-5.93%,127.75%,-,-,469.21%,269.05%,-,-,-,-
36,Net Cash Per Share,9.84,10.34,9.67,10.90,10.72,-,11.28,4.62,-,9.38,2.43,1.71
37,Filing Date Shares Outstanding,371.29,371.29,376.32,373.33,373.33,384.35,373.33,373.33,281.38,280,279.2,280
38,Total Common Shares Outstanding,371.29,371.29,376.32,373.33,373.33,384.35,373.33,280,281.38,280,279.2,280
39,Working Capital,4174,4042,4327,4222,4173,-,4168,1945,-,1514,-,540.36
40,Book Value Per Share,12.96,12.57,13.09,12.79,12.50,-,12.33,8.52,-,6.87,4.78,2.76
41,Tangible Book Value,4746,4600,4859,4708,4601,-,4537,2320,-,1857,1271,738.23
42,Tangible Book Value Per Share,12.78,12.39,12.91,12.61,12.32,-,12.15,8.29,-,6.63,4.54,2.64
43,Buildings,-,166.15,-,155.93,-,-,-,144.53,-,133.78,-,87.81
44,Machinery,-,589.75,-,555.5,-,-,-,491.81,-,327.94,-,294.14
45,Construction In Progress,-,207.1,-,150.95,-,-,-,76.1,-,185.75,-,65.29
