,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,537.76,579.76,586.68,509.01,581.76,588.66,580.96,637.06,820.74,888.71,960.77,458.86
1,Other Revenue,-7.87,7.87,-,17.1,-7.75,7.75,-,12.13,-7.68,-,-,1.38
2,Revenue,529.89,587.62,586.68,526.11,574.01,596.41,580.96,649.19,813.06,888.71,960.77,460.24
3,Revenue Growth (YoY),-7.69%,-1.47%,0.98%,-18.96%,-29.40%,-32.89%,-39.53%,41.05%,-,-,-,-
4,Cost of Revenue,344.29,391.34,387.06,311.02,381.15,379.19,352.52,392.7,464.32,531.56,509.34,313.32
5,Gross Profit,185.61,196.28,199.62,215.1,192.86,217.21,228.44,256.49,348.74,357.15,451.43,146.92
6,"Selling, General & Admin",20.29,22.53,23.72,42.88,17.67,-1.47,50.32,36.88,35.56,18.91,59.43,17.57
7,Research & Development,16.49,16.95,19.74,14.15,17.82,18.81,18.13,24.04,27.69,37.71,27.79,14.76
8,Other Operating Expenses,4.11,2.75,3.06,2.38,-7.58,7.55,-5.99,20.62,-8.69,-0.35,-1.2,2.06
9,Operating Expenses,38.7,43.11,52,53.55,32.35,21.21,62.46,77.54,49.17,56.1,86.18,36.15
10,Operating Income,146.91,153.18,147.62,161.54,160.51,196.01,165.98,178.95,299.57,301.05,365.25,110.77
11,Interest Expense,-,-,-,-15.56,-,-,-,-,-0.11,-4.39,-18.98,-
12,Interest & Investment Income,19.78,37.53,5.78,-,31.67,36.75,1.84,5.15,4.35,18.98,4.39,5.43
13,Currency Exchange Gain (Loss),-9.16,9.16,-,22.47,-26.17,26.17,-,98,-39.25,-,-,2.24
14,Other Non Operating Income (Expenses),9.55,-18.49,18.47,-17.01,16.89,-0.64,10.18,-83.68,83.66,39.98,1.05,-0.01
15,EBT Excluding Unusual Items,167.08,181.37,171.87,151.44,182.9,258.29,178,198.42,348.22,355.62,351.71,118.43
16,Gain (Loss) on Sale of Investments,2,1.95,1.35,-8.2,-,-,0.43,36.42,-46.89,-31.98,-,-6.71
17,Gain (Loss) on Sale of Assets,-0.27,-,-,0.06,-,-,-,-,-,-0.01,0.01,-
18,Asset Writedown,-2.81,-1.23,1.05,-3.63,-0.47,0.01,-,0.46,-0.46,-0.31,-,-
19,Other Unusual Items,2.89,1.29,3.76,0.56,-,-,-,12.62,-15.27,-,-,4.38
20,Pretax Income,168.89,183.38,178.03,140.23,182.43,258.31,178.43,247.91,285.61,323.32,351.72,116.1
21,Income Tax Expense,23.8,25.54,23.74,20.05,22.55,38.06,24.04,38.53,38.2,43.22,48.59,15.35
22,Net Income,145.09,157.84,154.29,120.18,159.88,220.24,154.39,209.38,247.41,280.1,303.13,100.76
23,Net Income to Common,145.09,157.84,154.29,120.18,159.88,220.24,154.39,209.38,247.41,280.1,303.13,100.76
24,Net Income Growth,-9.25%,-28.33%,-0.06%,-42.60%,-35.38%,-21.37%,-49.07%,107.81%,-,-,-,-
25,Shares Outstanding (Basic),381,367,376,373,371,384,343,387,281,120,279,282
26,Shares Outstanding (Diluted),381,367,376,373,371,384,343,387,281,120,279,282
27,Shares Change (YoY),2.77%,-4.56%,9.69%,-3.52%,31.80%,219.57%,22.88%,36.99%,-,-,-,-
