,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,9267,10092,8381,9042,9815,11409,11529,13216,-,-,-,-,-
1,Market Cap Growth,-11.55%,-11.55%,-27.30%,-31.58%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5518,6297,4742,4977,5839,7617,7659,12088,-,-,-,-,-
3,Last Close Price,24.96,27.18,22.45,23.20,25.18,29.27,29.57,33.06,-,-,-,-,-
4,PE Ratio,16.18,17.48,14.15,13.81,14.99,15.34,13.87,14.83,-,-,-,-,-
5,Forward PE,15.07,15.62,11.82,11.01,12.40,11.60,-,-,-,-,-,-,-
6,PS Ratio,4.19,4.52,3.69,3.96,4.31,4.75,4.37,4.51,-,-,-,-,-
7,PB Ratio,1.93,2.10,1.80,1.84,2.06,2.45,-,2.87,-,-,-,-,-
8,P/TBV Ratio,2.13,2.13,1.82,1.86,2.08,2.48,-,2.91,-,-,-,-,-
9,P/FCF Ratio,26.43,28.78,21.32,-,18.28,15.95,12.87,13.42,-,-,-,-,-
10,P/OCF Ratio,17.60,17.60,13.69,13.19,13.73,13.47,11.10,11.76,-,-,-,-,-
11,EV/Sales Ratio,2.47,2.82,2.08,2.18,2.56,3.17,2.90,4.12,-,-,-,-,-
12,EV/EBITDA Ratio,8.28,9.39,6.98,6.93,7.97,10.22,8.69,12.32,-,-,-,-,-
13,EV/EBIT Ratio,9.28,10.34,7.61,7.48,8.54,10.86,9.11,12.78,-,-,-,-,-
14,EV/FCF Ratio,15.74,17.96,12.06,-,10.87,10.65,8.55,12.28,-,-,-,-,-
15,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,0.03,0.04,-
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,0.05,0.04,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.10,0.21,-
18,Asset Turnover,0.42,0.46,0.45,-,-,-,0.58,-,-,-,-,-,
19,Inventory Turnover,9.82,9.09,9.69,9.29,-,-,-,6.91,-,-,-,-,-
20,Quick Ratio,13.60,13.60,13.40,14.40,12.76,12.47,-,12.03,4.36,-,3.23,-,1.94
21,Current Ratio,14.81,14.81,13.93,16.50,13.26,12.94,-,12.61,4.83,-,3.84,-,2.35
22,Return on Equity (ROE),12.25%,13.17%,12.73%,-,-,-,17.67%,-,-,68.66%,-,-,
23,Return on Assets (ROA),7.21%,7.46%,7.09%,-,-,-,10.42%,-,-,-,-,-,
24,Return on Capital (ROIC),7.75%,7.99%,7.61%,-,-,-,11.87%,-,-,44.53%,-,-,
25,Return on Capital Employed (ROCE),12.24%,12.55%,13.22%,13.40%,14.20%,14.84%,-,20.31%,46.91%,-,39.45%,-,13.95%
26,Earnings Yield,6.23%,5.72%,7.07%,7.24%,6.67%,6.52%,7.21%,6.74%,-,-,-,-,-
27,FCF Yield,3.78%,3.47%,4.69%,5.15%,5.47%,6.27%,7.77%,7.45%,-,-,-,-,-
28,Dividend Yield,4.03%,-,-,-,3.99%,-,-,-,-,-,-,-,-
29,Payout Ratio,64.66%,0.06%,236.47%,-,-,-,145.29%,-,-,0.07%,0.74%,0.00%,63.56%
30,Buyback Yield / Dilution,-0.83%,-2.77%,4.56%,-9.69%,3.52%,-31.80%,-219.57%,-22.88%,-36.99%,-,-,-,-
31,Total Shareholder Return,3.20%,-2.77%,4.56%,-9.69%,7.52%,-31.80%,-219.57%,-22.88%,-36.99%,-,-,-,-
