,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,87738,78093,87116,127251,90227,93961,67826,93338,140008,155564,123518,140008,155564,155564,155564,149342,102672,155564,43558,64559,76745,Upgrade
1,Market Cap Growth,-16.89%,-16.89%,28.44%,36.33%,-35.56%,-39.60%,-45.09%,-33.33%,-10.00%,0%,-20.60%,-6.25%,51.52%,0%,257.14%,131.32%,33.78%,21.21%,-70.63%,-64.38%,-53.75%,Upgrade
2,Enterprise Value,91710,85214,94237,141497,144358,76135,66733,90378,142154,158019,114425,134830,168470,183607,183607,177384,120967,173858,69648,83741,111050,Upgrade
3,Last Close Price,28200.00,25100.00,28000.00,40900.00,28088.05,29250.31,21114.47,28475.47,42713.21,47459.12,37682.54,41858.94,46509.94,46509.94,46509.94,44158.39,30358.90,45998.33,12879.53,19089.31,21159.23,Upgrade
4,PE Ratio,18.39,16.37,29.10,31.56,19.55,-,12.26,23.83,50.60,65.54,41.12,56.90,81.97,81.44,88.44,-,104.66,89.68,20.28,-,11.10,Upgrade
5,PS Ratio,0.27,0.24,0.28,0.48,0.35,0.46,0.37,0.49,0.71,0.86,0.71,1.00,1.28,0.81,0.88,0.72,0.47,0.87,0.20,0.25,0.29,Upgrade
6,PB Ratio,2.27,2.02,2.26,3.51,2.33,2.50,1.78,2.59,-,4.36,3.55,4.09,4.25,4.28,-,-,2.79,4.44,1.24,1.89,1.82,Upgrade
7,P/TBV Ratio,2.05,2.05,2.29,3.58,2.37,2.56,1.82,2.67,-,4.50,3.67,4.24,4.41,4.45,-,-,2.80,4.45,1.25,1.90,1.83,Upgrade
8,P/FCF Ratio,1.66,1.48,1.69,1.91,1.59,-,2.24,-,16.00,7.15,-,-20.13,26.52,-,-,5.09,7.39,-,3.43,-1.12,-,Upgrade
9,P/OCF Ratio,1.46,1.46,1.68,1.87,1.56,-,2.13,-,10.51,5.70,-,-33.39,22.76,-,-,4.86,6.72,-,3.43,-1.12,-,Upgrade
10,EV/Sales Ratio,0.28,0.26,0.30,0.53,0.56,0.37,0.36,0.48,0.73,0.88,0.66,0.96,1.38,0.96,1.04,0.86,0.56,0.97,0.32,0.32,0.42,Upgrade
11,EV/EBITDA Ratio,8.55,7.94,10.53,14.20,14.02,8.52,6.73,11.62,22.14,25.82,26.25,34.39,46.50,-,27.04,23.92,23.97,29.44,9.77,-,7.68,Upgrade
12,EV/EBIT Ratio,11.15,10.36,15.03,19.91,19.29,12.31,9.42,18.82,42.66,54.05,29.77,38.60,51.91,44.40,47.81,39.62,57.35,59.40,16.83,-,9.74,Upgrade
13,EV/FCF Ratio,1.74,1.62,1.83,2.12,2.55,-,2.20,-,16.24,7.27,-,-19.39,28.72,-,-,6.05,8.71,-,5.48,-1.45,-,Upgrade
14,Debt / Equity Ratio,0.83,0.83,0.83,0.51,1.06,1.57,0.10,0.09,-,0.28,0.34,0.33,0.20,0.58,-,-,1.29,0.92,0.92,1.02,0.96,Upgrade
15,Debt / EBITDA Ratio,3.00,3.14,3.14,1.81,3.40,18.79,0.27,0.29,-,1.43,2.03,1.83,1.31,-,-,-,5.45,3.40,4.92,-,3.33,Upgrade
16,Debt / FCF Ratio,0.61,0.61,0.63,0.28,0.73,-,0.13,-,-,0.46,-,-1.62,1.22,-,-,-,3.42,-,2.52,-0.60,-,Upgrade
17,Asset Turnover,2.15,2.31,1.23,2.16,1.68,1.14,-,-,1.77,1.73,1.71,1.03,-,-,-,-,-,1.09,0.83,-,Upgrade,
