,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,726.76,867.38,746.04,701.48,647.44,573.43,475.21,341.4,515.7,422.74,309.33,280.47,256.48,233.35,169.83,169.83
1,Other Revenue,-,-58.78,58.78,-,28.28,-11.94,11.94,-,16.23,-7.96,7.96,-,13.64,-5.54,2.77,2.77
2,Revenue,726.76,808.59,804.83,701.48,675.72,561.49,487.14,341.4,531.93,414.78,317.28,280.47,270.12,227.81,172.6,172.6
3,Revenue Growth (YoY),7.55%,44.01%,65.21%,105.47%,27.03%,35.37%,53.54%,21.72%,96.93%,82.07%,83.83%,62.50%,-,-,-,-
4,Cost of Revenue,1186,512.61,612.62,523.35,557.2,401.87,369.99,241.66,380.02,271.69,216.39,187.4,188.37,146.82,123.91,123.91
5,Gross Profit,-458.75,295.99,192.21,178.13,118.52,159.63,117.15,99.73,151.91,143.09,100.89,93.07,81.74,81,48.69,48.69
6,"Selling, General & Admin",-307.27,117.4,103.44,86.43,89.22,65.7,57.7,43.69,45.83,39.14,30.52,24.27,26.3,19.79,17.05,17.05
7,Research & Development,-157.44,54.83,55.56,47.05,56.84,57.36,54.17,37.63,43.02,32.64,26.19,19.99,29.72,17.65,13.41,13.41
8,Other Operating Expenses,96.07,-30.04,-27.01,-39.01,-2.41,-31.03,-27.04,-18.89,47.5,-13.04,-17.67,-10.19,35.74,-33.51,1.05,1.05
9,Operating Expenses,-383,137.23,145.01,100.76,147.88,94.9,78.16,63.04,137.47,64.89,42.62,37.06,93.6,6.86,33.14,33.14
10,Operating Income,-75.74,158.76,47.2,77.37,-29.36,64.72,38.99,36.69,14.44,78.2,58.27,56.01,-11.86,74.14,15.55,15.55
11,Interest Expense,-26.45,-20.53,-13.62,-11.48,-,-11.62,-7.12,-6.38,-12.88,-9.33,-6.06,-4.81,-3.91,-2.19,-1.14,-1.14
12,Interest & Investment Income,45.62,9.81,8.95,7.7,8.43,13.92,20.54,15.63,9.47,4.33,4.04,0.88,0.78,0.77,1.11,1.11
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,1.42,-0.71,-0.71
14,Currency Exchange Gain (Loss),-,-1.65,1.65,-,-1.04,-1.69,1.69,-,11.54,-6.49,6.49,-,-5.14,2.89,-1.44,-1.44
15,Other Non Operating Income (Expenses),-4.79,-6.34,-0.58,0.24,-0.71,-11.88,5.26,3.03,-19.52,18.02,0.98,-2.15,2.51,-3.07,-0.1,-0.1
16,EBT Excluding Unusual Items,-61.36,140.05,43.59,73.83,-22.68,53.45,59.37,48.97,3.04,84.73,63.71,49.93,-17.62,73.95,13.27,13.27
17,Gain (Loss) on Sale of Investments,-,-,-1.2,1.2,40,0.49,-1.6,2.73,2.72,-,0.08,-0.05,-0.29,-3.34,-,-
18,Gain (Loss) on Sale of Assets,5.98,-5.57,-0.24,-0.18,-0.34,-0,-,0.05,-6.37,0,-,0.33,-0.07,-,0.03,0.03
19,Asset Writedown,46.03,-39.62,1.36,-7.77,17.11,-17.24,5.29,-5.29,14.44,-14.44,4.77,-4.78,5.35,-5.71,-0.01,-0.01
