,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1278,1593,1245,1579,1212,1295,1516,1989,3809,-,-,346.63,-,197.47,197.47
1,Trading Asset Securities,-,-,-,462.31,501.12,1287,1321,1363,1153,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1278,1278,1593,1707,2080,2499,2616,2879,3142,3809,-,346.63,346.63,197.47,197.47,197.47
3,Cash Growth,-38.57%,-48.87%,-39.10%,-40.70%,-33.81%,-34.41%,-,730.62%,806.51%,1829.08%,-,75.53%,-,-,-,-
4,Accounts Receivable,-,1453,1262,1095,903.93,804.45,686.07,542.82,581.98,498.79,-,-,348.11,-,227.52,227.52
5,Other Receivables,-,15.85,14.65,14.71,16.33,28.28,15.83,22.82,15.39,9.1,-,-,6.91,-,3.87,3.87
6,Receivables,-,1468,1277,1110,920.26,832.73,701.9,565.64,597.37,507.89,-,-,355.02,-,231.39,231.39
7,Inventory,-,912.92,824.05,870.91,905.98,895.58,816.49,700.03,533.18,508.49,-,-,255.66,-,190.65,190.65
8,Other Current Assets,-,257.93,232.32,219.95,170.75,193.71,191.05,199.21,144.27,187.32,-,-,39.17,-,27.83,27.83
9,Total Current Assets,-,3917,3926,3908,4077,4421,4325,4344,4417,5013,-,-,996.48,-,647.35,647.35
10,"Property, Plant & Equipment",-,3478,3119,2757,2722,2243,2085,1936,1905,1560,-,-,1118,-,798.98,798.98
11,Long-Term Investments,-,117.64,119.77,118.79,119.37,100.58,99.45,95.07,14.33,12.42,-,-,6.26,-,8.59,8.59
12,Other Intangible Assets,-,148.02,140.93,143.98,144.91,139.48,135.46,135.06,139.01,135.88,-,-,135.86,-,112.68,112.68
