,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,16621,15687,14061,11222,13459,16371,19588,22787,23696,22601,-,-,-,-,-,-,-
1,Market Cap Growth,-4.18%,-4.18%,-28.22%,-50.75%,-43.20%,-27.56%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,17331,16397,14305,11169,12305,15217,18025,20690,20986,19891,-,-,-,-,-,-,-
3,Last Close Price,54.64,51.57,46.02,36.80,43.01,52.31,62.59,72.81,75.26,71.78,-,-,-,-,-,-,-
4,PE Ratio,70.05,79.06,62.11,57.61,70.94,97.05,91.46,94.70,97.10,92.08,-,-,-,-,-,-,-
5,Forward PE,39.17,39.34,37.06,31.81,37.48,48.88,51.63,60.79,62.17,66.32,-,-,-,-,-,-,-
6,PS Ratio,4.57,5.16,4.70,4.09,5.55,7.92,10.19,12.84,14.76,14.63,-,-,-,-,-,-,-
7,PB Ratio,3.64,3.31,2.97,2.39,2.83,3.44,4.08,4.79,4.91,4.74,-,-,-,-,-,-,-
8,P/TBV Ratio,3.55,3.55,3.18,2.56,3.05,3.70,4.34,5.09,5.20,5.02,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-42.37,-,-,-,-1012.39,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.70,5.39,4.78,4.07,5.07,7.37,9.38,11.65,13.07,12.88,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,48.06,-,33.33,34.28,41.76,62.22,64.62,73.07,72.10,66.06,-,-,-,-,-,-,-
12,EV/EBIT Ratio,83.49,-,56.33,69.84,81.10,-,116.41,122.92,111.87,96.13,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.38,0.38,0.38,0.35,0.31,0.27,0.25,0.19,0.13,0.13,0.22,-,0.50,0.50,0.20,0.20,0.20
14,Debt / EBITDA Ratio,5.04,-,2.31,3.65,3.18,23.76,3.21,2.91,2.47,3.26,2.64,-,1.80,14.21,0.52,1.44,1.44
15,Asset Turnover,-,0.41,0.42,0.37,0.36,0.31,0.28,0.20,0.31,-,-,-,-,-,0.39,-,
16,Inventory Turnover,-,-,2.36,2.89,2.36,2.47,1.88,1.95,1.57,2.92,-,-,-,-,-,2.60,-
17,Quick Ratio,-,-,1.98,2.39,2.61,2.52,3.37,3.60,3.86,4.43,4.38,-,-,1.10,-,1.19,1.19
18,Current Ratio,-,-,2.82,3.27,3.62,3.43,4.48,4.69,4.86,5.23,5.09,-,-,1.56,-,1.80,1.80
19,Return on Equity (ROE),2.84%,5.14%,4.52%,4.28%,2.97%,2.95%,4.89%,3.22%,6.80%,-,-,14.19%,15.21%,15.99%,9.08%,-,
20,Return on Assets (ROA),-,5.02%,1.54%,2.55%,-0.98%,2.27%,1.42%,1.37%,0.53%,-,-,-,-,-,2.19%,-,
21,Return on Capital (ROIC),-2.89%,6.15%,1.88%,3.15%,-1.22%,2.77%,1.75%,1.69%,0.65%,-,-,8.55%,-2.12%,16.05%,3.37%,-,
22,Return on Capital Employed (ROCE),-,-,3.80%,2.44%,2.33%,-,2.44%,2.80%,3.19%,3.57%,3.02%,-,-,-,-,2.20%,1.10%
23,Earnings Yield,1.19%,1.26%,1.61%,1.74%,1.41%,1.03%,1.09%,1.06%,1.03%,1.09%,-,-,-,-,-,-,-
24,FCF Yield,-,-10.06%,-12.70%,-12.38%,-9.06%,-6.88%,-5.52%,-3.97%,-3.61%,-,-,-,-,-,-,-,
25,Dividend Yield,0.71%,-,-,1.46%,-,0.65%,-,-,-,0.66%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,11.29%,181.08%,16.25%,28.31%,86.95%,230.41%,16.96%,17.61%,9.05%,10.80%,16.95%,5.88%,6.90%,4.28%,4.28%
27,Buyback Yield / Dilution,17.47%,11.22%,2.73%,56.49%,-0.56%,0.82%,-35.48%,-32.79%,-32.10%,-29.88%,-2.98%,-0.27%,-0.07%,-,-,-,-
28,Total Shareholder Return,18.18%,11.22%,2.73%,57.95%,-0.56%,1.47%,-35.48%,-32.79%,-32.10%,-29.22%,-2.98%,-0.27%,-0.07%,-,-,-,-
