,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,14053,33308,13859,28993,12629,43127,35165,40045,31035,30459,Upgrade
1,Revenue Growth (YoY),1.40%,14.88%,9.74%,-32.77%,-64.09%,7.70%,13.31%,31.47%,14.85%,5.09%,Upgrade
2,Cost of Revenue,15727,36952,14725,35534,10871,35481,25700,29647,20101,21718,Upgrade
3,Gross Profit,-1674,-3644,-865.51,-6540,1758,7646,9465,10398,10934,8741,Upgrade
4,"Selling, General & Admin",762.17,1427,918.05,1650,1374,2046,1800,2062,1478,1496,Upgrade
5,Other Operating Expenses,43.29,58.8,-9.98,-128.91,279.12,-98.76,-89.07,-41.64,-129.53,-151.88,Upgrade
6,Operating Expenses,805.46,1486,908.07,1521,1653,1947,1711,2020,1348,1344,Upgrade
7,Operating Income,-2479,-5130,-1774,-8062,105.21,5699,7754,8378,9586,7397,Upgrade
8,Interest Expense,-1126,-1034,-586.77,-1097,-734.49,-916.35,-382.19,-1108,-943.82,-539.92,Upgrade
9,Interest & Investment Income,67.19,137.63,231.06,566.35,384.62,800.89,818.7,903.13,836.5,425.75,Upgrade
10,Earnings From Equity Investments,94.37,115.32,-115.43,410.27,-148.54,-35.06,-317.65,281.81,-330.16,-98.61,Upgrade
11,Currency Exchange Gain (Loss),0,-52.53,52.53,32.6,-32.6,41.49,-3.24,-,-,15.94,Upgrade
12,Other Non Operating Income (Expenses),4.47,-,-,-0.16,-4.08,-156.9,-158.35,188.4,30,4.73,Upgrade
13,EBT Excluding Unusual Items,-3440,-5963,-2192,-8150,-429.88,5433,7712,8643,9178,7205,Upgrade
14,Gain (Loss) on Sale of Investments,-,-261.33,6.07,-500.23,-268.91,219.46,216.8,-,-,6.84,Upgrade
15,Gain (Loss) on Sale of Assets,-,97.14,-46.06,128.72,-35.99,72.19,-53.22,27.16,13.33,75.63,Upgrade
16,Asset Writedown,-36.8,1236,52.03,1298,269.8,-107.14,1297,539.9,1057,834.19,Upgrade
17,Other Unusual Items,9.27,-49.22,49.22,-43.06,43.06,-,-,38.15,-,-26.64,Upgrade
18,Pretax Income,-3467,-4941,-2131,-7266,-421.92,5617,9173,9249,10249,8095,Upgrade
19,Income Tax Expense,-1667,2157,-371.03,892.41,289.27,1785,2672,2160,3964,1822,Upgrade
20,Earnings From Continuing Operations,-1800,-7098,-1760,-8158,-711.19,3832,6500,7089,6285,6273,Upgrade
21,Minority Interest in Earnings,263.63,76.31,-152.74,174.88,170.62,-38.33,-318.5,-229.89,-127.57,-132.26,Upgrade
22,Net Income,-1536,-7022,-1913,-7984,-540.57,3794,6182,6859,6157,6141,Upgrade
23,Preferred Dividends & Other Adjustments,-,-,-,3.03,79.2,78.66,79.42,83.79,83.79,83.37,Upgrade
24,Net Income to Common,-1536,-7022,-1913,-7987,-619.76,3715,6103,6775,6074,6057,Upgrade
25,Net Income Growth,-,-,-,-,-,-44.69%,0.40%,11.70%,20.07%,26.44%,Upgrade
26,Shares Outstanding (Basic),5527,5527,5527,5370,5686,5356,5442,5469,5508,5488,Upgrade
27,Shares Outstanding (Diluted),5527,5527,5527,5370,5686,5368,5464,5508,5551,5560,Upgrade
28,Shares Change (YoY),-,2.93%,-2.79%,0.02%,4.06%,-2.54%,-1.58%,-0.92%,-0.47%,-0.09%,Upgrade
29,EPS (Basic),-0.28,-1.27,-0.35,-1.49,-0.11,0.69,1.12,1.24,1.10,1.10,Upgrade
30,EPS (Diluted),-0.28,-1.27,-0.35,-1.49,-0.11,0.69,1.12,1.23,1.09,1.09,Upgrade
31,EPS Growth,-,-,-,-,-,-43.74%,2.08%,12.91%,20.96%,27.00%,Upgrade
32,Free Cash Flow,-1067,9061,-1940,-6315,-5689,2949,1583,-4231,5392,-3201,Upgrade
33,Free Cash Flow Per Share,-0.19,1.64,-0.35,-1.18,-1.00,0.55,0.29,-0.77,0.97,-0.58,Upgrade
34,Dividend Per Share,-,-,-,-,-,-,0.407,0.459,0.392,0.408,Upgrade
35,Dividend Growth,-,-,-,-,-,-,3.95%,12.42%,17.31%,13.86%,Upgrade
36,Operating Margin,-17.64%,-15.40%,-12.80%,-27.80%,0.83%,13.21%,22.05%,20.92%,30.89%,24.29%,Upgrade
37,Profit Margin,-10.93%,-21.08%,-13.80%,-27.55%,-4.91%,8.61%,17.35%,16.92%,19.57%,19.89%,Upgrade
38,Free Cash Flow Margin,-7.60%,27.21%,-14.00%,-21.78%,-45.04%,6.84%,4.50%,-10.57%,17.37%,-10.51%,Upgrade
39,EBITDA,-2455,-5103,-1750,-8049,133,5713,7797,8397,9627,7422,Upgrade
40,D&A For EBITDA,24.1,26.5,23.14,12.44,27.79,13.89,42.59,19.47,40.63,24.55,Upgrade
41,EBIT,-2479,-5130,-1774,-8062,105.21,5699,7754,8378,9586,7397,Upgrade
