,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,463.29,410.83,427.62,361.06,307.12,343.28,410.64,311.34,468.13,432.59,379.71,306.03,466.04,365.8,335.93,335.93,185.75,185.75,153.41,153.41
1,Other Revenue,-,-23.16,23.16,-,31.63,-15.54,15.54,-,10.32,-4.52,4.52,-,12.07,-7.33,3.67,3.67,2.48,2.48,1.6,1.6
2,Revenue,463.29,387.66,450.78,361.06,338.75,327.74,426.18,311.34,478.45,428.07,384.23,306.03,478.11,358.47,339.6,339.6,188.24,188.24,155.01,155.01
3,Revenue Growth (YoY),36.77%,18.28%,5.77%,15.97%,-29.20%,-23.44%,10.92%,1.74%,0.07%,19.42%,13.14%,-9.89%,153.99%,90.44%,119.08%,119.08%,-,-,-,-
4,Operations & Maintenance,-,-0.71,0.71,-,0.07,-0.7,0.7,-,0.03,-0.2,0.2,-,0.98,-0.38,0.19,0.19,0.17,0.17,0.37,0.37
5,"Selling, General & Admin",-85.81,32.55,28.06,25.2,51.07,27.99,23.41,23.46,47.12,21.74,18.96,19.45,35.23,21.65,16.08,16.08,31.77,31.77,15.65,15.65
6,Provision for Bad Debts,-12.45,0.85,8.02,3.57,8.26,0.94,6.98,2.65,-24.03,-2.51,11.35,5.83,-0.65,2.74,6.41,6.41,3.06,3.06,2.19,2.19
7,Other Operating Expenses,564.15,202.84,277.25,214.14,203.94,181.79,268.68,181.1,388.35,295.43,245.59,185.43,376.1,232.42,233.1,233.1,82.84,82.84,67.85,67.85
8,Total Operating Expenses,437.41,246.71,323.21,251.06,276.27,218.49,305.27,212.16,420.96,321.67,283.05,216.39,422.98,259.36,257.44,257.44,120.69,120.69,87.63,87.63
9,Operating Income,25.88,140.95,127.58,110,62.48,109.25,120.91,99.17,57.49,106.4,101.18,89.64,55.13,99.11,82.16,82.16,67.55,67.55,67.38,67.38
10,Interest Expense,63.9,-19.23,-24.17,-20.5,-28.16,-13.01,-20.81,-21.83,-19.87,-17,-17.19,-20.24,-27.87,-16.58,-16.46,-16.46,-16.11,-16.11,-15.76,-15.76
11,Interest Income,-15.09,4.68,5.14,5.27,6.94,7.28,9.03,6.86,11.82,4.07,1.3,1.58,1.63,1.91,2.03,2.03,3.45,3.45,0.63,0.63
12,Net Interest Expense,48.81,-14.56,-19.03,-15.23,-21.21,-5.73,-11.79,-14.97,-8.04,-12.93,-15.88,-18.66,-26.25,-14.67,-14.43,-14.43,-12.66,-12.66,-15.13,-15.13
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-0.34,0.18,-0.18,-,0.13,-0.76,0.38,0.38,0.12,0.12,-0.22,-0.22
14,Other Non-Operating Income (Expenses),-2.62,-0.25,1.02,-1.24,10.9,-8.29,-1.69,-0.55,1.32,-3.62,-6.02,-1.86,4.16,-5.79,-3.15,-3.15,-3.69,-3.69,-3.56,-3.56
15,EBT Excluding Unusual Items,72.07,126.15,109.57,93.54,52.17,95.23,107.43,83.66,50.43,90.02,79.1,69.12,33.18,77.89,64.96,64.96,51.31,51.31,48.47,48.47
16,Gain (Loss) on Sale of Investments,-,-,-,-,0.08,0.29,0.4,1.9,-1.38,1.38,-,-,-,-,-,-,-0.95,-0.95,0.95,0.95
17,Gain (Loss) on Sale of Assets,0.44,0.18,-0.62,0.01,0.45,0.51,-,0.01,-0.06,-,-,0.03,-0.01,-0.13,-,-,0.02,0.02,-,-
18,Asset Writedown,-0.66,0.52,0.13,0,-0.2,0.05,0.34,-0.08,0.55,-0.82,-0.24,0.04,0.12,-0.11,-0,-0,0.01,-0,-0.93,-0.93
19,Other Unusual Items,2.98,-6.5,4.4,-0.88,11.27,-0.2,0.2,-,8.45,-0.25,0.25,-,3.91,0.02,-0.01,-0.01,1.31,1.32,0.38,0.38
20,Pretax Income,74.83,120.35,113.48,92.67,63.76,95.88,108.37,85.5,57.99,90.33,79.11,69.19,37.2,77.67,64.95,64.95,51.7,51.7,48.87,48.87
21,Income Tax Expense,48.74,10.37,12.06,9.46,-7.97,17.19,18.58,15.04,8.37,17.47,7.92,12.63,7.76,17.94,10.37,10.37,11.48,11.48,11.34,11.34
22,Earnings From Continuing Ops.,26.09,109.97,101.42,83.21,71.73,78.7,89.79,70.46,49.62,72.86,71.19,56.56,29.44,59.73,54.58,54.58,40.22,40.22,37.53,37.53
23,Minority Interest in Earnings,30.93,-10.09,-10.15,-10.69,-8.78,-10.82,-11.46,-9.94,-12.03,-9.48,-8.76,-7.82,-4.94,-6.35,-6.9,-6.9,-5.5,-5.5,-5.74,-5.74
24,Net Income,57.02,99.88,91.27,72.52,62.96,67.88,78.32,60.52,37.59,63.39,62.43,48.74,24.5,53.37,47.67,47.67,34.72,34.72,31.79,31.79
25,Net Income to Common,57.02,99.88,91.27,72.52,62.96,67.88,78.32,60.52,37.59,63.39,62.43,48.74,24.5,53.37,47.67,47.67,34.72,34.72,31.79,31.79
26,Net Income Growth,-9.42%,47.15%,16.53%,19.83%,67.47%,7.08%,25.47%,24.17%,53.44%,18.76%,30.94%,2.23%,-29.44%,53.72%,49.95%,49.95%,-,-,-,-
27,Shares Outstanding (Basic),1414,1473,1472,1471,1576,1472,1472,1472,1501,1281,992,1218,898,1222,1105,1105,1105,1105,1105,1105
28,Shares Outstanding (Diluted),1414,1473,1472,1471,1576,1472,1472,1472,1501,1281,992,1218,898,1222,1105,1105,1105,1105,1105,1105
29,Shares Change (YoY),-10.25%,0.07%,0.01%,-0.10%,5.01%,14.94%,48.47%,20.85%,67.01%,4.80%,-10.25%,10.28%,-18.66%,10.65%,0.02%,0.02%,-,-,-,-
30,EPS (Basic),0.04,0.07,0.06,0.05,0.04,0.05,0.05,0.04,0.03,0.05,0.06,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03
31,EPS (Diluted),0.04,0.07,0.06,0.05,0.04,0.05,0.05,0.04,0.03,0.05,0.06,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03
32,EPS Growth,0.92%,47.05%,16.53%,19.95%,59.49%,-6.84%,-15.49%,2.75%,-8.13%,13.32%,45.90%,-7.30%,-13.25%,38.92%,49.93%,49.93%,-,-,-,-
33,Free Cash Flow,-,103.77,56.53,-62.43,-110.35,-136.73,-9.35,-54.93,39.82,-183.13,1.33,-43.4,1.91,-125.02,-86.59,-86.59,-49.17,-49.17,-42.34,-42.34
