,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1104,869.45,1200,992.38,1157,1453,1169,1756,783.08,500.69,-,562.29,-,464.13,464.13,539.48,539.48,292.73,292.73
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.74,22.74,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,50.13,200.03,524.9,-,874.38,-,-,-,-,-,-,-,-,341.9,341.9
3,Accounts Receivable,-,712.57,727.75,663.78,607.45,536.35,561.94,508.97,445.98,519.73,489.58,-,378.86,-,412.25,412.25,281.31,281.31,297.24,297.24
4,Other Receivables,-,10.78,148.77,13.16,162.72,30.8,121.72,61.28,158.64,39.99,78.58,-,121.91,-,31.33,31.33,48.68,48.68,36.68,36.68
5,Inventory,-,70.11,57.37,118.05,136.15,76.27,49.43,37.26,48.57,49.97,84.75,-,72.39,-,76.54,76.54,41.73,41.73,27.83,27.83
6,Prepaid Expenses,-,-,-,-,1.82,-,-,-,2.41,-,2.55,-,1.51,-,1.36,1.36,0.66,0.66,0.66,0.66
7,Other Current Assets,-,156.31,18.71,178.52,16,240.67,37.94,122.9,15.92,75.61,8.06,-,9.11,-,23.55,23.55,21.59,21.59,7.37,7.37
8,Total Current Assets,-,2054,1822,2174,1917,2091,2424,2425,2428,2343,1164,-,1146,-,1032,1032,933.45,933.45,1004,1004
