,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7742,7948,7654,6462,7109,7345,8449,9170,9155,8934,8684,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,8.22%,8.22%,-9.41%,-29.53%,-22.35%,-17.79%,-2.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9436,9642,9401,7926,8634,8265,9125,9742,9643,9422,10267,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,23.91,24.78,23.43,21.93,25.24,27.24,34.58,38.24,40.89,42.12,43.63,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,4.61,4.78,4.98,4.37,4.89,5.23,5.47,5.58,5.71,5.60,5.44,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,2.20,2.07,1.99,1.73,1.88,1.99,2.34,2.59,2.58,2.59,2.55,-,-,-,-,-,-,-,-,-,-
6,P/FCF Ratio,-,-,-613.02,-25.54,-,-,-,-,-,-48.20,-,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-,12.81,12.69,16.29,17.79,18.66,23.38,21.55,20.04,19.73,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,5.67,5.80,6.11,5.36,5.94,5.89,5.91,5.93,6.02,5.90,6.43,-,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,16.21,16.23,14.90,13.41,15.14,15.00,16.97,18.32,19.06,19.11,21.06,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,23.33,23.84,21.32,19.36,21.44,21.09,23.59,25.37,26.47,26.56,29.14,-,-,-,-,-,-,-,-,-,-
11,EV/FCF Ratio,-,-,-752.99,-31.33,-,-,-,-,-,-50.83,-,-,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.65,0.65,0.65,0.62,0.63,0.60,0.51,0.58,0.56,0.61,0.56,0.95,0.97,0.97,-,0.87,0.87,0.86,0.86,0.82,0.82
13,Debt / EBITDA Ratio,4.26,8.82,3.35,3.10,3.84,4.94,3.18,3.11,3.68,5.37,3.45,3.33,3.69,4.88,-,3.32,3.32,3.67,3.67,3.43,3.43
14,Debt / FCF Ratio,-,-,-198.73,-9.13,-,-,-,-,-,-11.42,-,-11.31,-,-6.11,-,-,-,-,-,-,-
15,Quick Ratio,-,-,1.59,1.66,1.65,1.55,1.80,1.99,2.28,2.18,2.45,1.06,-,1.11,-,0.90,0.90,1.02,1.02,1.03,1.03
16,Current Ratio,-,-,1.79,1.73,1.91,1.68,2.13,2.06,2.44,2.24,2.59,1.16,-,1.20,-,1.00,1.00,1.10,1.10,1.07,1.07
17,Asset Turnover,-,0.21,0.25,0.20,0.20,0.20,0.26,0.19,0.30,0.31,-,-,-,-,0.32,0.34,0.20,0.21,0.17,-,
18,Return on Equity (ROE),2.72%,11.62%,10.81%,8.91%,7.84%,8.80%,10.14%,8.06%,5.80%,10.85%,14.85%,12.16%,-,-,12.34%,12.83%,9.85%,10.05%,9.56%,-,
19,Return on Assets (ROA),-,4.81%,4.35%,3.76%,2.29%,4.15%,4.59%,3.81%,2.27%,4.83%,-,-,-,-,4.90%,5.19%,4.53%,4.62%,4.71%,-,
20,Return on Capital (ROIC),1.02%,5.70%,5.24%,4.56%,2.74%,4.93%,5.42%,4.46%,2.64%,5.81%,6.73%,6.11%,-,-,6.21%,6.48%,5.56%,5.73%,5.89%,-,
21,Return on Capital Employed (ROCE),-,-,6.98%,6.67%,6.36%,6.51%,7.01%,6.99%,6.60%,6.55%,6.69%,8.98%,-,8.84%,-,9.48%,9.01%,9.36%,7.02%,5.10%,2.55%
22,Earnings Yield,4.14%,4.03%,4.27%,4.56%,3.96%,3.67%,2.89%,2.62%,2.45%,2.37%,2.29%,-,-,-,-,-,-,-,-,-,-
23,Earnings Yield,4.14%,4.03%,4.27%,4.56%,3.96%,3.67%,2.89%,2.62%,2.45%,2.37%,2.29%,-,-,-,-,-,-,-,-,-,-
24,FCF Yield,-,-0.16%,-3.92%,-4.49%,-4.24%,-1.91%,-2.26%,-2.15%,-2.07%,-2.57%,-,-,-,-,-,-,-,-,-,-,
25,Dividend Yield,1.90%,-,-,-,-,2.04%,-,-,-,0.93%,-,-,-,-,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,17.42%,183.56%,24.60%,31.98%,24.89%,128.32%,30.36%,43.22%,33.67%,34.36%,38.70%,60.65%,39.32%,38.01%,38.01%,64.04%,64.04%,57.77%,57.77%
27,Buyback Yield / Dilution,2.70%,10.25%,-0.07%,-0.01%,0.10%,-5.01%,-14.94%,-48.47%,-20.85%,-67.01%,-4.80%,10.25%,-10.28%,18.66%,-10.65%,-0.02%,-0.02%,-,-,-,-
28,Total Shareholder Return,4.60%,10.25%,-0.07%,-0.01%,0.10%,-2.96%,-14.94%,-48.47%,-20.85%,-66.07%,-4.80%,10.25%,-10.28%,18.66%,-10.65%,-0.02%,-0.02%,-,-,-,-
