,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,283.37,117.67,163.85,296.57,298.76,851.31,940.86,916.35,161.13,65.19,-,89.41,-,-,-
1,Trading Asset Securities,-,-,-,60.8,1.89,20.77,60.21,0.35,-,713.1,-,-,0.01,-,-,-
2,Cash & Short-Term Investments,283.37,283.37,117.67,224.65,298.46,319.52,911.52,941.22,916.35,874.23,65.19,89.42,89.42,-,-,97.17
3,Cash Growth,-5.05%,-11.31%,-87.09%,-76.13%,-67.43%,-63.45%,1298.27%,952.60%,924.78%,-,-,-7.98%,-,-,-,-
4,Accounts Receivable,-,782.74,802.49,669.76,600.98,604.62,630.3,559.6,485.06,448.58,389.26,-,235.33,-,-,-
5,Other Receivables,-,4.84,2.77,2.97,2.34,2.45,2.14,1.64,5.55,2.86,-,-,1.32,-,-,-
6,Receivables,-,787.58,805.26,672.74,603.32,607.07,632.44,561.25,490.6,451.44,389.82,-,236.65,-,-,-
7,Inventory,-,740.49,694.74,630.24,630.48,703.55,609.82,520.96,466.26,405.06,316.33,-,231.57,-,-,-
8,Prepaid Expenses,-,-,4.99,-,4.65,-,4.65,-,4.24,-,0.01,-,0.66,-,-,-
9,Other Current Assets,-,61.59,46.95,49.51,24.5,53.98,28.86,34.71,54.79,367.33,58.96,-,25.59,-,-,-
10,Total Current Assets,-,1873,1670,1577,1561,1684,2187,2058,1932,2098,830.31,-,583.89,-,-,-
11,"Property, Plant & Equipment",-,887.89,912.64,881.2,879.77,791.1,740.07,636.27,603.3,557.96,543.89,-,510.46,-,-,-
