,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3949,3418,3568,3520,4011,5433,5762,7043,7406,8818,9084,-,-,-,-,-,-
1,Market Cap Growth,-37.09%,-37.09%,-38.08%,-50.02%,-45.83%,-38.38%,-36.58%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4133,3602,3835,3496,3906,5328,5361,6298,6534,7946,9647,-,-,-,-,-,-
3,Last Close Price,16.43,14.22,14.68,13.99,15.94,21.59,22.89,27.63,29.06,34.60,35.64,-,-,-,-,-,-
4,PE Ratio,60.85,51.28,101.09,80.53,70.10,-,56.24,69.92,71.01,93.37,80.40,-,-,-,-,-,-
5,PS Ratio,2.94,2.47,2.64,2.64,3.13,4.50,5.08,6.63,7.41,9.27,9.70,-,-,-,-,-,-
6,PB Ratio,1.44,1.25,1.30,1.30,1.42,1.95,2.06,2.46,2.62,3.15,3.27,-,-,-,-,-,-
7,P/TBV Ratio,1.28,1.28,1.33,1.34,1.47,2.01,2.12,2.52,2.68,3.22,3.35,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-17.50,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-26.87,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.99,2.61,2.83,2.62,3.05,4.41,4.72,5.93,6.54,8.35,10.30,-,-,-,-,-,-
11,EV/EBITDA Ratio,36.12,31.14,93.16,65.15,61.43,-,64.09,88.47,79.69,-,92.20,-,-,-,-,-,-
12,EV/EBIT Ratio,57.33,49.96,-1595.85,298.46,164.04,-,113.76,170.45,133.66,-,126.77,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-17.16,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.17,0.14,0.07,0.07,0.08,0.18,0.07,0.02,0.00,1.13,0.73,0.73,-,-,0.46
15,Debt / EBITDA Ratio,4.08,2.70,5.86,3.53,1.96,-,1.63,3.42,2.07,-,0.03,3.27,3.50,8.68,-,-,3.02
16,Debt / FCF Ratio,-,-,-,-,-,-0.66,-,-,-,-,-,-,-,-2.26,-,-,-
17,Asset Turnover,-,0.37,0.47,0.38,0.36,0.35,0.40,0.30,0.30,0.42,-,-,-,-,-,-,
18,Inventory Turnover,-,-,1.59,1.99,1.71,1.78,1.52,2.11,1.67,1.85,2.19,-,-,-,-,-,-
19,Quick Ratio,-,-,1.56,1.37,2.19,2.05,2.08,2.51,4.42,5.52,6.67,0.59,-,0.65,-,-,-
20,Current Ratio,-,-,2.73,2.48,3.85,3.55,3.78,3.56,6.05,7.58,10.55,1.07,-,1.16,-,-,-
21,Return on Equity (ROE),1.00%,2.04%,2.63%,3.96%,-3.53%,3.15%,4.47%,3.67%,3.24%,4.93%,26.68%,12.67%,-,-,-,-,
22,Return on Assets (ROA),-,0.66%,1.12%,1.09%,-3.09%,1.65%,1.96%,1.11%,-1.47%,1.47%,-,-,-,-,-,-,
23,Return on Capital (ROIC),2.54%,0.74%,1.26%,1.22%,-3.49%,1.84%,2.15%,1.23%,-1.62%,1.68%,9.61%,5.60%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-0.08%,0.41%,0.80%,-,1.59%,1.20%,1.64%,-,2.66%,11.55%,-,6.66%,-,-,-
25,Earnings Yield,1.69%,1.95%,0.99%,1.24%,1.43%,1.02%,1.78%,1.43%,1.41%,1.07%,1.24%,-,-,-,-,-,-
26,FCF Yield,-,-7.68%,-7.41%,-6.61%,-5.72%,-10.38%,-9.91%,-8.78%,-8.03%,-4.72%,-,-,-,-,-,-,
27,Dividend Yield,1.03%,-,1.98%,-,-,0.56%,-,-,-,1.04%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,311.75%,4.95%,-,400.86%,7.90%,3.41%,0.14%,15.84%,16.11%,24.80%,8.80%,27.04%,29.12%,29.12%
29,Buyback Yield / Dilution,1.94%,-4.59%,5.63%,12.85%,-7.15%,-7.26%,-6.75%,-40.65%,-32.37%,-24.13%,-50.16%,3.09%,9.19%,-,-,-,-
30,Total Shareholder Return,2.97%,-4.59%,7.61%,12.85%,-7.15%,-6.70%,-6.75%,-40.65%,-32.37%,-23.09%,-50.16%,3.09%,9.19%,-,-,-,-
