,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,335.23,364.14,365.78,316.54,205.95,358.11,299.9,242.48,172.44,258.35,263.96,194.62,194.04,197.4,154.26,154.26
1,Other Revenue,-,-33.97,33.97,-,101.23,-49.43,49.43,-,62.23,-23.11,23.11,-,25.81,-9.75,4.88,4.88
2,Revenue,335.23,330.17,399.75,316.54,307.18,308.68,349.32,242.48,234.66,235.24,287.07,194.62,219.85,187.64,159.14,159.14
3,Revenue Growth (YoY),9.13%,6.96%,14.44%,30.54%,30.90%,31.22%,21.69%,24.59%,6.74%,25.36%,80.39%,22.30%,-,-,-,-
4,Cost of Revenue,-884.77,284.72,330.02,270.03,297.48,249.73,298.58,206.1,201.88,197.63,225.4,155.44,175,147.87,129.64,129.64
5,Gross Profit,1220,45.45,69.73,46.51,9.69,58.95,50.75,36.38,32.79,37.61,61.67,39.19,44.85,39.77,29.5,29.5
6,"Selling, General & Admin",-84.75,30.89,29,24.86,34.67,17.78,15.39,12.92,18.33,12.76,11.14,8.18,11.69,12.08,10.17,10.17
7,Research & Development,-42.67,10.61,16.08,15.97,24.72,18.35,15.82,13.73,23.63,14.85,13.28,9.25,14.18,10.7,13.9,13.9
8,Other Operating Expenses,1324,-7.36,1.79,-9.25,-5.84,-2.74,-10.15,-6.93,17.78,-6.96,-6.48,-1.4,15.54,-0.94,-6.45,-6.45
9,Operating Expenses,1187,36.09,54.3,31.82,51.57,35.48,23.22,21.91,51.13,24.31,22.21,19.71,40.99,22.29,18.93,18.93
10,Operating Income,32.62,9.36,15.43,14.69,-41.88,23.48,27.53,14.47,-18.35,13.3,39.46,19.47,3.86,17.48,10.57,10.57
11,Interest Expense,-20.91,-,-3.65,-,-1.51,-4.55,-2.79,-1,-0.09,-2.59,-5.75,-4.1,-3.7,-3.17,-2.6,-2.6
12,Interest & Investment Income,2.12,9.28,6.95,6.21,8.61,10.24,9.34,14.73,4.64,6.99,0.17,0.04,0.1,0.08,0.04,0.04
13,Currency Exchange Gain (Loss),-,-1.49,1.49,-,0.95,-0.59,0.59,-,0.11,0.02,-0.02,-,-0.23,0.41,-0.21,-0.21
14,Other Non Operating Income (Expenses),-1.01,-5.25,0.74,4.33,-0.9,0.7,0.11,1.61,-8.54,1,5.41,1.74,-0.07,-0.21,1.33,1.33
15,EBT Excluding Unusual Items,12.83,11.9,20.96,25.23,-34.73,29.27,34.77,29.8,-22.23,18.71,39.26,17.16,-0.04,14.6,9.13,9.13
16,Gain (Loss) on Sale of Investments,-,-,-0.4,0.4,-0.05,-0.72,0.49,0.28,-18.29,3.47,-,-,0.02,-,-0.25,-0.25
17,Gain (Loss) on Sale of Assets,-5.78,5.95,-0.04,-0.13,0.03,0.01,-0.01,-,0.06,0.05,-,0.14,0.3,0.38,-0.19,-0.19
18,Asset Writedown,-0.09,0.09,-4.37,4.37,6.4,-6.46,1.86,-1.86,0.76,-1.47,1.38,-1.38,1.53,-2.45,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,8.47,-,-,-
20,Other Unusual Items,-,-3.01,3.01,-,-3.28,2.12,-2.12,-,32.18,1.08,-1.08,-,34.82,-0.2,0.1,0.1
21,Pretax Income,6.96,14.93,19.17,29.86,-31.63,24.22,35,28.22,-7.51,21.84,39.56,15.92,45.09,12.32,8.79,8.79
22,Income Tax Expense,0.1,1.05,0.97,2.16,-7.02,1.93,3.23,2.41,-30.09,1.28,4.22,-0.03,3.96,0.81,0.01,0.01
23,Earnings From Continuing Operations,6.86,13.88,18.2,27.71,-24.61,22.3,31.77,25.81,22.57,20.57,35.35,15.95,41.13,11.51,8.78,8.78
24,Minority Interest in Earnings,-,-,0.05,-0.05,0.11,-0,-0,-0,-,-,-,-,-,-,-,-
25,Net Income,6.86,13.88,18.26,27.65,-24.5,22.3,31.77,25.81,22.57,20.57,35.35,15.95,41.13,11.51,8.78,8.78
26,Net Income to Common,6.86,13.88,18.26,27.65,-24.5,22.3,31.77,25.81,22.57,20.57,35.35,15.95,41.13,11.51,8.78,8.78
27,Net Income Growth,-,-37.76%,-42.53%,7.15%,-,8.42%,-10.12%,61.78%,-45.11%,78.68%,302.40%,81.61%,-,-,-,-
28,Shares Outstanding (Basic),270,234,232,251,258,248,266,235,241,232,189,177,194,155,195,195
29,Shares Outstanding (Diluted),270,234,232,251,258,248,266,235,241,232,189,177,194,155,195,195
30,Shares Change (YoY),4.59%,-5.63%,-12.85%,7.15%,7.26%,6.75%,40.65%,32.37%,24.13%,50.16%,-3.09%,-9.19%,-,-,-,-
31,EPS (Basic),0.03,0.06,0.08,0.11,-0.09,0.09,0.12,0.11,0.09,0.09,0.19,0.09,0.21,0.07,0.04,0.04
32,EPS (Diluted),0.03,0.06,0.08,0.11,-0.09,0.09,0.12,0.11,0.09,0.09,0.19,0.09,0.21,0.07,0.04,0.04
33,EPS Growth,-,-34.05%,-34.06%,0%,-,1.56%,-36.09%,22.22%,-55.78%,19.00%,315.22%,100.00%,-,-,-,-
34,Free Cash Flow,-,-86.76,-145.8,-71.95,30.68,-73.63,-150.3,-117.31,-256.94,-173.66,-102.31,-175.29,22.29,-93.59,-45.18,-45.18
35,Free Cash Flow Per Share,-,-0.37,-0.63,-0.29,0.12,-0.30,-0.56,-0.50,-1.07,-0.75,-0.54,-0.99,0.11,-0.60,-0.23,-0.23
36,Dividend Per Share,-,0.170,-,-,0.120,-,-,-,0.360,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-66.67%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,363.93%,13.76%,17.44%,14.69%,3.15%,19.10%,14.53%,15.00%,13.97%,15.99%,21.48%,20.14%,20.40%,21.19%,18.54%,18.54%
39,Operating Margin,9.73%,2.83%,3.86%,4.64%,-13.63%,7.61%,7.88%,5.97%,-7.82%,5.65%,13.75%,10.01%,1.76%,9.32%,6.64%,6.64%
40,Profit Margin,2.05%,4.20%,4.57%,8.74%,-7.98%,7.22%,9.09%,10.64%,9.62%,8.74%,12.31%,8.20%,18.71%,6.13%,5.52%,5.52%
41,Free Cash Flow Margin,-,-26.28%,-36.47%,-22.73%,9.99%,-23.85%,-43.03%,-48.38%,-109.49%,-73.82%,-35.64%,-90.07%,10.14%,-49.88%,-28.39%,-28.39%
42,EBITDA,43.2,19.94,27.26,25.27,-31.3,32.43,37.18,23.43,-9.39,19.96,47.99,26.14,10.53,23.41,16.5,16.5
43,EBITDA Margin,12.89%,6.04%,6.82%,7.98%,-10.19%,10.51%,10.64%,9.66%,-4.00%,8.49%,16.72%,13.43%,4.79%,12.48%,10.37%,10.37%
44,D&A For EBITDA,10.58,10.58,11.83,10.58,10.58,8.96,9.65,8.96,8.96,6.67,8.53,6.67,6.67,5.93,5.93,5.93
45,EBIT,32.62,9.36,15.43,14.69,-41.88,23.48,27.53,14.47,-18.35,13.3,39.46,19.47,3.86,17.48,10.57,10.57
46,EBIT Margin,9.73%,2.83%,3.86%,4.64%,-13.63%,7.61%,7.88%,5.97%,-7.82%,5.65%,13.75%,10.01%,1.76%,9.32%,6.64%,6.64%
47,Effective Tax Rate,1.42%,7.04%,5.05%,7.22%,-,7.95%,9.22%,8.54%,-,5.85%,10.66%,-,8.78%,6.61%,0.08%,0.08%
48,Revenue as Reported,-,330.17,399.75,316.54,307.18,308.68,349.32,242.48,234.66,235.24,287.07,194.62,219.85,187.64,159.14,159.14
