,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,134540,131878,175210,106533,101107,73088,53032,56629,72821,72635,68112,42628,8703,11912,14836,38819,40085,66817,82865,104660,Upgrade
1,Short-Term Investments,297185,284440,221282,217171,239824,223500,190382,162667,143168,121959,110550,105539,148926,144066,198366,195354,194488,193776,217026,191866,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5260,Upgrade
3,Cash & Short-Term Investments,431725,416319,396492,323704,340931,296588,243414,219295,215989,194594,178661,148168,157629,155978,213202,234173,234573,260593,299891,301785,Upgrade
4,Cash Growth,26.63%,40.37%,62.89%,47.61%,57.85%,52.41%,36.24%,48.00%,37.02%,24.76%,-16.20%,-36.73%,-32.80%,-40.14%,-28.91%,-22.40%,-25.14%,-4.33%,80.34%,88.90%,Upgrade
5,Accounts Receivable,30491,38190,35103,20841,25873,29396,40625,25189,22857,32889,28810,26674,22495,17026,14575,12339,17109,12903,18800,17001,Upgrade
6,Other Receivables,11886,12820,14484,17755,17376,15966,15320,11798,11872,12668,5317,5199,10139,9865,7388,6064,14574,13842,27784,12478,Upgrade
7,Receivables,43877,73510,54587,116596,43250,45362,55946,36987,34729,45558,34127,35872,32634,29891,21963,20404,38183,26745,50584,33479,Upgrade
8,Inventory,86555,77556,85191,82109,100595,84827,79379,55228,53585,45094,30872,26239,28266,35373,36307,44731,48200,58304,62770,87170,Upgrade
9,Prepaid Expenses,5608,4528,6749,8245,5778,5084,5994,6143,4382,4424,2897,1720,962.64,1921,3572,4741,6034,3252,3490,5743,Upgrade
10,Other Current Assets,38053,47472,36443,34226,29738,41395,45984,41786,41315,45109,52394,55697,62061,51648,48818,34926,36301,32378,16297,16674,Upgrade
11,Total Current Assets,605818,619386,579462,564880,520293,473255,430717,359440,350001,334779,298952,267697,281552,274811,323861,338974,363291,381271,433032,444851,Upgrade
12,"Property, Plant & Equipment",113454,105389,106427,107817,111225,101496,104125,95327,94779,96329,98602,99655,103015,110606,118311,116834,121984,126261,133347,142251,Upgrade
13,Long-Term Investments,63962,62727,62553,63509,68811,72074,61078,61415,61576,62435,61539,63185,57242,60225,69558,75060,78978,81744,86373,86628,Upgrade
14,Goodwill,17654,19851,22047,24244,26441,28638,30834,33031,35228,37424,22358,24123,25888,27654,29419,31184,32949,34714,36479,38244,Upgrade
15,Other Intangible Assets,24101,8491,8504,8535,8490,8504,8581,18724,18828,18643,18422,18528,18569,8642,8786,8893,8816,9001,8923,9120,Upgrade
16,Other Long-Term Assets,28292,24620,26970,26608,25985,22713,23483,19878,18455,16413,15343,16163,16267,15128,17088,17274,18954,20300,21513,21079,Upgrade
17,Total Assets,853280,840463,805963,795592,761244,706680,658818,587815,578866,566023,515217,489351,502534,497066,567021,588218,624971,653291,719667,742174,Upgrade
18,Accounts Payable,69627,49068,52415,33688,55883,40647,51320,32450,37233,44567,25459,21268,22430,13418,12156,14627,19452,19342,16217,41441,Upgrade
19,Accrued Expenses,82779,76779,65779,51670,70983,60877,51398,33375,39221,37434,24803,13528,16178,12091,26564,16316,14541,22516,10160,18540,Upgrade
20,Short-Term Debt,42603,39208,41792,27570,22334,9805,11149,5904,28883,34982,38864,45571,44109,35404,48370,40748,43428,36223,37204,7480,Upgrade
21,Current Portion of Long-Term Debt,3682,3582,3932,3091,1800,993.2,993.2,1773,1773,1773,993.2,993.2,993.2,316.8,316.8,288.8,288.8,90.8,-,-,Upgrade
22,Current Income Taxes Payable,22425,16482,17632,13129,13947,11774,9521,3715,2090,2591,-,32.77,103.91,-,-,-,1100,5701,8257,8314,Upgrade
23,Other Current Liabilities,13335,4300,8498,48797,6377,21778,4809,13488,6315,5015,6863,6063,3520,4388,4815,6601,4815,6146,8075,12046,Upgrade
24,Total Current Liabilities,234450,189419,190048,177946,171324,145874,129190,90705,115515,126361,96983,87456,87335,65618,92222,78581,83625,90019,79913,87821,Upgrade
25,Long-Term Debt,555.75,1476,2397,2391,2200,1002,1250,7134,7577,8020,9243,9492,2740,1081,1033,1012,1085,362.83,-,-,Upgrade
26,Other Long-Term Liabilities,-,-,-,-,-,-,-,300,300,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Total Liabilities,235006,190895,192445,180337,173524,146876,130440,98139,123392,134381,106226,96948,90075,66699,93255,79593,84709,90382,79913,87821,Upgrade
28,Common Stock,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,Upgrade
29,Retained Earnings,76317,107381,68617,90148,55366,30471,1276,-29708,-55374,-71869,-84355,-98121,-76994,-61548,-21815,10291,40335,61280,134504,147920,Upgrade
30,Total Common Equity,526317,557381,518617,540148,505366,480471,451276,420292,394626,378131,365645,351879,373006,388452,428185,460291,490335,511280,584504,597920,Upgrade
31,Minority Interest,91958,92187,94901,75107,82354,79332,77103,69384,60848,53510,43346,40524,39452,41915,45582,48334,49927,51629,55250,56433,Upgrade
32,Shareholders' Equity,618275,649568,613518,615255,587721,559804,528378,489676,455474,431641,408990,392404,412458,430367,473767,508625,540262,562909,639754,654353,Upgrade
33,Total Liabilities & Equity,853280,840463,805963,795592,761244,706680,658818,587815,578866,566023,515217,489351,502534,497066,567021,588218,624971,653291,719667,742174,Upgrade
34,Total Debt,46841,44266,48121,33052,26334,11800,13392,14811,38233,44775,49101,56056,47843,36802,49719,42049,44802,36677,37204,7480,Upgrade
35,Net Cash (Debt),384885,372053,348371,290652,314597,284788,230022,204485,177756,149819,129561,92112,109786,119176,163482,192124,189772,223916,262688,294306,Upgrade
36,Net Cash Growth,22.34%,30.64%,51.45%,42.14%,76.98%,90.09%,77.54%,122.00%,61.91%,25.71%,-20.75%,-52.06%,-42.15%,-46.78%,-37.77%,-34.72%,-38.77%,-17.79%,65.23%,88.93%,Upgrade
37,Net Cash Per Share,8552.99,8267.85,7741.58,6458.92,6991.05,6328.62,5111.60,4544.10,3950.13,3329.31,2879.12,2046.93,2439.69,2648.36,3632.94,4269.42,4217.15,4975.91,5837.51,6540.12,Upgrade
38,Filing Date Shares Outstanding,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,Upgrade
