,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,2578500,2452500,2565000,2812500,2569500,2272500,2605500,2664000,2497500,2565000,2565000,2605500,2709000,2376000,2542500,2295000,2767500,2583000,2277000,2218500,1845000,Upgrade
1,Market Cap Growth,7.92%,7.92%,-1.55%,5.57%,2.88%,-11.40%,1.58%,2.25%,-7.81%,7.95%,0.88%,13.53%,-2.11%,-8.01%,11.66%,3.45%,50.00%,-32.47%,-23.80%,-22.97%,-27.51%,Upgrade
2,Enterprise Value,2285574,2172633,2311529,2596956,2337257,2067044,2452581,2528899,2380592,2468691,2478785,2553912,2638666,2298739,2424599,2151210,2627655,2410713,2069562,1980627,1589335,Upgrade
3,Last Close Price,57300.00,54500.00,55442.62,60792.35,54452.65,48158.65,55215.56,56455.29,52926.83,54357.29,54357.29,55215.56,57408.92,50352.01,53880.47,48635.47,58648.65,54738.74,48254.01,45920.93,38189.82,Upgrade
4,PE Ratio,18.02,16.66,19.50,23.27,21.72,21.01,25.99,31.63,36.53,115.09,-250.45,-41.95,-,-,-,-,-,-,-,-,12.12,Upgrade
5,Forward PE,13.03,12.60,13.78,12.59,13.47,13.90,15.31,14.41,15.43,21.55,30.02,65.31,72.88,-,-,-,42.62,27.05,23.71,29.79,14.76,Upgrade
6,PS Ratio,1.94,1.84,2.02,2.30,2.18,2.07,2.54,2.88,3.13,4.25,6.18,10.53,16.58,15.42,13.47,10.16,12.50,7.19,3.84,2.65,1.70,Upgrade
7,PB Ratio,4.90,3.97,3.95,4.58,4.18,3.87,4.65,5.04,5.10,5.63,5.94,6.37,6.90,5.76,5.91,4.84,5.44,4.78,4.05,3.47,2.82,Upgrade
8,P/TBV Ratio,5.06,5.06,4.85,5.76,5.06,4.83,5.88,6.47,6.78,7.53,7.96,8.02,8.76,7.23,7.22,5.88,6.59,5.76,4.87,4.12,3.35,Upgrade
9,P/FCF Ratio,11.92,11.34,14.47,16.28,16.26,16.62,19.54,23.82,22.33,34.86,112.90,-65.31,-,-,-,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,9.40,9.40,11.91,13.46,13.10,12.75,15.41,18.42,17.33,26.29,63.56,-98.51,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/Sales Ratio,1.72,1.63,1.82,2.12,1.99,1.88,2.39,2.73,2.98,4.09,5.97,10.32,16.15,14.92,12.84,9.52,11.87,6.71,3.49,2.36,1.46,Upgrade
12,EV/EBITDA Ratio,8.26,7.77,9.11,11.19,10.72,10.69,14.31,17.10,18.40,34.41,63.00,-193.56,-,-33.08,-,-,-,-,-,-,7.30,Upgrade
13,EV/EBIT Ratio,9.43,8.85,10.56,13.22,12.83,13.12,18.12,22.72,25.73,71.97,1243.01,-50.55,-,-,-,-,-,-,-,-,8.98,Upgrade
14,EV/FCF Ratio,10.57,10.05,13.04,15.03,14.79,15.12,18.39,22.61,21.29,33.55,109.11,-64.01,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.08,0.08,0.07,0.08,0.05,0.04,0.02,0.03,0.03,0.08,0.10,0.12,0.14,0.12,0.09,0.10,0.08,0.08,0.07,0.06,0.01,Upgrade
16,Debt / EBITDA Ratio,0.17,0.14,0.16,0.21,0.12,0.12,0.06,0.08,0.08,0.27,0.46,0.47,-,4.65,-,-,-,-,-,-,0.13,Upgrade
17,Debt / FCF Ratio,0.22,0.22,0.25,0.28,0.21,0.19,0.09,0.12,0.13,0.52,1.97,-1.23,-,-,-,-,-,-,-,-,-,Upgrade
18,Asset Turnover,1.66,1.60,1.55,1.74,1.58,1.67,1.68,1.80,1.51,1.37,1.07,0.55,0.22,0.13,0.35,0.38,0.39,0.32,0.25,0.97,Upgrade,
19,Inventory Turnover,5.52,6.57,6.27,5.80,5.83,5.14,5.72,6.50,8.42,7.95,9.15,8.79,5.36,1.12,2.31,3.86,3.65,2.97,2.64,1.40,4.37,Upgrade
20,Quick Ratio,2.02,2.02,2.47,2.35,2.04,2.24,2.34,2.32,2.83,2.17,1.90,2.19,2.06,2.18,2.79,2.55,3.21,3.18,3.19,4.34,3.77,Upgrade
21,Current Ratio,2.58,2.58,3.27,3.05,3.17,3.04,3.24,3.33,3.96,3.03,2.65,3.08,3.06,3.22,4.19,3.51,4.31,4.34,4.24,5.42,5.07,Upgrade
22,Return on Equity (ROE),37.63%,31.44%,27.99%,33.32%,27.90%,27.42%,30.60%,29.06%,22.85%,14.80%,16.57%,-23.55%,-17.15%,-38.51%,-28.57%,-24.28%,-16.57%,-20.09%,-9.01%,9.91%,Upgrade,
23,Return on Assets (ROA),21.97%,18.62%,15.57%,19.27%,16.26%,14.24%,14.24%,15.20%,11.15%,6.85%,8.32%,-11.47%,-3.39%,-17.72%,-13.83%,-12.73%,-8.19%,-11.89%,-5.47%,1.27%,Upgrade,
24,Return on Capital (ROIC),27.38%,22.61%,19.04%,23.76%,20.14%,17.46%,16.97%,17.76%,13.16%,7.92%,9.22%,-12.52%,-3.65%,-19.03%,-14.87%,-13.60%,-8.84%,-12.78%,-5.98%,1.56%,Upgrade,
25,Return on Capital Employed (ROCE),39.68%,39.68%,33.63%,31.90%,29.49%,26.72%,24.14%,21.02%,18.61%,7.40%,0.45%,-12.08%,-,-,-,-,-,-,-,-,27.06%,Upgrade
26,Earnings Yield,5.55%,6.06%,5.29%,4.48%,4.85%,5.09%,4.00%,3.29%,2.81%,0.90%,-0.40%,-2.42%,-4.03%,-4.97%,-4.86%,-4.88%,-3.37%,-1.90%,0.39%,3.98%,8.49%,Upgrade
27,FCF Yield,8.39%,8.82%,6.91%,6.14%,6.15%,6.02%,5.12%,4.20%,4.48%,2.87%,0.89%,-1.53%,-3.80%,-4.18%,-4.59%,-3.69%,-2.77%,-3.71%,-1.03%,2.03%,7.19%,Upgrade
28,Dividend Yield,2.60%,-,4.87%,-,-,2.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Payout Ratio,120.48%,200.91%,34.55%,248.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,665.29%,Upgrade
30,Total Shareholder Return,2.60%,-,4.87%,-,-,2.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
