,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,233,291,316,254,242,251,267,248,214,322,372
1,Market Cap Growth,14.63%,14.63%,30.77%,1.23%,-9.30%,1.25%,24.64%,-23.08%,-42.50%,4.00%,62.16%
2,Enterprise Value,155,227,280,273,361,410,471,415,370,450,425
3,Last Close Price,0.38,0.47,0.49,0.40,0.36,0.37,0.38,0.35,0.29,0.44,0.49
4,PE Ratio,-,-,13.48,3.26,2.28,2.38,2.77,2.31,2.90,4.82,2.92
5,PS Ratio,0.44,0.56,0.45,0.26,0.21,0.21,0.24,0.26,0.27,0.37,0.30
6,PB Ratio,0.31,0.38,0.40,0.33,0.31,0.33,0.35,0.37,0.34,0.62,0.69
7,P/TBV Ratio,0.38,0.38,0.40,0.33,0.31,0.33,0.35,0.37,0.34,0.62,0.69
8,P/FCF Ratio,4.30,5.39,3.47,1.60,1.67,2.89,8.39,-,-,-,-
9,P/OCF Ratio,5.20,5.20,3.28,1.52,1.61,2.19,2.83,2.69,2.54,4.67,1.64
10,EV/Sales Ratio,0.30,0.43,0.40,0.28,0.32,0.34,0.42,0.43,0.47,0.51,0.34
11,EV/EBITDA Ratio,5.20,8.16,4.25,2.07,2.17,2.39,2.92,2.51,2.96,3.79,2.18
12,EV/EBIT Ratio,-,-,-,3.05,2.91,3.13,3.93,3.33,4.20,5.21,2.55
13,EV/FCF Ratio,2.87,4.20,3.08,1.72,2.49,4.73,14.81,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.09,0.16,0.19,0.28,0.36,0.40,0.45,0.54,0.40
15,Debt / FCF Ratio,1.37,1.37,0.76,0.79,1.02,2.45,8.61,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,11.36%,15.22%,16.66%,14.96%,17.04%,12.44%,14.70%,27.74%
17,Earnings Yield,-2.21%,-1.76%,7.42%,30.69%,43.82%,42.08%,36.11%,43.29%,34.46%,20.73%,34.19%
18,FCF Yield,23.25%,18.55%,28.79%,62.45%,59.90%,34.54%,11.92%,-5.85%,-6.98%,-11.80%,30.47%
19,Dividend Yield,4.00%,-,-,-,-,-,-,-,-,-,6.16%
20,Buyback Yield / Dilution,0.92%,1.28%,-0.14%,-0.73%,0.50%,0.12%,-0.95%,-0.67%,-0.11%,-0.02%,0.15%
21,Total Shareholder Return,4.92%,1.28%,-0.14%,-0.73%,0.50%,0.12%,-0.95%,-0.67%,-0.11%,-0.02%,6.31%
