,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,150.61,132.59,160.91,128.37,93.38,114.67,63.9,116.97,124.72,85.57
1,Short-Term Investments,0.72,0.44,0.41,3.02,0.11,0.21,0.07,0.15,0.35,0.18
2,Cash & Short-Term Investments,151.32,133.03,161.32,131.39,93.49,114.88,63.97,117.11,125.07,85.75
3,Cash Growth,-6.20%,1.26%,72.56%,14.37%,46.16%,-1.91%,-48.86%,36.58%,2.15%,39.27%
4,Accounts Receivable,103.25,102.76,123.51,212.13,191.6,214.61,170.66,150.26,95.29,123.43
5,Other Receivables,6.26,7.45,12.35,15.72,19.05,27.74,36.93,28.9,0.03,19.63
6,Receivables,109.5,110.21,135.86,227.85,210.65,242.35,207.59,179.16,95.32,143.06
7,Inventory,71.44,78.21,112.68,128.54,126.39,171.88,116.7,99.19,77.86,83.88
8,Prepaid Expenses,2.69,2.78,5.81,5.71,9.32,8.89,11.41,11.99,45.58,9.95
9,Restricted Cash,-,-,-,7.15,7.47,7.78,-,-,-,-
10,Other Current Assets,0.1,2.89,0.01,2.95,-,3.35,-,-,0.12,-
11,Total Current Assets,335.06,327.13,415.68,503.59,447.32,549.13,399.66,407.44,343.94,322.64
12,"Property, Plant & Equipment",590.91,612.49,625,665,710.97,764.84,759.73,720.74,634.9,621.03
13,Long-Term Accounts Receivable,-,-,-,-,0.4,1.62,2.83,4.04,-,-
14,Long-Term Deferred Tax Assets,2.31,1.83,3.89,4,1.14,0.92,1.88,1.26,1.45,1.24
15,Other Long-Term Assets,26.52,32.94,32.85,32.03,31.45,30.53,30.33,29.82,29.26,28.63
16,Total Assets,954.8,974.38,1077,1205,1191,1347,1194,1163,1010,973.53
17,Accounts Payable,64.19,55.51,103.41,159.7,138.3,200.68,165.29,130.06,94.07,118.32
18,Accrued Expenses,29.56,39.54,39.92,74.59,50.34,77.67,50.26,64.64,56.86,81.94
19,Short-Term Debt,-,61.72,-,109.48,-,198.6,-,174.35,-,-
20,Current Portion of Long-Term Debt,61.9,1.13,113.17,21.03,188.35,37.57,221.55,43.52,192.29,140.76
21,Current Portion of Leases,2.55,2.39,2.62,2.03,5.36,10.64,14.18,16.89,30.65,18.63
22,Current Income Taxes Payable,0.01,2.24,3.2,4.86,9.57,9.94,3.57,17.99,4.76,2.6
23,Current Unearned Revenue,12.31,11.16,25.25,19.56,12.44,11.34,8.94,8.67,34.44,10.83
24,Other Current Liabilities,-,-,-,-,-,-,-,-,9.3,-
25,Total Current Liabilities,170.51,173.69,287.56,391.23,404.36,546.44,463.79,456.11,422.37,373.07
26,Long-Term Debt,2.12,2.19,7.33,13.56,17.45,26.59,27.96,38.73,8.03,26.8
27,Long-Term Leases,7.52,1.43,2.35,1.69,1.07,0.34,4.58,10.53,49.72,27.41
28,Long-Term Unearned Revenue,7.79,8.59,9.1,10.02,11.23,12.28,12.64,9.22,-,0.51
29,Long-Term Deferred Tax Liabilities,5.32,5.72,6.21,6.39,3.1,6.6,9.86,10.46,6.08,8.52
30,Total Liabilities,193.26,191.62,312.54,422.89,437.2,592.25,518.82,525.06,486.19,436.3
31,Common Stock,62,62,62,62,62,62,62,62,62,62
32,Additional Paid-In Capital,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2
33,Retained Earnings,618.62,635.82,632.78,624.53,567.16,530.92,473.82,443.91,375.75,379.5
34,Comprehensive Income & Other,46.72,50.74,35.9,60.99,90.71,127.67,105.59,98.12,51.41,61.53
35,Shareholders' Equity,761.54,782.76,764.89,781.73,754.07,754.79,675.62,638.23,523.36,537.23
36,Total Liabilities & Equity,954.8,974.38,1077,1205,1191,1347,1194,1163,1010,973.53
37,Total Debt,74.08,68.85,125.46,147.78,212.23,273.74,268.26,284.02,280.68,213.59
38,Net Cash (Debt),77.24,64.18,35.86,-16.4,-118.74,-158.86,-204.29,-166.91,-155.62,-127.84
39,Net Cash Growth,115.40%,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.12,0.10,0.06,-0.03,-0.19,-0.25,-0.33,-0.27,-0.25,-0.21
41,Filing Date Shares Outstanding,620,620,620,620,620,620,620,620,620,620
42,Total Common Shares Outstanding,620,620,620,620,620,620,620,620,620,620
43,Working Capital,164.55,153.44,128.13,112.36,42.96,2.69,-64.12,-48.67,-78.43,-50.44
44,Book Value Per Share,1.23,1.26,1.23,1.26,1.22,1.22,1.09,1.03,0.84,0.87
45,Tangible Book Value,761.54,782.76,764.89,781.73,754.07,754.79,675.62,638.23,523.36,537.23
46,Tangible Book Value Per Share,1.23,1.26,1.23,1.26,1.22,1.22,1.09,1.03,0.84,0.87
47,Buildings,371.9,374.76,368.65,381.39,398.32,267.07,262.18,258.99,239.49,244.6
48,Machinery,481.95,484.82,476.67,487.05,437.24,448.8,424.44,420.4,322.95,344.11
49,Construction In Progress,-,-,-,-,-,159.65,151.81,95.71,56.34,48.21
50,Leasehold Improvements,125.1,126.04,124.03,128.23,131.54,127.73,125.26,123.73,106.58,99
