,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Premiums & Annuity Revenue,359731,385040,363516,440770,239977,321506,342886,430167,296235,329546,324405,330445,360882,335854,351676,336136,349021,246093,394236,350490,Upgrade
1,Total Interest & Dividend Income,92543,90493,97593,127673,72311,96402,84069,181005,34789,42906,102979,52255,-39194,132356,87627,110154,-17645,141385,59588,69470,Upgrade
2,Gain (Loss) on Sale of Investments,-,-,-,-,20617,-,-,-,91425,-,-,-,88012,-,-,-,107131,-,-,-,Upgrade
3,Other Revenue,92935,79798,85628,95995,57241,88400,81880,67996,48318,57869,66976,60514,50966,55165,62122,53061,59155,51179,65844,62381,Upgrade
4,Total Revenue,545210,555331,546738,664438,390146,506307,508835,679168,470767,430321,494361,443214,460666,523374,501425,499350,497662,438658,519668,482341,Upgrade
5,Revenue Growth (YoY),39.74%,9.68%,7.45%,-2.17%,-17.13%,17.66%,2.93%,53.24%,2.19%,-17.78%,-1.41%,-11.24%,-7.43%,19.31%,-3.51%,3.53%,81.21%,-1.49%,7.55%,44.53%,Upgrade
6,Policy Benefits,89088,425929,121497,157291,125700,140927,140443,122563,83032,101571,91351,81432,123194,115479,109533,55179,139888,105241,107149,93406,Upgrade
7,Policy Acquisition & Underwriting Costs,225952,205120,196727,258397,155709,189869,211201,264781,219147,208266,233295,232282,264414,245672,266873,272277,248438,160133,332792,261483,Upgrade
8,"Selling, General & Administrative",35209,-877.73,40916,42216,32136,14681,32903,47080,41169,24329,27230,23763,19541,23424,24205,22350,18230,27456,8586,30386,Upgrade
9,Other Operating Expenses,7242,-6160,17445,38632,11977,110687,10327,5627,2483,9172,6529,8516,4687,3111,7910,7778,11329,6820,4327,14154,Upgrade
10,Total Operating Expenses,357491,624011,376585,496537,325522,456163,394875,440052,345830,343338,358404,345994,411836,387686,408521,357583,417886,299650,452854,399428,Upgrade
11,Operating Income,187719,-68681,170153,167901,64624,50144,113960,239117,124937,86982,135957,97221,48830,135688,92905,141767,79776,139007,66814,82913,Upgrade
12,Interest Expense,-10910,-,-,-3089,-,-,-,-12294,-,-6677,-27619,-7712,-,-31015,-19713,-13926,-,-7741,-,-26407,Upgrade
13,Interest & Investment Income,-,-,3089,-,12966,-,12294,-,30152,-,-,-,51784,-,-,-,21611,-,-,-,Upgrade
14,Earnings From Equity Investments,4097,4823,11643,12582,8467,11504,8697,10496,9593,8390,9759,12042,3135,9877,8360,11010,8699,10924,7889,11325,Upgrade
15,Currency Exchange Gain (Loss),-,-,-,-,-15310,-,-,-,-4786,-,-,-,2493,-,-,-,-1328,-,-,-,Upgrade
16,Other Non Operating Income (Expenses),1273,-34.45,486.28,-9.2,-6187,1427,-14.63,-27.86,-5567,251.43,-2.95,9.02,-18088,198,-8.83,-8.89,-16241,-36.22,44645,-44656,Upgrade
17,Pretax Income,182178,-63892,185370,177385,64560,63075,134936,237291,154328,88946,118093,101559,88154,114749,81542,138842,92516,142154,119348,23175,Upgrade
18,Income Tax Expense,30910,-17935,28951,34191,12027,9904,26302,28191,27661,17349,21512,18021,16745,20272,13452,25762,16629,26157,21848,1487,Upgrade
19,Earnings From Continuing Ops.,151268,-45957,156419,143194,52534,53171,108634,209100,126668,71597,96581,83539,71409,94477,68090,113080,75886,115997,97500,21688,Upgrade
20,Minority Interest in Earnings,-486.13,-126.43,-63.1,1142,1060,-2487,-1239,651.38,-168.74,2089,-231.52,83.73,-215.27,8.59,-59.24,159.26,609.28,232.18,135.12,195.93,Upgrade
21,Net Income,150782,-46083,156356,144336,53594,50684,107395,209752,126499,73686,96350,83622,71194,94485,68031,113239,76496,116230,97635,21884,Upgrade
22,Preferred Dividends & Other Adjustments,-,-,-,-,12699,-,1257,9752,10706,-,-,-,10050,-,-,-,8979,-,5497,-,Upgrade
23,Net Income to Common,150782,-46083,156356,144336,40895,50684,106138,199999,115793,73686,96350,83622,61144,94485,68031,113239,67517,116230,92138,21884,Upgrade
24,Net Income Growth,181.34%,-,45.59%,-31.19%,-57.63%,-31.22%,11.46%,150.83%,77.68%,-22.01%,41.63%,-26.15%,-6.93%,-18.71%,-30.32%,417.46%,-10.29%,65.20%,71.97%,-71.09%,Upgrade
25,Shares Outstanding (Basic),182,183,196,188,183,187,184,176,166,188,188,187,184,185,198,187,202,176,173,192,Upgrade
26,Shares Outstanding (Diluted),182,183,196,188,183,187,184,176,166,188,188,187,184,185,198,187,202,176,173,192,Upgrade
27,Shares Change (YoY),-0.15%,-2.19%,6.33%,6.72%,9.82%,-0.33%,-2.14%,-6.03%,-9.60%,1.63%,-5.05%,0.24%,-9.04%,4.83%,14.47%,-2.53%,21.99%,-6.24%,-8.32%,2.52%,Upgrade
28,EPS (Basic),826.36,-251.82,799.09,768.18,223.80,270.91,576.79,1135.91,695.87,392.56,512.40,446.28,332.18,511.57,343.51,605.82,333.64,659.72,532.57,114.11,Upgrade
29,EPS (Diluted),826.36,-251.82,799.09,768.18,223.78,270.91,576.79,1135.91,695.72,392.56,512.40,446.28,332.17,511.57,343.51,605.82,333.64,659.72,532.57,114.11,Upgrade
30,EPS Growth,269.28%,-,38.54%,-32.37%,-67.84%,-30.99%,12.57%,154.53%,109.45%,-23.26%,49.16%,-26.33%,-0.44%,-22.46%,-35.50%,430.91%,-26.07%,76.20%,77.02%,-71.80%,Upgrade
31,Free Cash Flow,-,83664,139729,-70519,73053,144618,106901,-10241,6804,15648,35287,-26235,-21466,58275,-20531,-58624,18326,21132,23532,-61247,Upgrade
32,Free Cash Flow Per Share,-,457.17,714.12,-375.32,399.78,772.99,580.94,-58.16,40.89,83.37,187.66,-140.01,-116.62,315.52,-103.67,-313.63,90.56,119.95,136.02,-319.36,Upgrade
33,Dividend Per Share,-,-,-,-,909.091,-,-,-,826.446,-,-,-,1074.380,-,-,-,1077.973,-,-,-,Upgrade
34,Dividend Growth,-,-,-,-,10.00%,-,-,-,-23.08%,-,-,-,-0.33%,-,-,-,-25.00%,-,-,-,Upgrade
35,Operating Margin,34.43%,-12.37%,31.12%,25.27%,16.56%,9.90%,22.40%,35.21%,26.54%,20.21%,27.50%,21.94%,10.60%,25.93%,18.53%,28.39%,16.03%,31.69%,12.86%,17.19%,Upgrade
36,Profit Margin,27.66%,-8.30%,28.60%,21.72%,10.48%,10.01%,20.86%,29.45%,24.60%,17.12%,19.49%,18.87%,13.27%,18.05%,13.57%,22.68%,13.57%,26.50%,17.73%,4.54%,Upgrade
37,Free Cash Flow Margin,-,15.07%,25.56%,-10.61%,18.72%,28.56%,21.01%,-1.51%,1.45%,3.64%,7.14%,-5.92%,-4.66%,11.13%,-4.09%,-11.74%,3.68%,4.82%,4.53%,-12.70%,Upgrade
38,EBITDA,188659,-67740,171241,168841,65565,50491,114637,239464,125284,87265,136293,97910,49114,136113,93176,142191,80200,140093,66971,83104,Upgrade
39,EBITDA Margin,34.60%,-12.20%,31.32%,25.41%,16.81%,9.97%,22.53%,35.26%,26.61%,20.28%,27.57%,22.09%,10.66%,26.01%,18.58%,28.48%,16.12%,31.94%,12.89%,17.23%,Upgrade
