,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,52722,55623,56878,36162,38362,46568,59550,75643,87035,44885,22155,Upgrade
1,Market Cap Growth,53.82%,53.82%,48.27%,-22.35%,-35.58%,-38.44%,-31.58%,68.52%,292.85%,76.48%,4.21%,Upgrade
2,Enterprise Value,50088,54696,56353,35176,34526,41329,56371,74495,87380,45666,22258,Upgrade
3,Last Close Price,19.62,20.70,20.01,12.36,12.58,13.86,15.85,19.07,20.72,10.49,5.07,Upgrade
4,PE Ratio,6.65,6.96,12.74,8.71,4.50,3.07,4.11,8.34,15.60,16.46,12.39,Upgrade
5,Forward PE,7.28,9.20,11.02,7.11,5.28,4.07,4.62,9.32,12.16,18.91,12.51,Upgrade
6,PS Ratio,2.18,2.34,2.94,1.91,1.57,1.45,1.93,3.22,4.92,3.44,1.84,Upgrade
7,PB Ratio,2.78,2.96,3.44,2.40,2.57,2.76,3.41,6.40,7.52,4.84,2.77,Upgrade
8,P/TBV Ratio,2.98,2.98,3.47,2.42,2.59,2.78,3.44,6.47,7.59,4.90,2.80,Upgrade
9,P/FCF Ratio,-,-,16.22,12.75,6.37,3.94,4.76,8.46,17.44,18.42,11.09,Upgrade
10,P/OCF Ratio,-,-,10.43,6.89,3.98,2.98,3.98,7.27,12.89,11.55,7.57,Upgrade
11,PEG Ratio,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,Upgrade
12,EV/Sales Ratio,2.11,2.30,2.91,1.85,1.42,1.29,1.83,3.17,4.94,3.50,1.85,Upgrade
13,EV/EBITDA Ratio,5.74,6.41,10.95,7.73,4.21,2.80,3.82,7.69,13.61,14.12,10.88,Upgrade
14,EV/EBIT Ratio,6.30,7.06,13.04,9.32,4.63,2.93,3.99,8.21,15.60,16.94,12.57,Upgrade
15,EV/FCF Ratio,-,-,16.07,12.40,5.73,3.50,4.51,8.34,17.50,18.74,11.15,Upgrade
16,Debt / Equity Ratio,0.16,0.16,0.18,0.19,0.22,0.24,0.25,0.36,0.38,0.49,0.54,Upgrade
17,Debt / FCF Ratio,-,-,0.83,1.02,0.56,0.34,0.35,0.47,0.87,1.86,2.18,Upgrade
18,Return on Capital Employed (ROCE),37.61%,37.61%,23.71%,22.47%,42.96%,69.69%,66.87%,60.24%,37.14%,20.90%,15.52%,Upgrade
19,Earnings Yield,15.15%,14.36%,7.85%,11.48%,22.21%,32.56%,24.31%,11.99%,6.41%,6.07%,8.07%,Upgrade
20,FCF Yield,-,6.16%,7.84%,15.70%,25.36%,21.00%,11.81%,5.74%,5.43%,9.01%,Upgrade,
21,Dividend Yield,10.78%,10.21%,6.09%,8.88%,17.43%,28.70%,24.10%,12.68%,7.77%,7.82%,9.64%,Upgrade
22,Buyback Yield / Dilution,-0.04%,-0.08%,-0.00%,0.00%,0.00%,-0.00%,-0.00%,0.15%,-0.21%,-0.39%,-0.03%,Upgrade
23,Total Shareholder Return,10.74%,10.13%,6.09%,8.88%,17.43%,28.69%,24.10%,12.82%,7.56%,7.44%,9.62%,Upgrade
