,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5976,5351,5386,4725,30425,35555,45919,76357,52267,25356,19489
1,Market Cap Growth,13.24%,13.24%,-82.30%,-86.71%,-33.74%,-53.44%,-12.14%,201.14%,168.19%,-,-
2,Enterprise Value,4295,3724,7337,8638,35154,40176,48900,80115,60051,32439,30428
3,Last Close Price,1.72,1.54,1.55,1.31,8.44,9.83,12.09,20.11,13.63,6.76,4.76
4,PE Ratio,19.97,26.67,5.23,4.72,-,11.59,14.00,21.56,19.57,26.93,59.38
5,Forward PE,11.96,8.33,7.84,1.33,8.65,8.99,10.31,18.29,18.40,19.06,-
6,PS Ratio,0.47,0.43,0.48,1.05,-,1.25,1.14,2.00,1.61,0.99,0.83
7,PB Ratio,1.35,0.95,0.99,0.28,1.89,2.33,2.82,5.36,3.51,2.34,1.63
8,P/TBV Ratio,1.31,1.31,1.31,0.31,7.52,14.51,12.26,45.73,27.96,-,-
9,P/FCF Ratio,25.64,9.63,-,2.12,-,12.46,22.22,25.65,11.53,6.05,8.19
10,P/OCF Ratio,11.50,8.64,-,1.82,-,10.50,17.87,21.48,10.32,5.34,6.59
11,PEG Ratio,0.75,0.51,0.51,0.09,0.62,0.22,0.22,0.51,0.20,0.62,-
12,EV/Sales Ratio,0.34,0.30,0.66,1.92,-,1.42,1.22,2.10,1.85,1.27,1.30
13,EV/EBITDA Ratio,-,-,-,10.19,-,11.12,9.65,15.02,13.24,10.50,12.71
14,EV/EBIT Ratio,-,-,-,25.74,-,13.86,11.18,17.26,15.51,13.23,16.78
15,EV/FCF Ratio,18.43,6.70,-,3.88,-,14.08,23.66,26.92,13.25,7.74,12.78
16,Debt / Equity Ratio,0.02,0.02,0.01,0.18,0.46,0.55,0.49,0.54,0.53,0.89,0.74
17,Debt / FCF Ratio,0.49,0.21,-,1.33,-,2.92,3.88,2.57,1.74,2.31,3.72
18,Return on Capital Employed (ROCE),-,-,-,2.01%,-,12.55%,17.60%,20.68%,16.45%,11.50%,8.36%
19,Earnings Yield,3.36%,3.75%,19.10%,21.20%,-,8.63%,7.14%,4.64%,5.11%,3.71%,1.68%
20,FCF Yield,3.90%,10.39%,-,47.07%,-,8.03%,4.50%,3.90%,8.67%,16.52%,12.22%
21,Dividend Yield,0.00%,-,-,3.00%,-,-,-,-,-,-,-
22,Buyback Yield / Dilution,0.24%,-0.25%,-,-0.12%,-,-0.17%,-0.81%,-3.41%,-23.89%,-84.23%,-
23,Total Shareholder Return,0.24%,-0.25%,-,2.87%,-,-0.17%,-0.81%,-3.41%,-23.89%,-84.23%,-
