,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,32710462,36502247,35375804,29494612,30213992,27608235,23404499,22078364,19784508,18995995,20107081,25010252,33947077,32789790,26603277,23396895,17015660,16373033,13526991,12170220,10071939,Upgrade
1,Market Cap Growth,32.22%,32.22%,51.15%,33.59%,52.72%,45.34%,16.40%,-11.72%,-41.72%,-42.07%,-24.42%,6.90%,99.50%,100.27%,96.67%,92.25%,68.94%,11.80%,-2.56%,-7.33%,-23.26%,Upgrade
2,Enterprise Value,38492912,43065132,42608976,36697270,34893834,32328411,28470086,27084442,23996866,23701301,25095769,28858388,35100336,32774664,27377072,24254796,17055707,15402916,13101501,11574525,9686191,Upgrade
3,Last Close Price,32350.00,36100.00,35363.64,33545.45,34363.64,28545.45,26983.47,25454.55,22809.92,21900.83,23181.82,29226.15,39669.42,38317.05,31254.70,28211.87,20797.76,20012.29,16563.08,14783.99,11788.95,Upgrade
4,PE Ratio,40.44,46.74,80.39,51.10,56.23,41.48,32.50,25.55,21.10,18.52,15.47,19.77,28.28,29.32,24.43,20.63,15.20,15.27,12.43,11.90,11.49,Upgrade
5,Forward PE,37.14,29.54,30.88,30.84,30.49,25.22,21.97,21.05,25.72,11.79,12.38,16.88,23.18,23.61,20.27,18.51,13.33,13.26,11.33,10.80,7.63,Upgrade
6,PS Ratio,9.99,11.13,20.87,14.33,15.10,13.22,8.19,7.25,6.20,6.52,8.86,9.38,11.15,8.77,5.99,4.68,3.65,3.61,3.23,3.99,3.77,Upgrade
7,PB Ratio,1.90,1.88,1.87,1.86,1.94,1.78,1.53,1.64,1.68,1.61,1.72,2.20,3.05,3.21,2.71,2.70,2.03,2.01,1.74,1.61,1.29,Upgrade
8,P/TBV Ratio,2.10,2.10,2.10,2.15,2.24,2.05,1.77,1.81,1.68,1.64,1.76,2.33,3.24,3.22,2.72,2.71,2.04,2.01,1.75,1.61,1.30,Upgrade
