,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,3095619,3295279,2561593,2534613,3729625,2334298,2021685,1476257,2752827,2711194,1326896,1172191,1365377,2851757,1848868,1378937,1835748,2783923,1824416,1579638,Upgrade
1,Short-Term Investments,276870,20289,19469,9219,8524,3829,3815,2700,42898,42522,70000,69400,69400,-,-,9973,-,-,-,10291,Upgrade
2,Cash & Short-Term Investments,3372488,3315568,2581062,2543832,3738149,2338127,2025500,1478957,2795724,2753716,1396896,1241591,1434777,2851757,1848868,1388910,1835748,2783923,1824416,1589929,Upgrade
3,Cash Growth,-9.78%,41.80%,27.43%,72.00%,33.71%,-15.09%,45.00%,19.12%,94.85%,-3.44%,-24.45%,-10.61%,-21.84%,2.44%,1.34%,-12.64%,52.03%,153.77%,13.96%,18.01%,Upgrade
4,Accounts Receivable,166190,90380,66355,69696,72779,107316,187977,426719,405136,652645,917980,572402,670233,502907,568708,547668,753898,784696,1226148,1340942,Upgrade
5,Other Receivables,1208686,13697,15043,20280,23196,21234,171886,14722,16204,17004,17545,59155,14075,18529,17433,21309,20878,29348,18464,41573,Upgrade
6,Receivables,1374875,104078,81398,89975,95975,128550,359863,441441,421340,669649,935525,631556,684308,521436,586141,568977,774776,814043,1244612,1382514,Upgrade
7,Inventory,22179593,22725890,21577318,20568931,18888586,17206413,13029348,12713706,12497838,12795946,12147569,11508215,7770564,6854907,7351245,7433265,7348326,7081054,7894030,7541176,Upgrade
8,Prepaid Expenses,193593,508676,513888,490465,342217,140803,262711,13028,6675,10369,5832,4277,15254,24899,137774,216489,265102,307581,329099,308511,Upgrade
