,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Feb '25 Feb 18, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,395,1482,1696,1975,2041,2798,3753,5218,4708,5202,5202
1,Market Cap Growth,-25.00%,-25.00%,-16.94%,-29.41%,-45.61%,-46.37%,-20.28%,0.32%,-9.49%,-,-
2,Enterprise Value,5355,6429,7040,7777,8321,9182,6832,8259,8124,8013,6718
3,Last Close Price,0.24,0.90,1.03,1.20,1.24,1.70,2.26,3.10,2.73,2.98,2.88
4,PE Ratio,-,-,-,-,-,-,14.13,9.45,8.17,9.23,9.27
5,PS Ratio,0.15,0.55,3.00,3.44,3.52,1.83,1.50,1.76,1.69,1.85,1.94
6,PB Ratio,3.16,1.01,0.99,0.56,0.49,0.54,0.64,0.95,0.89,1.66,1.65
7,P/TBV Ratio,12.11,12.11,3.95,1.01,0.80,0.84,0.98,1.40,1.31,1.72,1.71
8,P/FCF Ratio,-,-,-,2.58,3.85,-1.82,-,-,-,-,-
9,P/OCF Ratio,-,-,-,2.58,3.83,-1.83,-,-,-,-,-
10,EV/Sales Ratio,2.00,2.40,12.45,13.55,14.34,5.99,2.72,2.79,2.91,2.85,2.50
11,EV/EBITDA Ratio,-,-3.30,-,-9.22,-,-,17.14,10.05,10.12,8.14,6.73
12,EV/EBIT Ratio,-,-3.27,-,-9.02,-,-,-,10.31,10.38,8.30,6.87
13,EV/FCF Ratio,-79.27,-,-,10.16,15.68,-5.98,-,-,-,-,-
14,Debt / Equity Ratio,2.50,2.50,2.22,1.14,1.12,0.97,0.96,0.71,0.71,1.46,1.20
15,Debt / FCF Ratio,-,-,-,5.24,8.87,-3.26,-,-,-,-,-
16,Return on Capital Employed (ROCE),-,-107.31%,-,-18.52%,-,-,-,10.45%,10.61%,17.70%,19.66%
17,Earnings Yield,-468.08%,-124.82%,-119.25%,-49.96%,-39.98%,-5.87%,7.08%,10.58%,12.24%,10.83%,10.79%
18,FCF Yield,-17.10%,-4.56%,24.12%,38.77%,26.00%,-54.82%,-56.36%,-31.44%,-39.87%,-32.46%,-31.30%
19,Dividend Yield,0.00%,-,-,-,-,-,2.49%,4.01%,4.49%,1.32%,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-30.86%,-37.18%,-,
21,Total Shareholder Return,-,-,-,-,-,2.49%,4.01%,-26.36%,-35.86%,-,
