,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,4892,3647,3064,3682,4758,4811,4435,5277,4767,4892,6057,6227,6352,5528,5313,4453,3771,3919,4141,3372,4230,Upgrade
1,Market Cap Growth,-24.21%,-24.21%,-30.91%,-30.22%,-0.19%,-1.65%,-26.78%,-15.25%,-24.96%,-11.51%,14.00%,39.84%,68.45%,41.06%,28.31%,32.06%,-10.84%,19.91%,14.05%,-31.22%,101.41%,Upgrade
2,Enterprise Value,4976,3611,3016,3323,4399,4170,3983,4577,4015,4155,5358,5346,5632,4760,4556,4050,3368,3527,3752,3321,4179,Upgrade
3,Last Close Price,5.46,4.07,3.42,4.11,5.31,5.37,4.95,5.87,5.30,5.44,6.73,6.90,7.04,6.12,5.86,4.91,5.04,5.23,5.53,4.49,5.63,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,37.76,20.75,20.54,23.67,21.30,22.51,19.64,21.02,22.88,32.86,58.65,42.21,37.89,50.40,Upgrade
5,PS Ratio,2.32,2.21,1.91,2.29,-,2.11,1.91,2.18,1.94,2.11,2.73,3.07,3.33,2.93,2.93,2.68,2.55,2.88,3.27,2.61,3.11,Upgrade
6,PB Ratio,1.76,1.31,1.09,1.30,-,-,1.53,1.81,1.64,1.71,2.15,2.23,2.36,2.10,2.06,1.76,2.16,2.31,2.48,2.03,2.56,Upgrade
7,P/TBV Ratio,1.39,1.39,1.15,1.37,-,-,1.61,1.90,1.72,1.80,2.26,2.35,2.46,2.19,2.16,1.85,2.32,2.50,2.68,2.19,2.77,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-20.54,-,-,-34.94,-,-,-,-,77.64,330.51,91.86,39.74,-,39.91,712.53,Upgrade
9,P/OCF Ratio,61.36,-84.61,-71.07,-,-,151.87,40.31,-,42.31,20.92,28.37,-,20.37,27.18,34.09,40.65,32.17,34.71,37.91,28.45,75.49,Upgrade
10,EV/Sales Ratio,2.21,2.19,1.88,2.07,-,1.83,1.71,1.89,1.63,1.79,2.41,2.63,2.95,2.52,2.52,2.44,2.27,2.59,2.96,2.57,3.07,Upgrade
11,EV/EBITDA Ratio,244.32,-,793.87,-,-,-,52.46,35.73,22.43,19.37,21.39,20.68,22.19,19.27,19.59,19.57,20.40,26.99,35.26,37.18,50.19,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,105.77,-,32.60,32.78,31.36,33.94,29.88,30.88,32.99,40.30,68.07,144.31,333.59,-,Upgrade
13,EV/FCF Ratio,-10.79,-,-,-,-,-,-18.45,-,-,-29.68,-,-,-,-,66.58,300.57,82.04,35.76,-,39.30,703.94,Upgrade
14,Debt / Equity Ratio,0.15,0.15,0.12,0.10,-,-,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.02,0.04,0.05,0.04,0.04,0.02,0.02,Upgrade
