,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,660.45,495.31,495.02,-,572.63,541.38,522.1,580.1,625.56,636.95,556.43,469.04,517.41,456.29,437.4,460.67,433.84,313.21,257.13,346.4,Upgrade
1,Other Revenue,-62.03,62.03,-,-,-18.64,18.64,-,61.35,-22.42,22.42,-,29.88,-11.78,11.78,-,16.59,-5.02,5.02,-,11.74,Upgrade
2,Revenue,598.42,557.34,495.02,-,553.99,560.02,522.1,641.44,603.14,659.37,556.43,498.92,505.63,468.07,437.4,477.26,428.81,318.24,257.13,358.14,Upgrade
3,Revenue Growth (YoY),8.02%,-0.48%,-5.19%,-,-8.15%,-15.07%,-6.17%,28.57%,19.28%,40.87%,27.21%,4.54%,17.91%,47.08%,70.11%,33.26%,28.18%,-6.73%,-21.29%,-0.43%,Upgrade
4,Cost of Revenue,575.23,531.49,478.56,-,528.05,538.64,486.44,583.76,542.09,576.3,471.11,400.51,419.4,386.57,352.48,407.43,358.37,264.04,216.69,314.79,Upgrade
5,Gross Profit,23.19,25.86,16.46,-,25.94,21.37,35.65,57.68,61.05,83.07,85.31,98.41,86.23,81.5,84.92,69.83,70.44,54.19,40.44,43.35,Upgrade
6,"Selling, General & Admin",32.19,29.24,27.4,-,26.31,23.83,22.03,24.67,29.07,24.52,22.87,27.47,21.12,20.35,24.2,9.28,26.66,25.2,22.71,30.98,Upgrade
7,Research & Development,25.41,20.1,17.94,-,22.87,20.75,21.29,33.96,21.43,20.36,12.13,32.32,20.27,15.17,11.53,23.78,12.24,9.33,6.96,13.15,Upgrade
8,Other Operating Expenses,-4.83,-2.28,0.37,-,-0.43,0.04,-11.06,3.04,2.68,0.23,-5.17,10.21,0.39,1.1,0.38,9.91,0.44,0.59,1.33,8.32,Upgrade
