,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,245,264.7,330.34,-,-,547.3,508,753.16,689.8,650.44,686.73,869.94,785.26,829.34,847.82,1194,309.51,269.8,236.23,385.9,Upgrade
1,Short-Term Investments,86.33,105.33,-,-,-,195.85,30.09,60.14,150.13,189.74,118.36,87.48,-,-,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,0.34,0.25,-,-,-,-,-,-,170.57,202.89,200.93,-,Upgrade
3,Cash & Short-Term Investments,331.33,370.03,330.34,-,-,743.16,538.1,813.3,840.27,840.42,805.09,957.42,785.26,829.34,847.82,1194,480.08,472.69,437.16,385.9,Upgrade
4,Cash Growth,-,-50.21%,-38.61%,-,-,-11.57%,-33.16%,-15.05%,7.01%,1.34%,-5.04%,-19.79%,63.57%,75.45%,93.94%,209.31%,352.47%,43.17%,142.37%,4.05%,Upgrade
5,Accounts Receivable,531.57,506.88,450.53,-,-,440.21,482.14,429.08,466.62,492.95,455.77,335.11,371.03,377.63,378.96,377.29,341.57,284.56,277.01,307.14,Upgrade
6,Other Receivables,6.08,2.99,78.61,-,-,12.49,12.03,11.67,63.13,82.29,110.16,39.04,59.33,59.85,15.3,9.93,5.84,2.95,1.96,3.38,Upgrade
7,Receivables,537.64,509.87,529.14,-,-,452.7,494.17,440.75,529.75,575.24,565.93,374.15,430.37,437.48,394.25,387.22,347.41,287.51,278.97,310.52,Upgrade
8,Inventory,242.67,238.51,251.8,-,-,203.4,202.35,198.15,192.98,205.2,209.68,196.18,171.23,163.26,162.3,161.73,156.14,172.84,156.1,173.34,Upgrade
9,Prepaid Expenses,-,0.16,-,-,-,0.16,-,7.87,-,0.16,-,0.16,-,0.16,-,0.16,-,-,-,-,Upgrade
10,Other Current Assets,107.28,84.67,101.02,-,-,82.01,139.17,83.9,114.27,74.65,111.74,57.03,59.4,46.6,40.31,46.54,57.24,32.52,28.04,33.55,Upgrade
11,Total Current Assets,1219,1203,1212,-,-,1481,1374,1544,1677,1696,1692,1585,1446,1477,1445,1789,1041,965.55,900.27,903.3,Upgrade
12,"Property, Plant & Equipment",2274,2206,1949,-,-,1600,1556,1468,1535,1373,1345,1232,1276,1096,1096,1084,1098,1092,1119,1118,Upgrade
13,Long-Term Investments,261.24,290.49,324.89,-,-,207.25,379.7,328.82,225.59,225.92,204.21,234.93,1.21,394.64,1.47,1.57,1.29,1.4,1.32,1.46,Upgrade
14,Other Intangible Assets,165.13,166.14,151.31,-,-,135.69,136.59,137.49,138.4,139.3,140.18,114.73,115.33,116.03,118.47,119.27,120.07,113.35,114.11,114.85,Upgrade
15,Long-Term Deferred Tax Assets,94.57,94.86,95.25,-,-,99.81,95.86,95.34,12.43,10.42,9.27,9.45,9.9,10.24,10.11,10.18,10.58,10.77,10.58,9.12,Upgrade
16,Long-Term Deferred Charges,30.66,31.41,36.15,-,-,10.58,7.99,5.66,4.99,3.26,1.21,0.44,1.21,1.27,1.32,1.38,1.44,1.5,1.55,1.61,Upgrade
