,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2019,Q1 2019
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Market Capitalization,2375,2371,2203,2309,2913,3433,3059,3148,3789,-,-,-,-,-
1,Market Cap Growth,-30.93%,-30.93%,-27.98%,-26.64%,-23.12%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1779,1444,1211,1312,1916,2502,2154,2763,3404,-,-,-,-,-
3,PE Ratio,27.45,27.29,26.86,28.62,35.61,41.69,35.22,38.25,40.21,-,-,-,-,-
4,PS Ratio,3.71,3.68,3.58,3.85,5.06,6.30,5.59,5.62,6.89,-,-,-,-,-
5,PB Ratio,1.87,1.87,1.72,1.74,2.22,2.68,2.41,2.51,3.08,-,-,-,-,-
6,P/FCF Ratio,8929.24,8914.16,-,-,50.84,32.27,61.15,-,34.23,-,-,-,-,-
7,P/OCF Ratio,37.12,37.12,18.85,-,31.77,23.22,36.72,-,27.42,-,-,-,-,-
8,EV/Sales Ratio,2.76,2.24,1.97,2.19,3.33,4.59,3.94,4.93,6.19,-,-,-,-,-
9,EV/EBITDA Ratio,19.54,15.91,14.57,16.55,23.24,31.11,23.93,30.30,32.55,-,-,-,-,-
10,EV/EBIT Ratio,26.37,21.28,20.18,23.35,32.38,43.94,32.25,40.71,41.75,-,-,-,-,-
11,EV/FCF Ratio,6689.67,5428.62,-,-,33.43,23.52,43.06,-,30.75,-,-,-,-,-
12,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.03,0.03
13,Debt / EBITDA Ratio,0.03,0.04,0.03,0.05,0.01,0.02,0.01,0.01,0.01,-,-,0.02,0.16,0.16
14,Debt / FCF Ratio,10.66,10.66,-,-,0.01,0.01,0.02,-,0.02,-,-,-,2.62,5.24
15,Quick Ratio,1.59,1.59,2.64,2.79,2.41,2.66,3.09,3.03,2.59,-,-,-,0.72,0.72
16,Current Ratio,2.59,2.59,2.82,2.95,2.61,2.80,3.26,3.21,2.73,-,-,-,0.85,0.85
17,Asset Turnover,0.27,0.28,0.49,0.48,0.21,0.25,0.47,-,-,-,-,0.62,-,
18,Return on Equity (ROE),4.69%,5.94%,6.06%,9.91%,3.15%,5.72%,6.86%,-,-,-,-,17.76%,-,
19,Return on Assets (ROA),1.98%,2.41%,2.03%,3.59%,0.81%,1.94%,2.67%,-,-,-,-,6.62%,-,
20,Return on Capital (ROIC),2.56%,3.09%,2.65%,4.74%,1.03%,2.43%,3.43%,-,-,-,-,11.20%,-,
21,Return on Capital Employed (ROCE),5.29%,5.32%,4.67%,4.20%,4.49%,4.43%,5.23%,5.39%,6.60%,-,-,-,9.18%,4.59%
22,Earnings Yield,3.66%,3.66%,3.72%,3.49%,2.81%,2.40%,2.84%,2.61%,2.49%,-,-,-,-,-
23,Earnings Yield,3.66%,3.66%,3.72%,3.49%,2.81%,2.40%,2.84%,2.61%,2.49%,-,-,-,-,-
24,FCF Yield,0.01%,0.01%,3.09%,3.82%,1.97%,3.10%,1.64%,2.29%,2.92%,-,-,-,-,-
25,Dividend Yield,2.34%,-,-,-,1.98%,-,-,-,-,-,-,-,-,-
26,Payout Ratio,64.47%,2.52%,286.18%,-,-,-,-,-,-,-,-,-,42.16%,42.16%
27,Buyback Yield / Dilution,1.84%,2.95%,-5.22%,5.33%,4.02%,-44.83%,-25.50%,-39.77%,-27.01%,4.21%,-,-,-,-
28,Total Shareholder Return,4.18%,2.95%,-5.22%,5.33%,5.99%,-44.83%,-25.50%,-39.77%,-27.01%,4.21%,-,-,-,-
