,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2019,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Operating Revenue,123.35,105.26,210.34,180.83,93.08,91.5,186.63,154.31,96.53,103.23,176.4,114.82,114.82
1,Other Revenue,-9.92,9.92,-,23.74,-7.87,7.87,-,19.42,-9.28,9.28,-,1.88,1.88
2,Revenue,113.43,115.18,210.34,204.58,85.21,99.38,186.63,173.74,87.25,112.52,176.4,116.7,116.7
3,Revenue Growth (YoY),33.12%,15.90%,12.70%,17.75%,-2.34%,-11.68%,5.80%,48.88%,-25.24%,-,-,-,-
4,Operations & Maintenance,-0.06,0.06,-,0.18,-0.09,0.09,-,0.15,-0.07,0.07,-,0.15,0.15
5,"Selling, General & Admin",12.11,11.7,11.04,11.31,10.94,11.54,9.03,12.54,7.75,9.58,8.69,7.18,7.18
6,Provision for Bad Debts,-0.54,-0.25,-0.4,3,1.43,-0.08,-0.09,0.41,-0.6,1.15,0.23,-0.11,-0.11
7,Other Operating Expenses,88.77,87.49,185.61,165.44,67.65,75.57,160.66,138.24,65.03,88.4,136.77,89.54,89.54
8,Total Operating Expenses,100.34,99.06,196.31,179.97,79.94,87.12,169.6,151.35,72.11,99.2,145.7,96.77,96.77
9,Operating Income,13.08,16.13,14.03,24.61,5.27,12.26,17.03,22.39,15.13,13.31,30.7,19.93,19.93
10,Interest Expense,-0.07,-0.08,-0.07,-0.03,-0.03,-0.04,-0.03,-0.04,-0.04,-0.04,-0.04,-0.25,-0.25
11,Interest Income,4.04,4.8,5.8,9.21,4.75,4.51,6.55,6.23,1.21,3.07,7.23,2.58,2.58
12,Net Interest Expense,3.97,4.72,5.73,9.18,4.71,4.47,6.52,6.19,1.16,3.02,7.19,2.33,2.33
13,Other Non-Operating Income (Expenses),-0.61,0.35,-0.2,-0.43,0.74,1.83,-0.31,11.11,0.21,-1.1,0.03,-0.1,-0.1
14,EBT Excluding Unusual Items,16.44,21.2,19.56,33.36,10.72,18.56,23.24,39.69,16.51,15.24,37.92,22.16,22.16
15,Gain (Loss) on Sale of Investments,1.27,1.84,4.1,0.8,1.88,3.43,1.11,0.32,0.76,0.78,0.97,0.37,0.37
16,Gain (Loss) on Sale of Assets,0.05,-0.05,-,-,-,-,-,-,0,-0,-,-,-
17,Asset Writedown,0,-0,-,-0.12,0.01,-0.01,-,-0,-,-,-,-0,-0
18,Other Unusual Items,-0.4,0.09,0.31,3.79,-0.16,0.16,-,-,-0.28,0.28,-,0.21,0.21
19,Pretax Income,17.37,23.08,23.96,37.83,12.45,22.15,24.35,40.01,16.99,16.3,38.88,22.75,22.75
20,Income Tax Expense,2.45,3.74,3.95,5.73,2.39,4.12,3.07,7.24,2.38,2.86,5.69,3.66,3.66
21,Earnings From Continuing Ops.,14.92,19.35,20.01,32.1,10.06,18.03,21.28,32.77,14.61,13.44,33.2,19.09,19.09
22,Minority Interest in Earnings,0.08,0.1,0.14,0.19,0.08,0.07,0,0.05,0.06,0.07,0.03,-,-
23,Net Income,15,19.44,20.15,32.29,10.14,18.09,21.29,32.82,14.67,13.51,33.23,19.09,19.09
24,Net Income to Common,15,19.44,20.15,32.29,10.14,18.09,21.29,32.82,14.67,13.51,33.23,19.09,19.09
25,Net Income Growth,47.96%,7.44%,-5.33%,-1.60%,-30.89%,33.96%,-35.94%,71.94%,-23.13%,-,-,-,-
26,Shares Outstanding (Basic),190,191,183,172,196,182,194,180,135,145,138,141,141
27,Shares Outstanding (Diluted),190,191,183,172,196,182,194,180,135,145,138,141,141
28,Shares Change (YoY),-2.95%,5.22%,-5.33%,-4.02%,44.83%,25.50%,39.77%,27.01%,-4.21%,-,-,-,-
29,EPS (Basic),0.08,0.10,0.11,0.19,0.05,0.10,0.11,0.18,0.11,0.09,0.24,0.14,0.14
30,EPS (Diluted),0.08,0.10,0.11,0.19,0.05,0.10,0.11,0.18,0.11,0.09,0.24,0.14,0.14
31,EPS Growth,52.45%,2.12%,0%,2.52%,-52.28%,6.74%,-54.17%,35.38%,-19.76%,-,-,-,-
32,Free Cash Flow,2.39,-4.22,-30.67,32.77,70.28,15.82,-61.57,81.83,13.95,37.83,-22.9,2.86,2.86
33,Free Cash Flow Per Share,0.01,-0.02,-0.17,0.19,0.36,0.09,-0.32,0.46,0.10,0.26,-0.17,0.02,0.02
34,Dividend Per Share,-,-,-,0.300,-,-,-,-,-,-,-,-,-
35,Profit Margin,13.23%,16.88%,9.58%,15.78%,11.90%,18.21%,11.41%,18.89%,16.82%,12.01%,18.84%,16.36%,16.36%
36,Free Cash Flow Margin,2.10%,-3.66%,-14.58%,16.02%,82.48%,15.92%,-32.99%,47.10%,15.99%,33.62%,-12.98%,2.45%,2.45%
37,EBITDA,18.77,21.97,19.71,30.29,11.16,18.07,22.92,28.28,20.75,19.22,36.32,23.99,23.99
38,EBITDA Margin,16.54%,19.08%,9.37%,14.81%,13.10%,18.18%,12.28%,16.28%,23.79%,17.09%,20.59%,20.55%,20.55%
39,D&A For EBITDA,5.68,5.85,5.68,5.68,5.89,5.81,5.89,5.89,5.62,5.91,5.62,4.05,4.05
40,EBIT,13.08,16.13,14.03,24.61,5.27,12.26,17.03,22.39,15.13,13.31,30.7,19.93,19.93
41,EBIT Margin,11.53%,14.00%,6.67%,12.03%,6.18%,12.34%,9.13%,12.89%,17.34%,11.83%,17.40%,17.08%,17.08%
42,Effective Tax Rate,14.11%,16.19%,16.50%,15.15%,19.21%,18.61%,12.60%,18.09%,13.99%,17.56%,14.62%,16.09%,16.09%
43,Revenue as Reported,113.43,115.18,210.34,204.58,85.21,99.38,186.63,173.74,87.25,112.52,176.4,116.7,116.7
