,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2019,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,198.8,211.34,521.29,930.44,699.24,517.31,490.78,745.31,-,-,-,171.29,171.29
1,Short-Term Investments,-,366.98,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,401.13,353.09,476.21,99.07,301.2,416.38,416.96,222.48,-,-,-,46.4,46.4
3,Accounts Receivable,14.05,13.67,14.71,19.82,17.47,21.02,21.14,22.33,-,-,-,9.03,9.03
4,Other Receivables,0.86,5.66,1.19,0.8,1.6,0.99,0.88,1.14,-,-,-,1.58,1.58
5,Inventory,18.74,14.91,13.53,14.18,17.59,16.25,16.34,12.32,-,-,-,17.99,17.99
6,Prepaid Expenses,-,35.28,-,-,29.47,27.74,31.32,-,-,-,-,22.71,22.71
7,Other Current Assets,367.95,13.15,46.21,72.2,7.1,7.26,6.54,43.8,-,-,-,2.11,2.11
8,Total Current Assets,1002,1014,1073,1137,1074,1007,983.97,1047,-,-,-,271.09,271.09
9,"Property, Plant & Equipment",511.57,486.67,478.13,471.27,454.91,446.98,445.34,445.47,-,-,-,385.82,385.82
10,Other Intangible Assets,32.77,33.08,33.34,32.67,33.44,33.27,33.5,26.26,-,-,-,21.74,21.74
11,Long-Term Investments,113.64,108.88,112.86,109.58,105.19,96.43,99.55,95.39,-,-,-,70.37,70.37
12,Long-Term Deferred Tax Assets,1.07,1.06,1.19,1.25,0.89,0.91,0.93,0.95,-,-,-,0.2,0.2
13,Other Long-Term Assets,2.04,1.69,1.64,2.38,1.95,1.95,1.95,3.49,-,-,-,3.46,3.46
14,Total Assets,1663,1645,1700,1754,1670,1586,1565,1619,-,-,-,752.68,752.68
15,Accounts Payable,31.1,28.51,28.31,35.9,37.96,23.8,21.77,41.03,-,-,-,35.66,35.66
