,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,12615,11087,8746,10539,12859,12893,16757,18478,18989,18391,19783,19304,26783,-,-,-,-,-,-
1,Market Cap Growth,-14.01%,-14.01%,-47.81%,-42.96%,-32.28%,-29.89%,-15.30%,-4.28%,-29.10%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,13197,11732,9166,10485,12804,12489,15992,17171,17682,16898,17012,19775,27253,-,-,-,-,-,-
3,Last Close Price,58.03,51.00,40.23,48.48,59.15,59.31,77.08,84.89,87.24,84.50,90.89,87.53,121.44,-,-,-,-,-,-
4,PE Ratio,-,-,-75.83,-109.22,-,-,112.23,87.86,-,42.10,27.45,19.68,24.06,-,-,-,-,-,-
5,Forward PE,47.96,36.48,16.56,18.03,16.93,16.58,19.40,28.05,31.97,29.53,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.46,9.30,8.67,8.06,7.63,6.39,8.29,9.33,11.63,8.15,6.04,4.28,4.91,-,-,-,-,-,-
7,PB Ratio,2.31,1.94,1.53,1.85,2.30,2.20,2.83,3.15,3.36,3.24,3.52,3.43,4.79,-,-,-,-,-,-
8,P/TBV Ratio,2.15,2.15,1.69,2.05,2.55,2.43,3.08,3.44,3.68,3.45,3.74,3.63,5.08,-,-,-,-,-,-
9,P/FCF Ratio,-,-18.08,-,-,-,-,-,-,-,-,-,-,57.78,-,-,-,-,-,-
10,P/OCF Ratio,37.40,37.40,-,-,1304.37,-,-,-,-146.76,-248.36,-,-,38.10,-,-,-,-,-,-
11,EV/Sales Ratio,11.08,9.85,9.09,8.01,7.60,6.19,7.91,8.67,10.83,7.49,5.20,4.38,4.99,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-367.94,-77.92,-111.90,-,-,235.26,272.20,-,43.39,21.13,16.30,18.85,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-82.93,-,-58.34,-,-,3048.94,1846.43,-,50.07,22.44,16.95,19.41,-,-,-,-,-,-
