,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,962.53,616.29,602.58,985.25,1027,1204,1351,1557,1357,1318,2239,3535,-,244.54,-,337.71,337.71,-
1,Trading Asset Securities,-,-,-,-,-,193.21,142.27,-,431.57,661.95,1030,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,962.53,616.29,602.58,985.25,1027,1398,1493,1557,1788,1980,3270,3535,-,244.54,337.71,337.71,337.71,376.66
3,Cash Growth,-6.26%,-55.90%,-59.65%,-36.74%,-42.58%,-29.40%,-54.33%,-55.94%,-,709.54%,868.26%,946.63%,-,-35.08%,-,-,-,-
4,Accounts Receivable,1378,1463,1650,1763,2241,2291,2366,2072,2312,2271,1954,2075,-,1388,-,905.18,819.02,-
5,Other Receivables,17.7,18.3,17.2,14.47,16.22,18.32,13.17,18.83,20.92,17.16,13.17,13.4,-,11.71,-,7.43,93.59,-
6,Receivables,1396,1481,1668,1778,2257,2309,2379,2091,2333,2288,1967,2089,-,1399,-,912.61,912.61,-
7,Inventory,1691,1663,1151,867.3,602.97,563.63,743.81,636.22,557.08,405.52,320.94,260.34,-,1447,-,1581,1581,-
8,Other Current Assets,519.43,554.64,548.47,384.84,283.68,144.83,191.22,144.45,81.49,165.08,137.25,71.12,-,179,-,397.36,397.36,-
9,Total Current Assets,4569,4315,3970,4015,4171,4416,4808,4429,4759,4839,5696,5955,-,3269,-,3229,3229,-
10,"Property, Plant & Equipment",2304,2147,1949,1771,1539,1364,1149,1108,832.78,760.93,639.1,579.45,-,480.94,-,440.92,440.92,-
11,Long-Term Investments,1439,1430,1444,1346,1470,1463,1303,1160,1060,981.39,38.81,160.17,-,19.5,-,19.5,19.5,-
12,Other Intangible Assets,300.85,302.66,304.54,306.28,301.04,240.97,242.37,243.84,117.53,81.9,82.33,82.91,-,61.81,-,62.6,62.6,-
13,Long-Term Deferred Tax Assets,131.73,117.09,77.92,91.52,72.75,62.42,60.65,64.57,41.37,37.3,36.16,37.41,-,35.56,-,31.2,31.2,-
14,Long-Term Deferred Charges,2.85,3.4,-,4.9,5.67,6.25,-,6.71,7.47,8.51,8.6,9.64,-,11.8,-,12.84,12.84,-
15,Other Long-Term Assets,222.93,274.32,235.1,190.78,179.02,126.52,121.7,85.5,119.17,127.91,96.9,90.77,-,94.3,-,87.97,87.97,-
16,Total Assets,8970,8590,7981,7726,7738,7679,7685,7097,6938,6836,6597,6915,-,3973,-,3884,3884,-
17,Accounts Payable,1387,1361,1157,1164,977.45,837.19,1084,1118,874.68,741.6,598.6,718.69,-,1016,-,1197,1197,-
18,Accrued Expenses,15.43,20.94,10.62,23.49,13.31,15.96,10.94,24.13,12.43,21.84,8.2,28.03,-,29.23,-,27.94,28.1,-
19,Short-Term Debt,895.5,701.4,455.19,345.19,615.42,635.44,375.01,100.01,200,200,200,135.18,-,353.45,-,353.38,353.38,-
20,Current Portion of Long-Term Debt,289.41,210.15,295.92,290.25,-,-,48.64,-,36.82,-,59.77,6.09,-,11.69,-,11.19,-,-
21,Current Portion of Leases,-,87.48,-,77.08,4.14,54.28,-,53.79,-,43,-,59.1,-,35.08,-,-,-,-
22,Current Income Taxes Payable,10.9,5.53,2.35,2.08,21.57,13.91,26.35,18.36,20.85,7.69,8.62,99.31,-,123.53,-,56.38,56.38,-
23,Current Unearned Revenue,319.1,233.97,157.41,72.4,48.39,47.26,87.76,15.12,42.9,20.42,32.13,34.93,-,289.49,-,695.78,695.78,-
24,Other Current Liabilities,164.04,159.34,128.67,86.36,43.2,46.65,80.14,8.73,14.72,133.28,4.36,146.73,-,83.76,-,155.18,166.22,-
25,Total Current Liabilities,3082,2780,2207,2061,1723,1651,1713,1338,1202,1168,911.68,1228,-,1943,-,2496,2496,-
26,Long-Term Debt,97.82,-,-,-,-,-,-,-,-,-,-,45,-,78,-,84,84,-
27,Long-Term Leases,19.94,19.86,29.79,29.72,108.81,58.97,63.15,56.98,5.41,5.32,3.06,6.34,-,34.11,-,-,-,-
28,Long-Term Unearned Revenue,63.52,64.24,46.75,47.16,47.65,48.13,48.63,49.12,49.7,50.17,50.66,49.72,-,36.11,-,34.85,34.85,-
29,Long-Term Deferred Tax Liabilities,-,-,0.83,-,-,-,-,0.04,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,3263,2864,2284,2138,1880,1758,1825,1445,1258,1223,965.4,1329,-,2091,-,2615,2615,-
31,Common Stock,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,-,163.04,-,163.04,163.04,-
32,Additional Paid-In Capital,3134,3134,3134,3134,3134,3134,3134,3134,3133,3134,3149,3166,-,98.27,-,98.27,98.27,-
33,Retained Earnings,1937,1958,1924,1850,2001,2071,2040,1960,1994,1943,2010,1949,-,1419,-,835.67,835.67,-
34,Comprehensive Income & Other,176.77,174.33,179.03,143.48,261.2,254.51,226.49,99.77,96.54,80.49,18.14,18.14,-,-,-,-,-,-
35,Total Common Equity,5465,5483,5454,5345,5614,5677,5618,5411,5441,5376,5395,5350,-,1680,1097,1097,1097,481.55
36,Minority Interest,241.73,242.16,242.36,243.08,244.06,244.08,241.9,241.52,238.96,237.6,236.91,235.31,-,202.69,-,171.51,171.51,-
37,Shareholders' Equity,5707,5726,5696,5588,5858,5921,5860,5652,5680,5613,5632,5586,-,1883,1268,1268,1268,589.25
38,Total Liabilities & Equity,8970,8590,7981,7726,7738,7679,7685,7097,6938,6836,6597,6915,-,3973,-,3884,3884,-
