,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,348380,145857,273481,429370,286092,232849,92811,370469,340818,295592,203852,490087,300932,224309,201512,505474,334148,196274,101702,409004,Upgrade
1,Revenue Growth (YoY),21.77%,-37.36%,194.67%,15.90%,-16.06%,-21.23%,-54.47%,-24.41%,13.25%,31.78%,1.16%,-3.04%,-9.94%,14.28%,98.14%,23.59%,14.45%,25.52%,-42.13%,-1.85%,Upgrade
2,Cost of Revenue,266326,115658,174679,318272,222335,184741,41349,274271,219107,201971,148197,284287,205330,162240,134674,372844,225986,154700,64123,307569,Upgrade
3,Gross Profit,82055,30199,98803,111097,63757,48108,51462,96199,121711,93621,55655,205800,95602,62069,66838,132630,108162,41574,37579,101435,Upgrade
4,"Selling, General & Admin",33912,29472,15753,50305,26464,24716,22204,43114,30785,27233,21899,45077,21444,29596,22399,45002,26974,20239,18652,36524,Upgrade
5,Operating Expenses,33912,29472,15753,50305,26464,24716,22204,43114,30785,27233,21899,45077,21444,29596,22399,45002,26974,20239,18652,36524,Upgrade
6,Operating Income,48142,727.89,83050,60792,37293,23392,29258,53085,90927,66388,33756,160723,74158,32472,44439,87627,81188,21336,18927,64910,Upgrade
7,Interest Expense,-3368,-,-,-,-825.71,-,-35.37,-107.54,-78.03,-464.56,-306.57,-793.44,-945.63,-1278,-1969,-1891,-3553,-4550,-4320,-4793,Upgrade
8,Interest & Investment Income,21351,41325,3372,31534,26309,23970,23918,22240,17576,11760,13403,13192,11117,9661,10964,11654,13497,15769,15550,16814,Upgrade
9,Currency Exchange Gain (Loss),-,-2652,1706,-1611,-,-,1497,-54.7,-,1888,-225.5,1448,-,-777.83,876.38,1087,-,-,560.83,802.57,Upgrade
10,Other Non Operating Income (Expenses),3745,5202,43625,23138,5072,44295,-23822,21413,8024,9673,7908,226099,6055,4878,5851,-1640,3371,3089,4840,-10164,Upgrade
11,EBT Excluding Unusual Items,69870,44603,131753,113853,67848,91657,30815,96575,116448,89245,54535,400668,90385,44955,60162,96837,94502,35644,35558,67570,Upgrade
12,Gain (Loss) on Sale of Investments,-,58.96,-,16.01,-,-,13.89,10.2,-,-,-,-73.76,-,-180.08,-,6850,-,-,-,10313,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-239.46,-,-,-,-184.24,-,-,-,-18571,-,-,-,-45.08,-,-,-,15040,Upgrade
14,Pretax Income,69870,44662,131753,113630,67848,91657,30829,96401,116448,89245,54535,382023,90385,44775,60162,103642,94502,35644,35558,92923,Upgrade
15,Income Tax Expense,8702,8670,26030,14292,11113,11955,12498,17465,18931,16867,7848,70279,14347,11517,8625,22531,16010,10906,8210,19289,Upgrade
16,Earnings From Continuing Operations,61168,35993,105723,99337,56734,79703,18330,78936,97517,72378,46687,311744,76038,33258,51537,81110,78492,24738,27348,73634,Upgrade
17,Minority Interest in Earnings,-16885,-7093,-9330,-11549,-19610,-6601,-7504,-13702,-12470,-8187,-8867,-19663,-7335,-2421,-12083,-20454,-8683,1193,-5806,1043,Upgrade
18,Net Income,44282,28900,96393,87789,37124,73102,10827,65234,85047,64190,37820,292081,68703,30837,39454,60656,69809,25931,21542,74677,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,33724,-,-,-,65120,-,-,-,60442,-,-,-,-,Upgrade
20,Net Income to Common,44282,28900,96393,87789,37124,73102,10827,31510,85047,64190,37820,226962,68703,30837,39454,214.42,69809,25931,21542,74677,Upgrade
