,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,104.02,106.51,124.54,147.99,118.91,123.82,83.21,102.64,79.57,74.09
1,Short-Term Investments,6.03,6.45,7.88,10.85,9.42,14.02,20.3,10.35,12.74,11.63
2,Trading Asset Securities,5.86,6.16,5.37,6.05,7.51,-,7.25,5.52,4.28,-
3,Cash & Short-Term Investments,115.9,119.12,137.79,164.89,135.84,137.84,110.77,118.51,96.59,85.72
4,Cash Growth,-15.89%,-27.76%,1.44%,19.63%,22.64%,16.31%,14.68%,38.26%,25.33%,-3.59%
5,Accounts Receivable,62.8,66.37,54.1,72.3,110.13,83,56.52,54.3,45.64,49.99
6,Other Receivables,-,3.05,-,-,-,-,-,-,0.18,0.63
7,Receivables,62.8,69.42,54.1,72.3,110.13,83,56.52,54.3,45.82,50.63
8,Other Current Assets,0.8,0.78,0.82,0.81,0.81,0.66,0.66,0.79,0.79,1.96
9,Total Current Assets,179.51,189.32,192.72,238.01,246.79,221.5,167.95,173.6,143.19,138.31
10,"Property, Plant & Equipment",102.77,107.92,108.5,113.77,107.64,100.53,97,100.98,100.63,104.3
11,Other Long-Term Assets,55.95,56.8,60.06,61.36,62.65,74.49,73.37,73.37,-,-
12,Total Assets,338.22,354.04,361.28,413.13,417.08,396.51,338.31,347.94,243.83,242.61
13,Accounts Payable,57.28,55.72,49.16,85.54,86.98,76.16,65.84,65.39,45.54,55.04
14,Accrued Expenses,16.08,22.61,9.1,20.58,15.34,22.5,10.22,17.96,11.2,14.02
15,Short-Term Debt,43.88,48.91,65.23,64.58,70.9,69.66,42.29,45.25,45.52,38.55
16,Current Portion of Leases,0.99,1.13,1.2,1.29,1.26,1.54,1.48,1.69,1.08,1
17,Current Income Taxes Payable,5.13,-,3.41,5.29,5.36,4.22,1.26,1.08,-,7.63
18,Other Current Liabilities,9.64,10.27,12.3,14.41,18.54,23.94,70.61,72.16,11.01,10.94
19,Total Current Liabilities,133.01,138.65,140.4,191.7,198.37,198.03,191.7,203.53,114.35,127.18
20,Long-Term Leases,0.57,1.04,1.28,1.05,0.56,1.17,1.34,1.99,1.48,1.39
21,Total Liabilities,133.58,139.68,141.68,192.74,198.93,199.2,193.04,205.52,115.83,128.56
22,Common Stock,15.5,15.5,15.5,15.5,15.5,15.5,14,14,14,14
23,Additional Paid-In Capital,115.54,115.54,115.54,115.54,115.54,115.54,86.46,86.46,86.46,86.46
24,Retained Earnings,68.75,77.98,83.89,77.47,72.91,49.82,28.98,27.04,15.51,0.82
25,Comprehensive Income & Other,4.85,5.35,4.68,11.89,14.2,16.46,15.84,14.93,12.04,12.77
26,Shareholders' Equity,204.64,214.36,219.6,220.39,218.14,197.32,145.27,142.42,128,114.05
27,Total Liabilities & Equity,338.22,354.04,361.28,413.13,417.08,396.51,338.31,347.94,243.83,242.61
28,Total Debt,45.45,51.08,67.71,66.92,72.72,72.38,45.11,48.93,48.07,40.93
29,Net Cash (Debt),70.46,68.04,70.09,97.98,63.12,65.46,65.66,69.58,48.51,44.79
30,Net Cash Growth,0.53%,-30.56%,11.04%,49.66%,-3.86%,-5.91%,35.34%,55.35%,40.95%,-18.98%
31,Net Cash Per Share,0.05,0.04,0.05,0.06,0.04,0.04,0.05,0.05,0.03,0.03
32,Filing Date Shares Outstanding,1550,1550,1550,1550,1550,1550,1400,1400,1400,1400
33,Total Common Shares Outstanding,1550,1550,1550,1550,1550,1550,1400,1400,1400,1400
34,Working Capital,46.5,50.68,52.32,46.31,48.42,23.47,-23.75,-29.93,28.85,11.13
35,Book Value Per Share,0.13,0.14,0.14,0.14,0.14,0.13,0.10,0.10,0.09,0.08
36,Tangible Book Value,204.64,214.36,219.6,220.39,218.14,197.32,145.27,142.42,128,114.05
37,Tangible Book Value Per Share,0.13,0.14,0.14,0.14,0.14,0.13,0.10,0.10,0.09,0.08
38,Land,81.15,81.18,81.17,81.3,81.3,81.39,74.03,73.99,73.85,73.89
39,Machinery,12.42,12.46,57.31,12.35,47.25,41.07,37.64,42.55,37.66,37.96
40,Leasehold Improvements,1.57,1.57,1.57,1.57,1.57,1.57,2.07,1.57,1.57,1.57
